,0
0,"[-0.075034108, -0.06598394092, -0.05693377384000001, -0.04788360676, -0.038833439680000005, -0.029783272600000008, -0.020733105520000003, -0.011682938440000012, -0.002632771360000008, 0.0064173957199999965, 0.015467562799999987, 0.02451772987999999, 0.033567896959999996, 0.04261806403999999, 0.05166823111999998, 0.06071839819999998, 0.06976856527999999, 0.07881873235999999, 0.08786889944, 0.09691906651999997, 0.10596923359999998, 0.11501940067999998, 0.12406956775999999, 0.13311973484, 0.14216990192, 0.15122006899999996, 0.16027023607999996, 0.16932040315999997, 0.17837057023999997, 0.18742073731999997, 0.19647090439999998, 0.20552107147999998, 0.21457123856, 0.22362140564, 0.23267157272, 0.2417217398, 0.25077190688, 0.25982207396, 0.26887224103999996, 0.27792240811999996, 0.28697257519999997, 0.29602274228, 0.30507290936, 0.31412307644, 0.32317324352, 0.3322234106, 0.34127357768, 0.35032374476, 0.35937391184, 0.36842407891999995, 0.37747424599999996, 0.38652441307999996, 0.39557458015999997, 0.40462474723999997, 0.41367491432, 0.4227250814, 0.43177524847999993, 0.44082541556, 0.44987558263999994, 0.45892574972, 0.46797591679999995, 0.47702608388, 0.48607625095999996, 0.49512641804, 0.50417658512, 0.5132267521999999, 0.52227691928, 0.5313270863599999, 0.54037725344, 0.5494274205199999, 0.5584775876, 0.5675277546799999, 0.57657792176, 0.58562808884, 0.59467825592, 0.603728423, 0.6127785900799999, 0.62182875716, 0.6308789242399999, 0.63992909132, 0.6489792583999999, 0.65802942548, 0.6670795925599999, 0.67612975964, 0.6851799267199999, 0.6942300938, 0.70328026088, 0.7123304279599999, 0.72138059504, 0.7304307621199999, 0.7394809292, 0.7485310962799999, 0.75758126336, 0.7666314304399999, 0.77568159752, 0.7847317645999999, 0.79378193168, 0.80283209876, 0.8118822658399999, 0.82093243292]"
1,"[0.439902982, 0.44380377818, 0.44770457436, 0.45160537054, 0.45550616672, 0.4594069629, 0.46330775908, 0.46720855526, 0.47110935144, 0.47501014762, 0.4789109438, 0.48281173998, 0.48671253616, 0.49061333234, 0.49451412852, 0.4984149247, 0.50231572088, 0.50621651706, 0.51011731324, 0.51401810942, 0.5179189056, 0.52181970178, 0.52572049796, 0.52962129414, 0.53352209032, 0.5374228865, 0.54132368268, 0.54522447886, 0.54912527504, 0.55302607122, 0.5569268674, 0.56082766358, 0.56472845976, 0.56862925594, 0.5725300521200001, 0.5764308483, 0.58033164448, 0.58423244066, 0.5881332368400001, 0.59203403302, 0.5959348292, 0.59983562538, 0.6037364215600001, 0.60763721774, 0.61153801392, 0.6154388101, 0.6193396062800001, 0.62324040246, 0.62714119864, 0.63104199482, 0.6349427910000001, 0.63884358718, 0.64274438336, 0.64664517954, 0.6505459757200001, 0.6544467719, 0.6583475680800001, 0.66224836426, 0.66614916044, 0.67004995662, 0.6739507528, 0.67785154898, 0.68175234516, 0.68565314134, 0.68955393752, 0.6934547337000001, 0.69735552988, 0.70125632606, 0.70515712224, 0.7090579184200001, 0.7129587146, 0.71685951078, 0.72076030696, 0.7246611031400001, 0.72856189932, 0.7324626955, 0.73636349168, 0.7402642878600001, 0.74416508404, 0.74806588022, 0.7519666764, 0.7558674725800001, 0.75976826876, 0.76366906494, 0.76756986112, 0.7714706573000001, 0.77537145348, 0.77927224966, 0.78317304584, 0.7870738420200001, 0.7909746382, 0.79487543438, 0.79877623056, 0.8026770267400001, 0.80657782292, 0.8104786191, 0.81437941528, 0.8182802114600001, 0.82218100764, 0.82608180382]"
2,"[-2.912845413, -2.87778157292, -2.8427177328399997, -2.80765389276, -2.77259005268, -2.7375262125999997, -2.70246237252, -2.66739853244, -2.6323346923599997, -2.59727085228, -2.5622070122, -2.5271431721199997, -2.49207933204, -2.45701549196, -2.4219516518799997, -2.3868878118, -2.35182397172, -2.3167601316399997, -2.28169629156, -2.24663245148, -2.2115686113999997, -2.17650477132, -2.14144093124, -2.1063770911599997, -2.07131325108, -2.036249411, -2.0011855709199997, -1.9661217308399999, -1.93105789076, -1.89599405068, -1.8609302105999999, -1.82586637052, -1.79080253044, -1.7557386903599999, -1.72067485028, -1.6856110102, -1.6505471701199999, -1.61548333004, -1.58041948996, -1.5453556498799998, -1.5102918098, -1.47522796972, -1.4401641296399998, -1.40510028956, -1.37003644948, -1.3349726093999998, -1.29990876932, -1.26484492924, -1.2297810891599998, -1.19471724908, -1.159653409, -1.12458956892, -1.08952572884, -1.05446188876, -1.01939804868, -0.9843342086, -0.9492703685199999, -0.91420652844, -0.87914268836, -0.8440788482800001, -0.8090150081999998, -0.77395116812, -0.7388873280400001, -0.7038234879599998, -0.66875964788, -0.6336958078000001, -0.5986319677199998, -0.56356812764, -0.5285042875600001, -0.4934404474799998, -0.45837660739999997, -0.4233127673200001, -0.3882489272399998, -0.35318508715999997, -0.3181212470800001, -0.2830574069999998, -0.24799356691999996, -0.2129297268400001, -0.17786588675999981, -0.14280204667999996, -0.10773820660000011, -0.07267436651999981, -0.03761052643999996, -0.0025466863600001055, 0.03251715372000019, 0.06758099380000004, 0.1026448338799999, 0.1377086739600002, 0.17277251404000005, 0.2078363541199999, 0.2429001942000002, 0.27796403428000005, 0.3130278743599999, 0.3480917144400002, 0.38315555452000005, 0.4182193945999999, 0.4532832346800002, 0.48834707476000005, 0.5234109148399999, 0.5584747549199998]"
3,"[-1.727952537, -1.70190290382, -1.67585327064, -1.64980363746, -1.62375400428, -1.5977043710999999, -1.5716547379199999, -1.54560510474, -1.51955547156, -1.49350583838, -1.4674562052, -1.44140657202, -1.41535693884, -1.38930730566, -1.36325767248, -1.3372080393, -1.3111584061200001, -1.2851087729400001, -1.25905913976, -1.23300950658, -1.2069598734, -1.18091024022, -1.15486060704, -1.12881097386, -1.10276134068, -1.0767117075, -1.05066207432, -1.02461244114, -0.9985628079600001, -0.9725131747800001, -0.9464635416, -0.92041390842, -0.8943642752400001, -0.8683146420600001, -0.8422650088800001, -0.8162153757, -0.79016574252, -0.7641161093400001, -0.7380664761600001, -0.71201684298, -0.6859672098, -0.6599175766200001, -0.6338679434400001, -0.6078183102600001, -0.5817686770800001, -0.5557190439000002, -0.5296694107200002, -0.5036197775400002, -0.4775701443600002, -0.45152051118000003, -0.42547087800000005, -0.3994212448200001, -0.3733716116400001, -0.3473219784600001, -0.32127234528000015, -0.2952227121000002, -0.2691730789200002, -0.24312344574000022, -0.21707381256000025, -0.19102417938000005, -0.16497454620000007, -0.1389249130200001, -0.11287527984000012, -0.08682564666000014, -0.06077601348000017, -0.03472638030000019, -0.008676747120000217, 0.01737288605999976, 0.043422519239999735, 0.06947215241999971, 0.09552178559999991, 0.12157141877999988, 0.14762105195999986, 0.17367068513999984, 0.1997203183199998, 0.2257699514999998, 0.25181958467999976, 0.27786921785999996, 0.30391885103999994, 0.3299684842199999, 0.3560181173999999, 0.38206775057999987, 0.40811738375999984, 0.4341670169399998, 0.4602166501199998, 0.48626628329999977, 0.5123159164799997, 0.5383655496599997, 0.5644151828399997, 0.5904648160199997, 0.6165144491999996, 0.6425640823799996, 0.6686137155599996, 0.6946633487399996, 0.7207129819199996, 0.7467626150999995, 0.7728122482799995, 0.7988618814599999, 0.8249115146399999, 0.8509611478199999]"
4,"[-1.244776384, -1.2280571839799999, -1.2113379839599998, -1.19461878394, -1.17789958392, -1.1611803839, -1.1444611838799998, -1.12774198386, -1.11102278384, -1.09430358382, -1.0775843837999999, -1.0608651837799998, -1.04414598376, -1.02742678374, -1.01070758372, -0.9939883836999999, -0.9772691836799999, -0.96054998366, -0.94383078364, -0.9271115836199999, -0.9103923836, -0.8936731835799999, -0.87695398356, -0.8602347835399999, -0.8435155835199999, -0.8267963835, -0.81007718348, -0.79335798346, -0.7766387834399999, -0.7599195834199999, -0.7432003833999999, -0.72648118338, -0.70976198336, -0.6930427833399999, -0.67632358332, -0.6596043832999999, -0.64288518328, -0.62616598326, -0.60944678324, -0.59272758322, -0.5760083832, -0.55928918318, -0.5425699831599999, -0.52585078314, -0.50913158312, -0.4924123831, -0.47569318307999997, -0.45897398306000003, -0.44225478304, -0.42553558301999994, -0.408816383, -0.39209718297999996, -0.37537798296, -0.35865878294, -0.34193958292000004, -0.3252203829, -0.30850118287999995, -0.29178198286, -0.27506278283999996, -0.25834358282000003, -0.24162438279999998, -0.22490518277999993, -0.2081859827600001, -0.19146678274000006, -0.17474758272000002, -0.15802838269999997, -0.14130918267999992, -0.1245899826600001, -0.10787078264000005, -0.09115158262, -0.07443238259999996, -0.05771318258000013, -0.040993982560000086, -0.02427478254000004, -0.007555582519999993, 0.009163617500000054, 0.02588281751999988, 0.042602017539999926, 0.05932121755999997, 0.07604041758000002, 0.09275961759999984, 0.10947881761999989, 0.12619801763999994, 0.14291721765999998, 0.15963641768000003, 0.17635561769999986, 0.1930748177199999, 0.20979401773999995, 0.22651321776, 0.24323241778000004, 0.25995161779999987, 0.2766708178199999, 0.29339001783999996, 0.31010921786, 0.32682841787999983, 0.3435476178999999, 0.3602668179199999, 0.37698601794, 0.39370521796, 0.41042441797999984]"
5,"[0.069743104, 0.07677776806, 0.08381243212, 0.09084709618, 0.09788176024, 0.1049164243, 0.11195108836, 0.11898575242000001, 0.12602041648, 0.13305508053999998, 0.1400897446, 0.14712440865999998, 0.15415907272, 0.16119373677999999, 0.16822840084000001, 0.1752630649, 0.18229772896000002, 0.18933239302, 0.19636705708, 0.20340172114, 0.2104363852, 0.21747104926, 0.22450571332, 0.23154037738, 0.23857504144, 0.2456097055, 0.25264436956, 0.25967903362, 0.26671369768, 0.27374836174, 0.28078302580000003, 0.28781768986, 0.29485235392, 0.30188701798, 0.30892168204000003, 0.3159563461, 0.32299101016, 0.33002567422, 0.33706033828, 0.34409500234, 0.3511296664, 0.35816433046, 0.36519899452, 0.37223365858, 0.37926832264, 0.3863029867, 0.39333765076, 0.40037231482, 0.40740697888, 0.41444164294, 0.421476307, 0.42851097106, 0.43554563512, 0.44258029918, 0.44961496324, 0.4566496273, 0.46368429136, 0.47071895542000003, 0.47775361948, 0.48478828354000003, 0.4918229476, 0.49885761166000003, 0.50589227572, 0.51292693978, 0.51996160384, 0.5269962679, 0.5340309319600001, 0.5410655960199999, 0.54810026008, 0.55513492414, 0.5621695882, 0.56920425226, 0.5762389163199999, 0.58327358038, 0.5903082444400001, 0.5973429084999999, 0.60437757256, 0.6114122366200001, 0.61844690068, 0.62548156474, 0.6325162287999999, 0.63955089286, 0.6465855569200001, 0.6536202209799999, 0.66065488504, 0.6676895491000001, 0.67472421316, 0.6817588772200001, 0.6887935412799999, 0.69582820534, 0.7028628694000001, 0.70989753346, 0.71693219752, 0.7239668615800001, 0.73100152564, 0.7380361897000001, 0.7450708537599999, 0.75210551782, 0.7591401818800001, 0.76617484594]"
