,0,1,2,3,4,5,6,7,8,9
0,"[-5.469147476749803, -5.136737765096855, -4.804328053443907, -4.47191834179096, -4.139508630138012, -3.807098918485064, -3.4746892068321165, -3.1422794951791686, -2.8098697835262207, -2.477460071873273, -2.145050360220325, -1.8126406485673776, -1.4802309369144298, -1.147821225261482, -0.8154115136085345, -0.4830018019555862, -0.15059209030263876, 0.18181762135030866, 0.514227333003257, 0.8466370446562044, 1.1790467563091527, 1.5114564679621, 1.8438661796150475, 2.176275891267996, 2.5086856029209432, 2.8410953145738906, 3.173505026226839, 3.5059147378797872, 3.8383244495327338, 4.170734161185682, 4.50314387283863, 4.835553584491577, 5.167963296144525, 5.5003730077974735, 5.83278271945042, 6.165192431103368, 6.497602142756317, 6.830011854409263, 7.1624215660622115, 7.49483127771516]","[-3.597714906403482, -3.3409730061334137, -3.084231105863345, -2.827489205593277, -2.5707473053232084, -2.3140054050531402, -2.057263504783072, -1.8005216045130037, -1.5437797042429353, -1.2870378039728672, -1.0302959037027986, -0.7735540034327304, -0.5168121031626622, -0.26007020289259364, -0.003328302622525481, 0.2534135976475431, 0.5101554979176113, 0.7668973981876794, 1.0236392984577476, 1.2803811987278166, 1.5371230989978848, 1.793864999267953, 2.050606899538021, 2.3073487998080893, 2.5640907000781574, 2.8208326003482265, 3.0775745006182946, 3.334316400888363, 3.591058301158431, 3.847800201428499, 4.104542101698568, 4.361284001968636, 4.6180259022387045, 4.874767802508773, 5.131509702778841, 5.388251603048909, 5.644993503318977, 5.901735403589045, 6.158477303859115, 6.415219204129183]","[-3.1373849327549816, -2.656788803422752, -2.1761926740905224, -1.6955965447582928, -1.2150004154260632, -0.7344042860938336, -0.25380815676160395, 0.22678797257062566, 0.7073841019028553, 1.187980231235085, 1.6685763605673145, 2.149172489899544, 2.6297686192317737, 3.1103647485640034, 3.590960877896233, 4.071557007228463, 4.552153136560692, 5.032749265892923, 5.513345395225151, 5.99394152455738, 6.474537653889611, 6.955133783221841, 7.43572991255407, 7.916326041886299, 8.39692217121853, 8.87751830055076, 9.358114429882988, 9.838710559215217, 10.319306688547448, 10.799902817879678, 11.280498947211907, 11.761095076544136, 12.241691205876366, 12.722287335208597, 13.202883464540827, 13.683479593873054, 14.164075723205285, 14.644671852537515, 15.125267981869742, 15.605864111201972]","[-4.613549135188814, -4.313965108748241, -4.014381082307668, -3.7147970558670966, -3.415213029426524, -3.1156290029859512, -2.816044976545379, -2.5164609501048067, -2.216876923664234, -1.9172928972236614, -1.6177088707830891, -1.3181248443425169, -1.0185408179019442, -0.7189567914613715, -0.4193727650207997, -0.11978873858022698, 0.1797952878603457, 0.4793793143009184, 0.7789633407414911, 1.078547367182063, 1.3781313936226356, 1.6777154200632083, 1.97729944650378, 2.276883472944353, 2.5764674993849255, 2.876051525825498, 3.175635552266071, 3.4752195787066427, 3.7748036051472145, 4.074387631587788, 4.37397165802836, 4.673555684468933, 4.973139710909505, 5.272723737350077, 5.572307763790651, 5.871891790231222, 6.171475816671796, 6.471059843112368, 6.77064386955294, 7.070227895993513]","[-4.029614828172003, -3.7495502712949724, -3.4694857144179423, -3.1894211575409126, -2.9093566006638825, -2.6292920437868523, -2.3492274869098226, -2.0691629300327925, -1.7890983731557624, -1.5090338162787322, -1.228969259401702, -0.9489047025246724, -0.6688401456476423, -0.38877558877061213, -0.10871103189358244, 0.1713535249834477, 0.4514180818604778, 0.731482638737508, 1.011547195614538, 1.2916117524915682, 1.5716763093685984, 1.8517408662456276, 2.1318054231226577, 2.411869979999688, 2.691934536876718, 2.971999093753748, 3.2520636506307783, 3.5321282075078084, 3.8121927643848377, 4.092257321261869, 4.372321878138898, 4.652386435015929, 4.932450991892958, 5.2125155487699875, 5.4925801056470185, 5.772644662524048, 6.052709219401079, 6.332773776278108, 6.612838333155139, 6.892902890032168]","[-2.097617344776954, -1.864306089819962, -1.6309948348629697, -1.3976835799059777, -1.1643723249489855, -0.9310610699919932, -0.6977498150350012, -0.464438560078009, -0.23112730512101676, 0.002183949835975252, 0.2354952047929677, 0.4688064597499597, 0.7021177147069517, 0.9354289696639442, 1.1687402246209362, 1.4020514795779286, 1.6353627345349206, 1.8686739894919127, 2.1019852444489047, 2.3352964994058976, 2.5686077543628896, 2.8019190093198816, 3.0352302642768736, 3.2685415192338656, 3.5018527741908576, 3.7351640291478505, 3.9684752841048425, 4.2017865390618345, 4.4350977940188265, 4.6684090489758185, 4.901720303932811, 5.1350315588898034, 5.3683428138467955, 5.6016540688037875, 5.8349653237607795, 6.068276578717772, 6.3015878336747635, 6.534899088631756, 6.768210343588749, 7.00152159854574]","[-5.198811845859043, -4.9619655040794495, -4.725119162299855, -4.488272820520261, -4.251426478740666, -4.014580136961072, -3.777733795181478, -3.5408874534018837, -3.3040411116222894, -3.067194769842695, -2.830348428063101, -2.5935020862835065, -2.3566557445039127, -2.1198094027243184, -1.882963060944724, -1.6461167191651298, -1.4092703773855355, -1.1724240356059417, -0.9355776938263469, -0.6987313520467531, -0.46188501026715834, -0.22503866848756449, 0.011807673292030252, 0.2486540150716241, 0.48550035685121795, 0.7223466986308127, 0.9591930404104065, 1.1960393821900013, 1.4328857239695951, 1.6697320657491899, 1.9065784075287837, 2.1434247493083785, 2.3802710910879723, 2.617117432867566, 2.85396377464716, 3.0908101164267547, 3.3276564582063495, 3.564502799985944, 3.801349141765537, 4.038195483545132]","[-5.944864257008297, -5.73105076602898, -5.517237275049662, -5.303423784070345, -5.089610293091027, -4.87579680211171, -4.661983311132392, -4.448169820153074, -4.234356329173757, -4.02054283819444, -3.8067293472151222, -3.5929158562358046, -3.379102365256487, -3.1652888742771697, -2.951475383297852, -2.7376618923185347, -2.523848401339217, -2.3100349103598994, -2.096221419380582, -1.882407928401265, -1.6685944374219472, -1.4547809464426296, -1.2409674554633119, -1.0271539644839942, -0.8133404735046765, -0.5995269825253597, -0.38571349154604206, -0.1719000005667244, 0.04191349041259329, 0.25572698139191097, 0.46954047237122776, 0.6833539633505454, 0.8971674543298631, 1.1109809453091808, 1.3247944362884985, 1.5386079272678153, 1.752421418247133, 1.9662349092264506, 2.1800484002057674, 2.393861891185085]","[-4.7338261427656105, -4.553129186626447, -4.372432230487283, -4.191735274348121, -4.011038318208957, -3.8303413620697935, -3.64964440593063, -3.4689474497914667, -3.2882504936523036, -3.10755353751314, -2.9268565813739764, -2.7461596252348133, -2.5654626690956497, -2.3847657129564865, -2.204068756817323, -2.02337180067816, -1.8426748445389962, -1.6619778883998326, -1.4812809322606695, -1.300583976121506, -1.1198870199823427, -0.9391900638431792, -0.758493107704016, -0.5777961515648524, -0.39709919542568883, -0.21640223928652524, -0.03570528314736254, 0.14499167299180105, 0.32568862913096464, 0.5063855852701282, 0.6870825414092909, 0.8677794975484545, 1.048476453687618, 1.2291734098267817, 1.4098703659659453, 1.590567322105108, 1.7712642782442716, 1.9519612343834352, 2.1326581905225988, 2.3133551466617615]","[-4.485877511377009, -4.162271336358502, -3.8386651613399962, -3.5150589863214896, -3.1914528113029834, -2.8678466362844772, -2.5442404612659706, -2.2206342862474644, -1.8970281112289582, -1.573421936210452, -1.2498157611919458, -0.9262095861734392, -0.602603411154933, -0.27899723613642635, 0.04460893888207984, 0.36821511390058603, 0.6918212889190922, 1.0154274639375984, 1.3390336389561046, 1.6626398139746108, 1.986245988993117, 2.309852164011624, 2.6334583390301303, 2.9570645140486365, 3.2806706890671427, 3.6042768640856497, 3.927883039104156, 4.251489214122662, 4.575095389141168, 4.8987015641596745, 5.222307739178181, 5.545913914196687, 5.869520089215193, 6.193126264233699, 6.5167324392522055, 6.840338614270712, 7.163944789289218, 7.487550964307724, 7.81115713932623, 8.134763314344736]"
1,"[-5.977602576461576, -5.6811279403143375, -5.3846533041671, -5.088178668019861, -4.791704031872622, -4.495229395725383, -4.198754759578145, -3.9022801234309066, -3.6058054872836682, -3.30933085113643, -3.012856214989191, -2.7163815788419527, -2.4199069426947144, -2.1234323065474756, -1.8269576704002368, -1.530483034252999, -1.2340083981057601, -0.9375337619585213, -0.6410591258112834, -0.34458448966404465, -0.048109853516805856, 0.24836478263043205, 0.5448394187776708, 0.8413140549249096, 1.1377886910721475, 1.4342633272193863, 1.730737963366625, 2.027212599513863, 2.3236872356611027, 2.6201618718083406, 2.9166365079555785, 3.213111144102818, 3.509585780250056, 3.806060416397294, 4.102535052544534, 4.399009688691772, 4.6954843248390095, 4.991958960986249, 5.288433597133487, 5.584908233280725]","[-4.400950765215991, -4.133879114261653, -3.866807463307315, -3.599735812352977, -3.3326641613986387, -3.0655925104443007, -2.798520859489962, -2.531449208535624, -2.264377557581286, -1.997305906626948, -1.73023425567261, -1.463162604718272, -1.1960909537639335, -0.9290193028095954, -0.6619476518552574, -0.39487600090091934, -0.1278043499465813, 0.13926730100775675, 0.4063389519620948, 0.6734106029164328, 0.9404822538707709, 1.207553904825109, 1.474625555779447, 1.741697206733785, 2.008768857688124, 2.275840508642462, 2.5429121595968, 2.809983810551138, 3.077055461505476, 3.344127112459814, 3.6111987634141522, 3.8782704143684894, 4.145342065322828, 4.412413716277167, 4.679485367231504, 4.946557018185843, 5.2136286691401805, 5.4807003200945195, 5.747771971048857, 6.0148436220031956]","[-3.694698532264297, -3.3162387963870597, -2.9377790605098224, -2.559319324632585, -2.1808595887553475, -1.8023998528781104, -1.423940117000873, -1.0454803811236357, -0.6670206452463985, -0.28856090936916123, 0.08989882650807601, 0.46835856238531326, 0.846818298262551, 1.2252780341397878, 1.6037377700170254, 1.9821975058942622, 2.3606572417715, 2.7391169776487376, 3.1175767135259744, 3.496036449403212, 3.874496185280449, 4.252955921157687, 4.631415657034923, 5.009875392912161, 5.388335128789398, 5.766794864666636, 6.145254600543872, 6.52371433642111, 6.902174072298347, 7.280633808175585, 7.659093544052821, 8.037553279930059, 8.416013015807296, 8.794472751684534, 9.172932487561772, 9.551392223439008, 9.929851959316245, 10.308311695193483, 10.68677143107072, 11.065231166947957]","[-4.613549135188814, -4.423609781788771, -4.233670428388729, -4.043731074988687, -3.853791721588644, -3.6638523681886017, -3.4739130147885593, -3.283973661388517, -3.0940343079884745, -2.904094954588432, -2.7141556011883896, -2.524216247788347, -2.3342768943883048, -2.1443375409882623, -1.95439818758822, -1.7644588341881775, -1.574519480788135, -1.3845801273880927, -1.1946407739880502, -1.0047014205880078, -0.8147620671879654, -0.624822713787923, -0.43488336038788056, -0.24494400698783814, -0.055004653587795715, 0.1349346998122467, 0.3248740532122891, 0.5148134066123315, 0.704752760012374, 0.8946921134124164, 1.0846314668124588, 1.2745708202125012, 1.4645101736125437, 1.654449527012586, 1.8443888804126285, 2.034328233812671, 2.2242675872127133, 2.4142069406127558, 2.604146294012798, 2.7940856474128406]","[-4.960776408339424, -4.734952041129199, -4.509127673918974, -4.28330330670875, -4.057478939498526, -3.831654572288301, -3.6058302050780764, -3.380005837867852, -3.1541814706576274, -2.9283571034474027, -2.7025327362371785, -2.476708369026954, -2.250884001816729, -2.025059634606505, -1.7992352673962801, -1.573410900186056, -1.3475865329758312, -1.1217621657656065, -0.8959377985553818, -0.6701134313451576, -0.4442890641349333, -0.21846469692470816, 0.007359670285516096, 0.23318403749574035, 0.4590084047059655, 0.6848327719161897, 0.910657139126414, 1.1364815063366382, 1.3623058735468634, 1.5881302407570876, 1.813954607967312, 2.039778975177537, 2.2656033423877613, 2.4914277095979855, 2.7172520768082107, 2.943076444018435, 3.16890081122866, 3.3947251784388843, 3.6205495456491086, 3.846373912859333]","[-2.4303022965749337, -2.1973450261359866, -1.9643877556970393, -1.7314304852580922, -1.4984732148191449, -1.2655159443801978, -1.0325586739412507, -0.7996014035023034, -0.5666441330633563, -0.33368686262440894, -0.10072959218546185, 0.13222767825348525, 0.36518494869243234, 0.5981422191313794, 0.831099489570327, 1.064056760009274, 1.2970140304482212, 1.5299713008871683, 1.7629285713261158, 1.9958858417650625, 2.22884311220401, 2.4618003826429566, 2.694757653081904, 2.9277149235208517, 3.1606721939597984, 3.393629464398746, 3.6265867348376926, 3.85954400527664, 4.092501275715588, 4.325458546154534, 4.558415816593482, 4.7913730870324285, 5.024330357471376, 5.257287627910324, 5.49024489834927, 5.723202168788217, 5.956159439227165, 6.189116709666112, 6.422073980105059, 6.655031250544007]","[-6.140165374079138, -5.930911135736848, -5.721656897394557, -5.512402659052267, -5.303148420709976, -5.093894182367686, -4.8846399440253965, -4.675385705683106, -4.466131467340816, -4.256877228998525, -4.047622990656235, -3.8383687523139445, -3.629114513971654, -3.4198602756293637, -3.2106060372870737, -3.0013517989447833, -2.792097560602493, -2.5828433222602025, -2.373589083917912, -2.164334845575622, -1.9550806072333318, -1.7458263688910414, -1.536572130548751, -1.3273178922064606, -1.1180636538641702, -0.9088094155218798, -0.6995551771795894, -0.49030093883729986, -0.28104670049500946, -0.07179246215271906, 0.13746177618957134, 0.34671601453186174, 0.5559702528741521, 0.7652244912164425, 0.9744787295587329, 1.1837329679010233, 1.3929872062433137, 1.6022414445856041, 1.8114956829278936, 2.020749921270185]","[-8.887456902200563, -8.601297140444595, -8.315137378688627, -8.028977616932659, -7.742817855176691, -7.456658093420723, -7.170498331664755, -6.8843385699087865, -6.598178808152818, -6.31201904639685, -6.025859284640882, -5.739699522884914, -5.453539761128946, -5.167379999372978, -4.8812202376170095, -4.595060475861041, -4.308900714105073, -4.022740952349105, -3.736581190593137, -3.450421428837169, -3.1642616670812007, -2.8781019053252326, -2.5919421435692644, -2.3057823818132963, -2.019622620057328, -1.73346285830136, -1.447303096545392, -1.1611433347894238, -0.8749835730334556, -0.5888238112774875, -0.3026640495215194, -0.01650428776555124, 0.2696554739904169, 0.555815235746385, 0.8419749975023532, 1.1281347592583213, 1.4142945210142894, 1.7004542827702576, 1.9866140445262257, 2.272773806282194]","[-6.446028114585265, -6.2225261091506106, -5.999024103715955, -5.775522098281301, -5.552020092846646, -5.328518087411991, -5.105016081977336, -4.881514076542682, -4.658012071108027, -4.434510065673372, -4.211008060238718, -3.987506054804063, -3.764004049369408, -3.540502043934753, -3.317000038500099, -3.093498033065444, -2.869996027630789, -2.6464940221961344, -2.42299201676148, -2.1994900113268248, -1.9759880058921704, -1.7524860004575151, -1.5289839950228608, -1.3054819895882064, -1.0819799841535511, -0.8584779787188968, -0.6349759732842415, -0.4114739678495871, -0.18797196241493275, 0.03553004301972251, 0.2590320484543769, 0.48253405388903214, 0.7060360593236865, 0.9295380647583409, 1.1530400701929961, 1.3765420756276505, 1.600044081062305, 1.8235460864969602, 2.0470480919316154, 2.270550097366269]","[-5.986075402291692, -5.624964280000318, -5.263853157708946, -4.902742035417572, -4.541630913126198, -4.1805197908348255, -3.819408668543452, -3.458297546252078, -3.097186423960705, -2.7360753016693318, -2.374964179377958, -2.013853057086585, -1.6527419347952117, -1.291630812503838, -0.9305196902124644, -0.5694085679210916, -0.20829744562971797, 0.15281367666165568, 0.5139247989530284, 0.8750359212444021, 1.2361470435357758, 1.5972581658271485, 1.9583692881185222, 2.319480410409896, 2.6805915327012686, 3.041702654992643, 3.402813777284016, 3.7639248995753887, 4.125036021866763, 4.486147144158136, 4.847258266449509, 5.208369388740883, 5.569480511032256, 5.930591633323629, 6.291702755615003, 6.652813877906376, 7.013925000197749, 7.375036122489123, 7.736147244780496, 8.09725836707187]"
2,"[-7.044472167250925, -6.825438447774094, -6.606404728297264, -6.387371008820432, -6.168337289343602, -5.949303569866771, -5.7302698503899405, -5.51123613091311, -5.2922024114362785, -5.073168691959448, -4.854134972482617, -4.635101253005787, -4.416067533528956, -4.197033814052125, -3.9780000945752945, -3.7589663750984634, -3.539932655621633, -3.3208989361448022, -3.101865216667971, -2.88283149719114, -2.6637977777143096, -2.444764058237479, -2.2257303387606484, -2.006696619283818, -1.7876628998069872, -1.5686291803301557, -1.3495954608533252, -1.1305617413764946, -0.911528021899664, -0.6924943024228334, -0.4734605829460019, -0.2544268634691713, -0.035393143992340725, 0.18364057548448987, 0.40267429496132046, 0.6217080144381519, 0.8407417339149825, 1.0597754533918131, 1.2788091728686446, 1.4978428923454743]","[-5.949040043649156, -5.620262783053591, -5.291485522458026, -4.96270826186246, -4.633931001266895, -4.305153740671329, -3.976376480075764, -3.6475992194801985, -3.3188219588846333, -2.990044698289068, -2.6612674376935024, -2.332490177097937, -2.003712916502372, -1.6749356559068067, -1.3461583953112406, -1.0173811347156754, -0.6886038741201101, -0.3598266135245449, -0.0310493529289797, 0.2977279076665864, 0.6265051682621516, 0.9552824288577169, 1.284059689453282, 1.6128369500488473, 1.9416142106444125, 2.2703914712399778, 2.599168731835543, 2.92794599243111, 3.256723253026675, 3.5855005136222404, 3.9142777742178056, 4.243055034813371, 4.571832295408936, 4.900609556004501, 5.2293868166000665, 5.558164077195632, 5.886941337791197, 6.215718598386762, 6.544495858982329, 6.873273119577894]","[-7.008400516820998, -6.548302908758807, -6.088205300696616, -5.628107692634425, -5.168010084572234, -4.707912476510043, -4.247814868447852, -3.7877172603856613, -3.3276196523234702, -2.867522044261279, -2.407424436199088, -1.9473268281368972, -1.4872292200747061, -1.0271316120125151, -0.5670340039503241, -0.10693639588813308, 0.35316121217405794, 0.813258820236249, 1.27335642829844, 1.7334540363606301, 2.193551644422822, 2.653649252485014, 3.113746860547204, 3.573844468609394, 4.033942076671586, 4.494039684733778, 4.954137292795968, 5.414234900858158, 5.87433250892035, 6.334430116982542, 6.794527725044732, 7.254625333106922, 7.714722941169114, 8.174820549231306, 8.634918157293496, 9.095015765355686, 9.555113373417878, 10.01521098148007, 10.475308589542259, 10.93540619760445]","[-5.281409708286667, -5.084452721233827, -4.8874957341809875, -4.690538747128148, -4.493581760075308, -4.296624773022469, -4.099667785969629, -3.9027107989167895, -3.70575381186395, -3.5087968248111103, -3.3118398377582707, -3.1148828507054316, -2.917925863652592, -2.7209688765997524, -2.524011889546913, -2.327054902494073, -2.1300979154412336, -1.933140928388394, -1.7361839413355544, -1.5392269542827148, -1.3422699672298752, -1.145312980177036, -0.9483559931241965, -0.7513990060713569, -0.5544420190185173, -0.3574850319656777, -0.16052804491283812, 0.036428942140001475, 0.23338592919284107, 0.43034291624568066, 0.6272999032985203, 0.8242568903513598, 1.0212138774041994, 1.218170864457039, 1.4151278515098786, 1.6120848385627182, 1.8090418256155578, 2.0059988126683974, 2.202955799721237, 2.3999127867740766]","[-5.503464531775403, -5.268417175053465, -5.033369818331527, -4.798322461609589, -4.563275104887651, -4.328227748165713, -4.093180391443775, -3.8581330347218374, -3.6230856779998994, -3.3880383212779615, -3.1529909645560235, -2.9179436078340855, -2.6828962511121475, -2.4478488943902095, -2.2128015376682715, -1.9777541809463335, -1.7427068242243955, -1.5076594675024575, -1.2726121107805195, -1.0375647540585815, -0.8025173973366435, -0.5674700406147055, -0.3324226838927675, -0.09737532717082953, 0.13767202955110847, 0.37271938627304646, 0.6077667429949845, 0.8428140997169224, 1.0778614564388604, 1.3129088131607984, 1.5479561698827364, 1.7830035266046744, 2.0180508833266124, 2.2530982400485504, 2.4881455967704884, 2.7231929534924255, 2.9582403102143644, 3.1932876669363033, 3.4283350236582404, 3.6633823803801775]","[-3.172761854281929, -2.9277549168534183, -2.6827479794249074, -2.4377410419963965, -2.1927341045678856, -1.9477271671393748, -1.702720229710864, -1.457713292282353, -1.2127063548538422, -0.9676994174253313, -0.7226924799968204, -0.47768554256830953, -0.23267860513979866, 0.012328332288712218, 0.2573352697172231, 0.502342207145734, 0.7473491445742448, 0.9923560820027557, 1.2373630194312666, 1.4823699568597775, 1.7273768942882883, 1.9723838317167992, 2.21739076914531, 2.462397706573821, 2.707404644002332, 2.9524115814308427, 3.1974185188593536, 3.4424254562878644, 3.6874323937163753, 3.932439331144886, 4.177446268573397, 4.422453206001908, 4.667460143430419, 4.912467080858929, 5.157474018287441, 5.402480955715952, 5.647487893144462, 5.892494830572972, 6.137501768001484, 6.382508705429996]","[-8.898705139230302, -8.672648812505086, -8.44659248577987, -8.220536159054653, -7.994479832329438, -7.768423505604222, -7.542367178879006, -7.316310852153791, -7.090254525428574, -6.864198198703359, -6.638141871978142, -6.412085545252927, -6.186029218527711, -5.9599728918024955, -5.733916565077279, -5.507860238352063, -5.281803911626847, -5.055747584901631, -4.829691258176416, -4.603634931451199, -4.377578604725984, -4.151522278000768, -3.9254659512755516, -3.699409624550336, -3.4733532978251205, -3.247296971099904, -3.0212406443746884, -2.795184317649473, -2.5691279909242564, -2.343071664199041, -2.117015337473825, -1.8909590107486087, -1.6649026840233931, -1.4388463572981776, -1.212790030572961, -0.9867337038477455, -0.7606773771225299, -0.5346210503973143, -0.308564723672097, -0.08250839694688139]","[-9.001942926284702, -8.71292101392663, -8.423899101568558, -8.134877189210487, -7.845855276852416, -7.556833364494344, -7.267811452136272, -6.978789539778202, -6.68976762742013, -6.400745715062058, -6.111723802703986, -5.822701890345915, -5.533679977987843, -5.244658065629771, -4.9556361532717, -4.666614240913629, -4.377592328555557, -4.088570416197485, -3.7995485038394134, -3.5105265914813426, -3.221504679123271, -2.932482766765199, -2.6434608544071274, -2.3544389420490557, -2.065417029690984, -1.776395117332913, -1.4873732049748414, -1.1983512926167696, -0.9093293802586988, -0.6203074679006271, -0.33128555554255534, -0.04226364318448361, 0.24675826917358812, 0.5357801815316598, 0.8248020938897316, 1.1138240062478033, 1.402845918605875, 1.6918678309639468, 1.9808897433220167, 2.2699116556800885]","[-7.616091151538437, -7.378438334775804, -7.14078551801317, -6.903132701250537, -6.665479884487904, -6.42782706772527, -6.190174250962636, -5.952521434200003, -5.71486861743737, -5.4772158006747365, -5.239562983912103, -5.00191016714947, -4.764257350386837, -4.526604533624203, -4.28895171686157, -4.051298900098937, -3.813646083336303, -3.5759932665736693, -3.338340449811036, -3.100687633048403, -2.8630348162857695, -2.6253819995231362, -2.387729182760503, -2.1500763659978697, -1.9124235492352364, -1.674770732472603, -1.4371179157099698, -1.1994650989473357, -0.9618122821847024, -0.7241594654220691, -0.4865066486594358, -0.24885383189680255, -0.011201015134169268, 0.226451801628464, 0.4641046183910982, 0.7017574351537315, 0.9394102519163647, 1.177063068678998, 1.4147158854416313, 1.6523687022042646]","[-5.986075402291692, -5.671837331939339, -5.357599261586985, -5.043361191234633, -4.72912312088228, -4.414885050529927, -4.100646980177574, -3.7864089098252203, -3.4721708394728674, -3.1579327691205146, -2.8436946987681613, -2.529456628415808, -2.215218558063455, -1.9009804877111023, -1.5867424173587485, -1.2725043470063957, -0.9582662766540428, -0.64402820630169, -0.32979013594933715, -0.015552065596983411, 0.29868600475536944, 0.6129240751077223, 0.927162145460076, 1.2414002158124289, 1.5556382861647817, 1.8698763565171346, 2.1841144268694874, 2.4983524972218403, 2.812590567574195, 3.1268286379265477, 3.4410667082789006, 3.7553047786312534, 4.069542848983606, 4.383780919335959, 4.698018989688312, 5.012257060040665, 5.326495130393018, 5.640733200745372, 5.954971271097725, 6.269209341450078]"
