,0
0,"[0, 0, 0, 0, 0, 0, 0, 0, -3.3286784522913617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7532733698926544, 0, 0, 0, 0, 0, 0, 0, -1.0978750018593182, 0, -0.8912820380227225, -0.8785340148458725, 0, -0.6700663417185638, 0, 0, -0.42672907578399, 0, 0, -0.165431569645965, 0, -0.0225417527062227, 0, 0, 0.20767254819335723, 0, 0, 0.4468854536883627, 0, 0, 0, 0, 0.829701090851999, 0.9425585901529344, 1.0017994037394704, 1.06272745568765, 0, 1.2366379875561455, 1.3167505645792894, 0, 0, 0, 0, 1.7141889342104895, 1.8356700962487047, 1.8780385262188224, 1.9582760838613482, 2.0463874205248684, 0, 0, 2.294598930615296, 0, 0, 2.518064278068312, 0, 0, 2.7835231136333, 2.8791332874596733, 0, 2.995365263483892, 3.088832778225321, 3.135218576571097, 3.248451017730176, 3.304692296451572, 3.39542822612209, 3.470041655892475, 3.5707612656539816, 0, 0, 3.775244328420586, 0, 3.9507171180313407]"
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.150908791559308, 0, 0, -2.897668513224507, 0, 0, -2.659973677718179, 0, 0, -2.4361351801800173, 0, 0, 0, 0, 0, -1.9624346140276672, 0, -1.775889300085992, 0, 0, 0, 0, -1.415089774193085, -1.3273280545998938, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.4953961303277456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2657885362054671, 0.3653700830617325, 0, 0.5285972327606988, 0.5779726176605384, 0.705407864877714, 0, 0, 0.914138701527454, 0, 0, 0, 0, 0, 1.3922307357259673, 0, 0, 1.6197035859585425, 1.6849434692753626, 1.8079543494088484, 0, 0, 0, 2.1165399871651824, 2.200130195813307, 2.276888006308085, 0, 2.471786615162036, 0, 2.587383564026662, 0, 0, 0, 0, 0, 3.0780655186260564, 0, 0, 0, 0, 0, 0, 0, 0, 3.835670360088435, 0, 3.95856617607736]"
2,"[0, -3.91413988784756, 0, 0, -3.630059456804659, -3.597714906403482, 0, -3.365810290569557, 0, 0, -3.139876541810069, 0, -2.9916933690418834, -2.906550927644032, 0, -2.797876799583664, 0, -2.563942958310032, -2.5448872541977097, -2.4478330376819315, 0, 0, -2.232830979342586, 0, 0, -1.962183881078821, 0, -1.8233328228098538, 0, 0, -1.553238441510444, -1.470245835442306, 0, -1.3273280545998938, 0, -1.1247358319320528, -1.0948986110193388, 0, 0, -0.83119466303521, 0, 0, -0.5790958574137517, 0, 0, -0.38016679437952, 0, 0, 0, 0, 0.0648069938931177, 0, 0, 0, 0.3760214424994034, 0.4296513377001575, 0.5276697721840434, 0.573150660884727, 0.6924723707717925, 0.7271777282469979, 0, 0.914138701527454, 0, 0, 0, 1.2221914201031252, 0, 1.4184890564469659, 1.4468261028082607, 1.5891976063807076, 1.6145239054424636, 1.756793674562502, 1.821208149137561, 1.886333375287988, 0, 2.02924968943352, 2.1001933638875996, 2.200130195813307, 2.2545542058864787, 2.3675345894463344, 2.4306943044346947, 2.523088255995311, 2.5927405563111128, 0, 2.794470891485053, 2.820505826117449, 2.932935974476626, 3.0302290554087, 3.062104914233282, 3.1540633322487155, 3.2700942735154586, 3.310557838517389, 0, 0, 0, 3.6409419732504356, 3.6810706936288855, 3.8195966982797143, 0, 3.9533777642359462]"
3,"[-3.976321659161452, -3.8818839744857048, -3.777991896623999, 0, -3.630059456804659, -3.54407478084339, -3.4849242065068515, -3.412222933715829, -3.3441370511564497, -3.2028105119705, -3.14664633142892, -3.062650793565397, -2.9988071214422947, -2.933622460373127, -2.833569990971974, 0, 0, 0, 0, 0, 0, -2.315717338952157, -2.231456644580748, -2.151181285716905, -2.006430217366376, 0, 0, -1.824750960763381, -1.7160726808485085, 0, -1.5386866675131166, 0, -1.424361705803426, 0, 0, -1.1691155638778543, 0, -0.9997896477368413, -0.9582491538980844, -0.8751948143948307, 0, -0.6592589667889671, -0.6294905135964255, 0, 0, 0, 0, 0, -0.0859492248616757, 0, 0, 0.14354792977833372, 0, 0, 0.3795564604375234, 0.4560242215761754, 0, 0, 0, 0, 0.8031498117474376, 0.9309058239988746, 0, 1.0435387903363496, 0, 1.2271523514618476, 0, 0, 0, 1.5287709657087396, 0, 0, 0, 1.8800780894957323, 0, 2.007535183583098, 2.117073050846709, 0, 2.260363405474655, 0, 2.449417233013579, 2.482495235915704, 2.6029314796344143, 2.685902767005249, 2.794470891485053, 2.807895585063073, 2.9348912878966793, 3.0329167714500107, 3.0598588850007813, 3.160787101878727, 3.2047984520551864, 3.295195301577932, 0, 3.4807269860544414, 0, 3.678320264213278, 3.6810706936288855, 0, 0, 0]"
4,"[-3.97251277302969, -3.901723523854969, 0, -3.6977834822403945, -3.627999674065302, -3.555839922753355, -3.4889764390077485, -3.4113733766675427, -3.2870119855316093, -3.221051296903209, -3.172761854281929, -3.1163381524376423, 0, -2.92199791823743, 0, -2.7728863949080496, -2.6871987964707893, -2.58911341193186, -2.53246090274401, -2.4302419911987236, -2.3675962226686473, -2.3158858699093288, -2.1739284063511075, -2.119346052332989, -2.006430217366376, -1.944572943347869, -1.8639798559516807, 0, -1.7185262843157925, 0, -1.5402261637073638, -1.4429558941474676, 0, -1.3447597542870475, 0, -1.1733845574125272, -1.0587541361895267, 0, 0, -0.8751948143948307, 0, -0.6878214996013872, 0, 0, 0, 0, -0.2759726245143971, 0, -0.088008310540566, 0, 0, 0.14354792977833372, 0, 0, 0, 0, 0, 0.5689299441450936, 0.6806255635702136, 0, 0.8664944551684892, 0, 0, 1.0435387903363496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8784005067332812, 0, 2.079129219633507, 2.1211785370998104, 0, 2.291117782924298, 0, 2.470167266247145, 0, 2.6029314796344143, 2.660025287641954, 0, 2.8184627886321585, 0, 3.0329167714500107, 0, 3.1661289375108312, 3.2354820903117982, 0, 3.4080032233584703, 3.5054553274896554, 0, 3.6389721013684913, 0, 3.783401002375048, 3.8556736867258894, 3.9878152458969214]"
5,"[-3.97251277302969, -3.8919908724704544, 0, -3.7011687113117, -3.636743609019791, -3.5726373136558096, -3.48694971521855, -3.3726995839688696, -3.2870119855316093, -3.239750374811199, -3.158480587875719, -3.0815267091160146, 0, -2.9014177925639393, 0, -2.734926084236946, -2.715761329283209, -2.5935570306310516, -2.5070233191098827, 0, 0, 0, -2.2010416359428224, -2.142131992093144, 0, 0, 0, -1.831937319104206, -1.687510148036088, -1.601822549598828, 0, 0, 0, 0, 0, 0, -1.1090134105813454, 0, 0, -0.8377427429498866, 0, 0, 0, 0, 0, 0, -0.2759726245143971, 0, 0, 0, 0, 0.14354792977833372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0565316576327188, 0, 0, 0, 0, 0, 0, 1.6231849779404417, 0, 0, 1.8899834429896465, 0, 0, 2.121041911534377, 0, 2.2974960690548336, 0, 0, 0, 0, 0, 2.76272291758043, 2.8531791208324195, 0, 0, 3.0949179009963093, 3.13368148560211, 3.242059155441223, 3.3407498487147773, 0, 0, 0, 0, 0, 3.783401002375048, 3.8556736867258894, 3.966898095805422]"
