,0
0,"[-0.384106049, -0.37398580555, -0.3638655621, -0.35374531865000003, -0.3436250752, -0.33350483175, -0.3233845883, -0.31326434485, -0.30314410140000003, -0.29302385795, -0.2829036145, -0.27278337105, -0.2626631276, -0.25254288415000004, -0.2424226407, -0.23230239725000001, -0.2221821538, -0.21206191035, -0.2019416669, -0.19182142345, -0.18170118000000002, -0.17158093655, -0.1614606931, -0.15134044965000001, -0.1412202062, -0.13109996275000002, -0.12097971930000001, -0.11085947585, -0.10073923239999999, -0.09061898894999998, -0.08049874550000002, -0.07037850205000001, -0.0602582586, -0.05013801514999999, -0.04001777169999998, -0.029897528250000027, -0.019777284800000017, -0.009657041350000006, 0.00046320210000000417, 0.010583445550000015, 0.02070368899999997, 0.03082393244999998, 0.04094417589999999, 0.05106441935, 0.06118466280000001, 0.07130490625000002, 0.08142514969999998, 0.09154539314999999, 0.1016656366, 0.11178588005000001, 0.12190612349999996, 0.13202636695000003, 0.14214661039999998, 0.15226685385000005, 0.1623870973, 0.17250734074999996, 0.18262758420000003, 0.19274782764999998, 0.20286807110000005, 0.21298831455, 0.22310855799999996, 0.23322880145000002, 0.24334904489999998, 0.25346928835000004, 0.2635895318, 0.27370977524999995, 0.2838300187, 0.29395026215, 0.30407050560000004, 0.31419074905, 0.32431099249999995, 0.33443123595, 0.34455147939999997, 0.35467172285000004, 0.3647919663, 0.37491220974999995, 0.3850324532, 0.39515269664999997, 0.40527294010000003, 0.41539318355, 0.42551342699999994, 0.43563367045, 0.44575391389999997, 0.45587415735000003, 0.4659944008, 0.47611464425000005, 0.4862348877, 0.49635513114999996, 0.5064753746, 0.51659561805, 0.5267158615, 0.53683610495, 0.5469563484, 0.55707659185, 0.5671968353, 0.57731707875, 0.5874373222, 0.59755756565, 0.6076778091, 0.6177980525500001]"
1,"[-0.384106049, -0.37637650623, -0.36864696346000003, -0.36091742069, -0.35318787792, -0.34545833515, -0.33772879238000003, -0.32999924961, -0.32226970684, -0.31454016407, -0.30681062130000003, -0.29908107853, -0.29135153576, -0.28362199299, -0.27589245022000003, -0.26816290745000004, -0.26043336468, -0.25270382191, -0.24497427914000003, -0.23724473637000001, -0.22951519360000003, -0.22178565083000001, -0.21405610806000003, -0.20632656529, -0.19859702252000003, -0.19086747975, -0.18313793698000003, -0.17540839421, -0.16767885144000003, -0.15994930867, -0.15221976590000003, -0.14449022313, -0.13676068036000003, -0.12903113759, -0.12130159482000002, -0.11357205205000004, -0.10584250928000005, -0.09811296651000001, -0.09038342374000002, -0.08265388097000004, -0.07492433820000005, -0.06719479543000001, -0.05946525266000002, -0.05173570989000004, -0.04400616712000005, -0.03627662435000001, -0.028547081580000022, -0.020817538810000036, -0.01308799604000005, -0.005358453270000063, 0.0023710894999999788, 0.010100632269999965, 0.01783017503999995, 0.025559717809999938, 0.03328926057999998, 0.041018803349999966, 0.04874834611999995, 0.05647788888999994, 0.06420743165999998, 0.07193697442999997, 0.07966651719999995, 0.08739605996999994, 0.09512560273999998, 0.10285514550999997, 0.11058468827999995, 0.11831423104999994, 0.12604377381999998, 0.1337733165899999, 0.14150285935999996, 0.14923240213, 0.15696194489999993, 0.16469148766999997, 0.1724210304399999, 0.18015057320999994, 0.18788011597999998, 0.19560965874999992, 0.20333920151999996, 0.21106874429, 0.21879828705999993, 0.22652782982999997, 0.2342573725999999, 0.24198691536999994, 0.24971645813999999, 0.2574460009099999, 0.26517554367999996, 0.2729050864499999, 0.28063462921999993, 0.28836417199, 0.2960937147599999, 0.30382325752999995, 0.3115528003, 0.3192823430699999, 0.32701188583999996, 0.3347414286099999, 0.34247097137999993, 0.35020051415, 0.3579300569199999, 0.36565959968999995, 0.3733891424599999, 0.3811186852299999]"
2,"[-1.715979928, -1.69406910453, -1.6721582810600002, -1.6502474575900001, -1.62833663412, -1.60642581065, -1.5845149871800002, -1.56260416371, -1.54069334024, -1.51878251677, -1.4968716933000001, -1.47496086983, -1.45305004636, -1.4311392228900002, -1.40922839942, -1.38731757595, -1.3654067524800002, -1.3434959290100001, -1.32158510554, -1.29967428207, -1.2777634586, -1.2558526351300001, -1.23394181166, -1.21203098819, -1.1901201647200002, -1.16820934125, -1.14629851778, -1.1243876943100002, -1.1024768708400001, -1.08056604737, -1.0586552239000002, -1.03674440043, -1.01483357696, -0.9929227534900001, -0.9710119300200001, -0.9491011065500001, -0.9271902830800001, -0.9052794596100001, -0.88336863614, -0.8614578126700001, -0.8395469892, -0.8176361657300001, -0.7957253422600001, -0.7738145187900001, -0.7519036953200001, -0.7299928718500001, -0.7080820483800001, -0.68617122491, -0.6642604014400002, -0.6423495779700001, -0.6204387545000001, -0.59852793103, -0.5766171075600002, -0.5547062840900001, -0.53279546062, -0.51088463715, -0.48897381368000015, -0.4670629902100001, -0.44515216674, -0.4232413432700002, -0.4013305198000001, -0.37941969633000006, -0.35750887286, -0.33559804939000015, -0.3136872259200001, -0.29177640245, -0.2698655789800002, -0.24795475551000012, -0.22604393204000006, -0.20413310857, -0.18222228510000016, -0.1603114616300001, -0.13840063816000003, -0.11648981469000019, -0.09457899122000013, -0.07266816775000007, -0.050757344280000005, -0.028846520810000165, -0.006935697340000102, 0.01497512612999996, 0.03688594960000002, 0.058796773069999864, 0.08070759653999993, 0.10261842000999999, 0.12452924347999983, 0.1464400669499999, 0.16835089041999995, 0.19026171389000002, 0.21217253735999986, 0.23408336082999992, 0.2559941843, 0.2779050077699998, 0.2998158312399999, 0.3217266547099997, 0.34363747818, 0.36554830164999985, 0.3874591251199997, 0.40936994859, 0.4312807720599998, 0.4531915955300001]"
3,"[-0.874153599, -0.86032153135, -0.8464894637, -0.83265739605, -0.8188253284, -0.80499326075, -0.7911611931, -0.77732912545, -0.7634970578, -0.74966499015, -0.7358329225, -0.72200085485, -0.7081687872, -0.69433671955, -0.6805046519, -0.66667258425, -0.6528405166, -0.63900844895, -0.6251763813, -0.6113443136500001, -0.597512246, -0.5836801783500001, -0.5698481107, -0.5560160430500001, -0.5421839754, -0.5283519077500001, -0.5145198401, -0.5006877724500001, -0.4868557048, -0.47302363715, -0.4591915695, -0.44535950185, -0.4315274342, -0.41769536655, -0.4038632989, -0.39003123125, -0.3761991636, -0.36236709595000005, -0.34853502830000005, -0.33470296065000005, -0.32087089300000005, -0.30703882535000004, -0.29320675770000004, -0.27937469005000004, -0.26554262240000004, -0.25171055475000004, -0.23787848710000004, -0.22404641945000003, -0.21021435180000003, -0.19638228415000003, -0.18255021650000003, -0.16871814885000003, -0.15488608120000003, -0.14105401355000002, -0.12722194590000002, -0.11338987825000002, -0.09955781060000002, -0.08572574295000002, -0.07189367530000002, -0.05806160765000001, -0.04422954000000001, -0.03039747235000001, -0.016565404700000008, -0.0027333370500000065, 0.011098730599999995, 0.024930798249999997, 0.0387628659, 0.05259493355, 0.0664270012, 0.08025906885, 0.0940911365, 0.10792320415000001, 0.12175527180000001, 0.13558733945, 0.1494194070999999, 0.16325147475000001, 0.1770835423999999, 0.19091561005000002, 0.2047476776999999, 0.21857974535000002, 0.2324118129999999, 0.24624388065000002, 0.2600759482999999, 0.27390801595000003, 0.2877400835999999, 0.30157215125000003, 0.3154042188999999, 0.32923628655000003, 0.3430683541999999, 0.35690042185000004, 0.37073248949999993, 0.38456455715000004, 0.39839662479999993, 0.41222869245000004, 0.42606076009999994, 0.43989282775000005, 0.45372489539999994, 0.46755696305000005, 0.48138903069999994, 0.49522109835000006]"
4,"[-0.050683987, -0.04284216828, -0.035000349560000005, -0.02715853084, -0.019316712120000003, -0.011474893400000005, -0.0036330746800000008, 0.004208744039999997, 0.012050562759999994, 0.01989238148, 0.02773420019999999, 0.035576018919999994, 0.04341783764, 0.05125965635999999, 0.05910147507999999, 0.06694329379999998, 0.07478511251999999, 0.08262693123999999, 0.09046874996, 0.09831056867999997, 0.10615238739999998, 0.11399420611999998, 0.12183602483999999, 0.12967784356, 0.13751966228, 0.14536148099999996, 0.15320329971999996, 0.16104511843999997, 0.16888693715999997, 0.17672875587999998, 0.18457057459999998, 0.19241239331999999, 0.20025421204, 0.20809603076, 0.21593784948, 0.2237796682, 0.23162148692, 0.23946330564, 0.24730512435999996, 0.25514694307999997, 0.26298876179999997, 0.27083058052, 0.27867239924, 0.28651421796, 0.29435603668, 0.3021978554, 0.31003967412, 0.31788149284, 0.32572331156, 0.33356513027999996, 0.34140694899999996, 0.34924876771999996, 0.35709058643999997, 0.36493240516, 0.37277422388, 0.3806160426, 0.38845786132, 0.39629968004, 0.40414149876, 0.41198331747999994, 0.41982513619999995, 0.42766695491999995, 0.43550877363999996, 0.44335059235999996, 0.45119241107999997, 0.45903422979999997, 0.46687604852, 0.47471786724, 0.48255968596, 0.49040150468, 0.4982433234, 0.50608514212, 0.51392696084, 0.52176877956, 0.52961059828, 0.5374524169999999, 0.5452942357199999, 0.5531360544399999, 0.5609778731599999, 0.5688196918799999, 0.5766615105999999, 0.5845033293199999, 0.5923451480399999, 0.6001869667599999, 0.60802878548, 0.6158706042, 0.62371242292, 0.63155424164, 0.63939606036, 0.64723787908, 0.6550796978, 0.66292151652, 0.67076333524, 0.67860515396, 0.68644697268, 0.6942887914, 0.70213061012, 0.7099724288399999, 0.7178142475599999, 0.7256560662799999]"
5,"[-0.470834532, -0.46164987681999997, -0.45246522163999997, -0.44328056645999997, -0.43409591127999997, -0.42491125609999997, -0.41572660091999997, -0.40654194573999997, -0.39735729055999996, -0.38817263537999996, -0.37898798019999996, -0.36980332501999996, -0.36061866984, -0.35143401466, -0.34224935948, -0.3330647043, -0.32388004912, -0.31469539394, -0.30551073876, -0.29632608358, -0.2871414284, -0.27795677322, -0.26877211804, -0.25958746286, -0.25040280768, -0.2412181525, -0.23203349732, -0.22284884214, -0.21366418696, -0.20447953178, -0.1952948766, -0.18611022142, -0.17692556624, -0.16774091106, -0.15855625588, -0.1493716007, -0.14018694552, -0.13100229034, -0.12181763515999999, -0.11263297997999999, -0.10344832479999999, -0.09426366961999999, -0.08507901443999999, -0.07589435925999999, -0.06670970407999999, -0.057525048899999986, -0.048340393719999986, -0.039155738539999985, -0.02997108336000004, -0.02078642818000004, -0.011601773000000037, -0.0024171178200000365, 0.006767537359999964, 0.015952192539999965, 0.025136847719999966, 0.03432150289999997, 0.04350615807999997, 0.05269081325999997, 0.06187546843999997, 0.07106012361999997, 0.08024477879999997, 0.08942943397999997, 0.09861408915999997, 0.10779874433999997, 0.11698339951999998, 0.12616805469999998, 0.13535270987999998, 0.14453736505999998, 0.15372202023999998, 0.16290667541999998, 0.17209133059999998, 0.18127598577999998, 0.19046064095999998, 0.19964529613999998, 0.20882995131999998, 0.21801460649999999, 0.22719926168, 0.23638391686, 0.24556857204, 0.25475322722, 0.2639378824, 0.27312253758, 0.28230719276, 0.29149184794, 0.30067650312, 0.3098611583, 0.31904581348, 0.32823046866, 0.33741512384, 0.34659977902, 0.3557844342, 0.36496908938, 0.37415374456, 0.38333839974, 0.39252305492, 0.4017077101, 0.4108923652799999, 0.4200770204599999, 0.4292616756399999, 0.4384463308199999]"
