,0
0,"[0, -3.861121495920563, -3.8231176047181137, 0, 0, 0, -3.5180059006524242, 0, -3.3134484605458088, -3.249037136637757, 0, 0, 0, 0, 0, -2.779114293770919, 0, -2.5616480160481867, 0, 0, 0, 0, 0, 0, 0, 0, -1.8957512759868569, 0, -1.73715086999252, 0, -1.5434598565054367, -1.4416966857761204, -1.397828488373431, -1.320590465596047, 0, -1.1644896719893272, 0, -1.0217618046563621, 0, -0.8279168639966173, -0.7990463409196322, -0.6635048592010683, -0.5727689295305491, -0.4938436683915232, -0.4199801223374241, -0.392234424834868, 0, -0.18989080205722228, 0, -0.0379143688900718, 0.013540731794924949, 0.0895658628784265, 0.2016734784630759, 0, 0.3465885066352069, 0.4720065581839198, 0, 0, 0, 0.7397150448977646, 0.8465734744684179, 0, 1.0014244618813284, 1.1169065541892618, 0, 1.2781315531905983, 1.3227496343095715, 0, 0, 1.5439653306137302, 0, 0, 0, 0, 1.9256561422029368, 0, 0, 2.160744687258373, 0, 2.359463872073974, 0, 2.542810440705725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[0, -3.8765818761882, -3.804885930904557, 0, 0, -3.557096168690375, -3.4804632493482037, -3.400549289294852, -3.343746650525121, -3.2663538505697147, -3.1831746550454425, -3.086052339350015, -2.976278753712092, -2.925038567266191, 0, 0, 0, 0, 0, -2.4328248099224696, 0, -2.281191506157492, 0, 0, -2.0247486679357856, -1.9318451942684136, 0, 0, -1.6801597075548391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0355519021435615, 0.01898251423051705, 0.1281767134530964, 0.1655359228312019, 0, 0, 0, 0, 0, 0.6918243824596637, 0.7595869633793257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"[-3.93194192721565, -3.86618558389034, -3.8219350096599367, -3.731548985660137, -3.6496833948051854, -3.5663444129481436, -3.4771022123009323, -3.384775276025177, -3.3119501015319073, -3.245737223935838, -3.1608666119025646, -3.0836848513690582, -2.9982221772707947, -2.9327168019987115, -2.8175376481713332, 0, 0, 0, -2.525658521989335, -2.408695839161604, 0, 0, -2.1932189327088674, 0, -2.032639839704641, -1.9318451942684136, -1.854132729733024, 0, 0, 0, -1.5798161340881558, 0, 0, 0, 0, 0, -1.0673172404206928, -1.0357256350916024, 0, 0, 0, 0, 0, 0, -0.4763404262154229, 0, 0, -0.1623950657934282, -0.14963539386864522, -0.0174991298266253, 0, 0, 0, 0, 0, 0.4019770935932982, 0, 0, 0, 0, 0, 0.9395485359198452, 1.0247977385276006, 0, 0, 0, 1.3081269018420083, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.226236877627904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[-3.965173146746342, -3.8765420126956704, -3.771392509503092, -3.732358786098885, -3.6514651722046296, -3.5556368508746785, -3.5155122480309697, -3.386198999324641, -3.329852673440707, -3.257558811110029, -3.1766718754010497, -3.058511723032249, -2.9932897564902206, -2.903199754548859, -2.8746494909000377, -2.7615671981069485, -2.6594722118204857, -2.636856053908456, -2.5142536469207073, -2.421568862131773, 0, -2.2910913156967863, -2.1824527766403286, 0, -2.007315811871161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.7280763068571459, 0, 0, 0, 0, 0, 0, 0, -0.1501368597663384, 0, 0.0772779248372904, 0.14354792977833372, 0, 0, 0, 0, 0, 0, 0, 0, 0.8244621123993767, 0, 1.0247977385276006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.230004159612475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"[-3.950496217480592, -3.8793720751450564, -3.7972115907425463, -3.6925999514679737, -3.649580738984163, -3.5555036915180716, -3.494431874995239, -3.378688078943842, -3.318436798808489, -3.248902102660146, -3.183253046763314, -3.077971309576944, -3.005895807603641, -2.923448708568977, -2.8611461865628796, -2.7446469057452147, -2.704861989043716, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.14354792977833372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"[-3.9599398873665947, -3.901471705964557, -3.7757623569055974, -3.716802240692992, -3.6583249120930703, -3.572610635950301, -3.4864456237505643, -3.4053838423052145, -3.336765445832658, 0, -3.1486553515881424, -3.0875919908240603, 0, -2.9442615917825687, -2.8611461865628796, -2.7728863949080496, 0, 0, 0, -2.430136001159009, -2.3764255255653666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.14354792977833372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
