,0
0,"[-3.597714906403482, -3.4950181462954544, -3.3923213861874273, -3.2896246260793998, -3.1869278659713727, -3.084231105863345, -2.9815343457553176, -2.8788375856472905, -2.7761408255392634, -2.673444065431236, -2.5707473053232084, -2.4680505452151813, -2.3653537851071538, -2.2626570249991262, -2.159960264891099, -2.057263504783072, -1.9545667446750445, -1.8518699845670172, -1.74917322445899, -1.6464764643509626, -1.5437797042429353, -1.4410829441349078, -1.3383861840268807, -1.2356894239188532, -1.1329926638108256, -1.0302959037027986, -0.927599143594771, -0.8249023834867439, -0.7222056233787164, -0.6195088632706893, -0.5168121031626618, -0.4141153430546347, -0.3114185829466072, -0.20872182283857965, -0.10602506273055257, -0.0033283026225250367, 0.09936845748550205, 0.20206521759352958, 0.30476197770155666, 0.4074587378095842, 0.5101554979176113, 0.6128522580256393, 0.7155490181336663, 0.8182457782416934, 0.9209425383497205, 1.0236392984577485, 1.1263360585657756, 1.2290328186738027, 1.3317295787818306, 1.4344263388898577, 1.5371230989978848, 1.6398198591059119, 1.7425166192139399, 1.845213379321967, 1.947910139429994, 2.050606899538021, 2.153303659646049, 2.256000419754076, 2.3586971798621033, 2.4613939399701312, 2.5640907000781583, 2.6667874601861854, 2.7694842202942125, 2.8721809804022405, 2.9748777405102675, 3.0775745006182946, 3.1802712607263226, 3.2829680208343497, 3.3856647809423768, 3.488361541050404, 3.591058301158432, 3.693755061266459, 3.796451821374486, 3.899148581482514, 4.001845341590541, 4.104542101698568, 4.207238861806595, 4.309935621914623, 4.41263238202265, 4.515329142130678, 4.6180259022387045, 4.720722662346732, 4.82341942245476, 4.926116182562787, 5.028812942670815, 5.131509702778841, 5.234206462886869, 5.336903222994897, 5.439599983102923, 5.542296743210951, 5.644993503318979, 5.747690263427005, 5.850387023535033, 5.953083783643061, 6.055780543751087, 6.158477303859115, 6.261174063967143, 6.363870824075169, 6.466567584183197, 6.5692643442912235]"
1,"[-4.400950765215991, -4.294122104834256, -4.1872934444525205, -4.080464784070785, -3.97363612368905, -3.866807463307315, -3.7599788029255796, -3.6531501425438444, -3.546321482162109, -3.439492821780374, -3.3326641613986387, -3.2258355010169035, -3.1190068406351683, -3.012178180253433, -2.905349519871698, -2.7985208594899627, -2.6916921991082274, -2.584863538726492, -2.478034878344757, -2.3712062179630213, -2.264377557581286, -2.157548897199551, -2.0507202368178157, -1.9438915764360805, -1.8370629160543452, -1.73023425567261, -1.6234055952908748, -1.5165769349091396, -1.4097482745274044, -1.3029196141456691, -1.196090953763934, -1.0892622933821987, -0.9824336330004635, -0.8756049726187283, -0.768776312236993, -0.6619476518552578, -0.5551189914735226, -0.4482903310917874, -0.34146167071005173, -0.23463301032831652, -0.1278043499465813, -0.02097568956484608, 0.08585297081688914, 0.19268163119862436, 0.2995102915803596, 0.4063389519620948, 0.51316761234383, 0.6199962727255652, 0.7268249331073005, 0.8336535934890357, 0.9404822538707709, 1.047310914252506, 1.1541395746342413, 1.2609682350159765, 1.3677968953977118, 1.474625555779447, 1.5814542161611822, 1.6882828765429174, 1.7951115369246526, 1.9019401973063879, 2.008768857688123, 2.1155975180698583, 2.2224261784515935, 2.3292548388333287, 2.436083499215064, 2.542912159596799, 2.6497408199785344, 2.7565694803602696, 2.863398140742005, 2.97022680112374, 3.0770554615054753, 3.1838841218872105, 3.2907127822689457, 3.397541442650681, 3.504370103032416, 3.6111987634141522, 3.7180274237958875, 3.8248560841776227, 3.931684744559358, 4.038513404941093, 4.145342065322828, 4.252170725704564, 4.358999386086299, 4.465828046468034, 4.572656706849769, 4.679485367231504, 4.78631402761324, 4.893142687994975, 4.99997134837671, 5.106800008758445, 5.2136286691401805, 5.320457329521916, 5.427285989903651, 5.534114650285386, 5.640943310667121, 5.747771971048857, 5.854600631430592, 5.961429291812327, 6.068257952194062, 6.1750866125757975]"
2,"[-5.949040043649156, -5.81752913941093, -5.686018235172704, -5.554507330934478, -5.422996426696252, -5.291485522458025, -5.159974618219799, -5.028463713981573, -4.896952809743347, -4.765441905505121, -4.633931001266895, -4.5024200970286685, -4.370909192790442, -4.239398288552216, -4.10788738431399, -3.9763764800757637, -3.8448655758375376, -3.7133546715993115, -3.5818437673610855, -3.450332863122859, -3.318821958884633, -3.1873110546464067, -3.0558001504081806, -2.9242892461699546, -2.7927783419317285, -2.661267437693502, -2.529756533455276, -2.3982456292170498, -2.2667347249788237, -2.1352238207405976, -2.003712916502371, -1.872202012264145, -1.7406911080259189, -1.6091802037876928, -1.4776692995494667, -1.3461583953112406, -1.2146474910730145, -1.0831365868347884, -0.9516256825965614, -0.8201147783583354, -0.6886038741201093, -0.5570929698818832, -0.4255820656436571, -0.294071161405431, -0.1625602571672049, -0.031049352928978813, 0.10046155130924728, 0.23197245554747337, 0.36348335978569946, 0.49499426402392643, 0.6265051682621525, 0.7580160725003786, 0.8895269767386047, 1.0210378809768308, 1.1525487852150569, 1.284059689453283, 1.415570593691509, 1.5470814979297351, 1.6785924021679612, 1.8101033064061882, 1.9416142106444143, 2.0731251148826404, 2.2046360191208665, 2.3361469233590926, 2.4676578275973187, 2.5991687318355448, 2.730679636073771, 2.862190540311997, 2.993701444550223, 3.125212348788449, 3.256723253026675, 3.3882341572649013, 3.5197450615031274, 3.6512559657413535, 3.7827668699795796, 3.9142777742178074, 4.0457886784560335, 4.17729958269426, 4.308810486932486, 4.440321391170712, 4.571832295408938, 4.703343199647164, 4.83485410388539, 4.966365008123616, 5.097875912361842, 5.229386816600068, 5.360897720838294, 5.4924086250765205, 5.623919529314747, 5.755430433552973, 5.886941337791199, 6.018452242029425, 6.149963146267651, 6.281474050505877, 6.412984954744103, 6.544495858982329, 6.676006763220555, 6.807517667458783, 6.939028571697009, 7.070539475935235]"
3,"[-6.326066406851383, -6.227063008935347, -6.128059611019311, -6.029056213103275, -5.930052815187239, -5.8310494172712035, -5.732046019355168, -5.633042621439132, -5.534039223523096, -5.43503582560706, -5.336032427691025, -5.237029029774989, -5.1380256318589534, -5.039022233942918, -4.940018836026882, -4.841015438110846, -4.74201204019481, -4.643008642278774, -4.544005244362738, -4.4450018464467025, -4.345998448530667, -4.246995050614631, -4.147991652698595, -4.048988254782559, -3.9499848568665232, -3.8509814589504874, -3.7519780610344515, -3.652974663118416, -3.5539712652023803, -3.4549678672863444, -3.3559644693703086, -3.2569610714542727, -3.157957673538237, -3.058954275622201, -2.959950877706165, -2.8609474797901293, -2.7619440818740935, -2.6629406839580576, -2.563937286042022, -2.4649338881259863, -2.3659304902099505, -2.2669270922939146, -2.167923694377879, -2.068920296461843, -1.969916898545807, -1.8709135006297712, -1.7719101027137354, -1.6729067047976995, -1.5739033068816637, -1.4748999089656278, -1.375896511049592, -1.2768931131335561, -1.1778897152175203, -1.0788863173014844, -0.9798829193854495, -0.8808795214694136, -0.7818761235533778, -0.6828727256373419, -0.5838693277213061, -0.4848659298052702, -0.38586253188923436, -0.2868591339731985, -0.18785573605716266, -0.08885233814112681, 0.010151059774909044, 0.1091544576909449, 0.20815785560698075, 0.3071612535230166, 0.40616465143905245, 0.5051680493550883, 0.6041714472711242, 0.70317484518716, 0.8021782431031959, 0.9011816410192317, 1.0001850389352676, 1.0991884368513025, 1.1981918347673384, 1.2971952326833742, 1.39619863059941, 1.495202028515446, 1.5942054264314818, 1.6932088243475176, 1.7922122222635535, 1.8912156201795893, 1.9902190180956252, 2.089222416011661, 2.188225813927697, 2.2872292118437327, 2.3862326097597686, 2.4852360076758044, 2.5842394055918403, 2.683242803507876, 2.782246201423912, 2.881249599339948, 2.9802529972559837, 3.0792563951720195, 3.1782597930880554, 3.2772631910040912, 3.376266588920127, 3.475269986836163]"
4,"[-6.287139616886207, -6.192544019456664, -6.09794842202712, -6.0033528245975765, -5.908757227168032, -5.814161629738489, -5.719566032308945, -5.624970434879402, -5.530374837449858, -5.435779240020315, -5.341183642590771, -5.246588045161228, -5.151992447731684, -5.0573968503021405, -4.962801252872596, -4.868205655443053, -4.773610058013509, -4.679014460583966, -4.584418863154422, -4.489823265724879, -4.395227668295335, -4.300632070865792, -4.206036473436248, -4.1114408760067045, -4.016845278577161, -3.9222496811476173, -3.8276540837180737, -3.73305848628853, -3.6384628888589865, -3.543867291429443, -3.4492716939998993, -3.3546760965703557, -3.260080499140812, -3.1654849017112685, -3.070889304281725, -2.9762937068521813, -2.8816981094226377, -2.787102511993094, -2.6925069145635505, -2.597911317134007, -2.5033157197044633, -2.4087201222749197, -2.314124524845376, -2.2195289274158325, -2.1249333299862894, -2.0303377325567453, -1.9357421351272022, -1.8411465376976581, -1.746550940268115, -1.651955342838571, -1.5573597454090278, -1.4627641479794837, -1.3681685505499406, -1.2735729531203965, -1.1789773556908534, -1.0843817582613093, -0.9897861608317662, -0.8951905634022221, -0.800594965972679, -0.7059993685431349, -0.6114037711135918, -0.5168081736840477, -0.4222125762545046, -0.32761697882496055, -0.2330213813954174, -0.13842578396587424, -0.043830186536330196, 0.05076541089321296, 0.145361008322757, 0.23995660575230016, 0.3345522031818442, 0.42914780061138735, 0.5237433980409314, 0.6183389954704746, 0.7129345929000186, 0.8075301903295617, 0.9021257877591058, 0.996721385188649, 1.091316982618193, 1.1859125800477361, 1.2805081774772802, 1.3751037749068233, 1.4696993723363674, 1.5642949697659105, 1.6588905671954546, 1.7534861646249977, 1.8480817620545418, 1.9426773594840858, 2.037272956913628, 2.131868554343172, 2.226464151772716, 2.32105974920226, 2.4156553466318025, 2.5102509440613465, 2.6048465414908906, 2.6994421389204346, 2.794037736349977, 2.888633333779521, 2.983228931209065, 3.0778245286386072]"
5,"[-8.471951170918828, -8.341482482494346, -8.211013794069864, -8.080545105645381, -7.9500764172209, -7.819607728796418, -7.689139040371936, -7.558670351947454, -7.428201663522971, -7.29773297509849, -7.1672642866740075, -7.036795598249526, -6.906326909825044, -6.775858221400561, -6.645389532976079, -6.514920844551598, -6.384452156127115, -6.253983467702634, -6.1235147792781515, -5.993046090853669, -5.862577402429187, -5.7321087140047045, -5.601640025580223, -5.471171337155741, -5.340702648731259, -5.210233960306777, -5.0797652718822945, -4.949296583457812, -4.818827895033331, -4.688359206608848, -4.557890518184367, -4.427421829759885, -4.296953141335402, -4.16648445291092, -4.0360157644864385, -3.905547076061956, -3.775078387637474, -3.6446096992129924, -3.51414101078851, -3.3836723223640277, -3.2532036339395454, -3.122734945515064, -2.9922662570905816, -2.8617975686660992, -2.731328880241618, -2.6008601918171355, -2.470391503392653, -2.3399228149681717, -2.2094541265436893, -2.078985438119207, -1.9485167496947255, -1.8180480612702432, -1.6875793728457609, -1.5571106844212794, -1.426641995996797, -1.2961733075723147, -1.1657046191478333, -1.035235930723351, -0.9047672422988686, -0.7742985538743863, -0.6438298654499048, -0.5133611770254225, -0.38289248860094105, -0.2524238001764587, -0.12195511175197637, 0.008513576672505963, 0.1389822650969883, 0.26945095352147064, 0.3999196419459512, 0.5303883303704335, 0.6608570187949159, 0.7913257072193982, 0.9217943956438805, 1.0522630840683629, 1.1827317724928434, 1.3132004609173258, 1.4436691493418081, 1.5741378377662905, 1.7046065261907728, 1.8350752146152551, 1.9655439030397375, 2.096012591464218, 2.2264812798887004, 2.3569499683131827, 2.487418656737665, 2.6178873451621474, 2.7483560335866297, 2.8788247220111103, 3.0092934104355926, 3.139762098860075, 3.2702307872845573, 3.4006994757090396, 3.531168164133522, 3.6616368525580025, 3.792105540982485, 3.922574229406967, 4.0530429178314495, 4.183511606255932, 4.313980294680414, 4.4444489831048966]"
