,0
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.690563097477432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6081708707914528, -1.5796093526084385, -1.5050618598022254, -1.3826983163685578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.2297613777236319, 0, 0, 0, 0.1300595835578306, 0.18550855460835472, 0, 0.3415267915502814, 0.4453856862557927, 0.532747139203027, 0.6129846968455522, 0, 0, 0, 0.9438708866564327, 0, 1.0799747811622111, 0, 0, 0, 0, 1.501596900643611, 1.543590388755587, 0, 1.7599318409038909, 0, 1.9031596307143792, 1.964837566378844, 0, 2.110877420125402, 0, 2.27660172142445, 0, 2.4741960806656222, 0, 2.6174238704761104, 2.6417950912553816, 2.744529160386466, 2.848013113233834, 2.8926311943528096, 0, 3.119471018529107, 3.1940844482994923, 3.2390774712766084, 3.292694156991008, 0, 0, 3.5664017134351345, 0, 3.7115042125363367, 3.8344851420071215, 3.8623522572156705, 3.9876488910583916]"
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.3941967519410605, 0, -2.1749720522092395, 0, 0, 0, 0, 0, 0, 0, -1.5328075573047817, 0, 0, 0, -1.2029595458692832, -1.124684295692849, -1.0712905767688474, 0, -0.9067734810563557, -0.8478012899312721, -0.7261923165913098, 0, -0.5789319433839062, 0, -0.449760612016367, -0.3200358672453003, -0.3067316728408123, 0, -0.1053119929416334, 0, 0.0289640607188733, 0.12258952913624191, 0.2355419156540017, 0, 0, 0.4013896737464359, 0, 0.6265127693666063, 0.6719127728310769, 0, 0, 0, 0, 0, 1.141382853056892, 0, 0, 0, 0, 1.5278428307135972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5968933277941377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4065100196189624, 0, 0, 0, 0, 0, 3.8775374024704474, 0]"
2,"[0, 0, 0, 0, 0, -3.554052591585884, 0, -3.419651111176782, 0, 0, 0, 0, 0, -2.954835625561472, -2.8615871909392685, 0, 0, 0, -2.5599112231724703, 0, 0, -2.267075146875967, -2.1749720522092395, 0, -2.07531931294353, 0, 0, -1.7992248701072908, 0, -1.6605521436166766, -1.575716643875274, -1.5186372945696496, -1.3943699588859988, 0, -1.2430152988366427, -1.143395278867106, -1.0714035004436278, -1.0030924047419296, -0.9237274371176986, -0.8528798700668988, -0.7544642031484788, -0.7053065231869591, -0.5929219166829268, -0.5444534374046263, -0.4128313002695677, -0.3287496666275659, -0.3125897739291854, 0, -0.1225839281521052, -0.03542428328356146, 0.0336586047376958, 0.12258952913624191, 0.17468530518862757, 0.2587212267469375, 0.3999091901603471, 0.4013896737464359, 0, 0, 0.6719127728310769, 0.7492210830270464, 0.8145476233800593, 0.9186697428204296, 0.9864267875556234, 0, 1.1420125387711355, 0, 0, 0, 1.490723586757474, 1.559861851365686, 0, 0, 0, 0, 0, 0, 0, 2.178388812802473, 0, 2.35719262869704, 0, 2.499765739152077, 2.599426661285265, 0, 0, 2.823283746954667, 0, 2.999864565781604, 3.0930938335610407, 0, 0, 0, 0, 3.4604176036209253, 0, 0, 0, 0, 3.865980258091105, 0]"
3,"[-3.94395024021727, 0, 0, 0, 0, -3.554052591585884, 0, -3.4272887042608398, -3.351436878048321, 0, 0, 0, -2.972824124594989, -2.954104159655748, 0, 0, -2.7058578073570585, -2.594030912171592, 0, -2.4015734683465886, -2.3444484027217487, -2.290028469139884, -2.177086388828404, -2.158137175868389, -2.0647871612634163, 0, -1.8838640005914258, 0, -1.681207258733345, 0, -1.5760411335002273, -1.4645406854407776, 0, -1.30997589343411, -1.228260107701379, -1.150865897312797, -1.0531642446736815, -0.992714873008869, -0.9117231151596084, -0.8620682768102323, -0.7515476858694069, -0.6851566943055478, -0.5756575124949543, -0.5384956457862071, -0.4309577624742363, -0.3701158562667025, 0, -0.1825995074728851, -0.11811560023342665, 0, 0, 0.14354792977833372, 0.19628954253548275, 0.2760569952133904, 0.3999091901603471, 0.432641092016774, 0, 0.5817526179161213, 0.6988449050273612, 0.77664186814411, 0.8257229227034923, 0.912909174587822, 1.0052410765110424, 1.0804220935949174, 0, 0, 1.2839348323612674, 0, 1.476815969197793, 0, 0, 0, 0, 1.8939003893233526, 1.9294422179651871, 2.050811891374933, 0, 0, 0, 0, 0, 0, 0, 2.670357316057425, 0, 2.804353409316769, 0, 0, 0, 0, 0, 0, 0, 3.4604176036209253, 0, 0, 3.689838251815324, 3.822726714703884, 0, 0]"
4,"[-3.97251277302969, 0, -3.8011375761551696, 0, -3.6297623792806495, -3.5583560472496, 0, 0, -3.322871747510299, 0, 0, -3.079933622641564, -2.994596215731521, 0, -2.869648617129747, 0, -2.6724592538006426, -2.601511198033529, -2.544386132408689, -2.405014463738167, -2.3444484027217487, -2.3158858699093288, -2.187354472253438, -2.158137175868389, 0, -1.9790766179846018, -1.8874478777230288, 0, -1.7050591926606782, -1.635321130289051, 0, -1.5046196124715847, -1.4018848199118876, -1.2866318758514121, -1.2390758009260572, -1.1448220246001073, -1.084288640687128, -0.9949127286231252, -0.9156677401384996, -0.8213533777697355, -0.7779495150812691, -0.6889435717424494, -0.6034756275883422, -0.5362807176056353, -0.4593212371020267, -0.3735965655546992, -0.285020526635443, 0, -0.1321018025833957, 0, 0, 0.1463835113289632, 0.1864587316394528, 0.2760569952133904, 0.3314484068012262, 0.43693104842745495, 0, 0.5631543432194467, 0.6511614161557173, 0.7747761452587667, 0.8447273148789256, 0, 0.9746951837015488, 1.0544930019562344, 0, 0, 0, 1.4234765696993754, 1.4842978815821704, 0, 0, 0, 0, 0, 0, 2.001085761824008, 0, 0, 0, 0, 0, 2.5510437945739293, 2.608891167620504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.444240091111677, 3.5723268172499774, 0, 0, 0, 0, 0]"
5,"[0, 0, -3.8011375761551696, 0, 0, 0, 0, 0, -3.3155745183440297, -3.264758718981474, -3.144199321469509, -3.0870742558446693, -2.972824124594989, -2.9220770757849603, -2.8355296972053923, -2.7728863949080496, -2.671678275355735, -2.572948665221109, -2.487261066783849, -2.4381152725700974, 0, -2.2873233370969084, -2.2301982714720685, -2.1482065095952816, -2.058823074597548, -1.9652148041287223, -1.9017291441292385, -1.8303228120981885, -1.7446352136609282, -1.6702861725521532, -1.5465086532780463, -1.4807327589753596, 0, -1.3116230781461289, 0, 0, -1.1162594917876871, -0.9791364803770716, -0.9317248144496071, -0.8351737664859358, -0.7620374895289214, 0, -0.6049263017463246, -0.5541872592128388, -0.4593212371020267, -0.3735594924446319, -0.2593517185592432, -0.1633167546334656, -0.1458875461119508, 0, 0, 0.14202023225382734, 0.2187347313423389, 0, 0, 0.4314183701388787, 0, 0, 0.6897883242691603, 0, 0.8573315832309877, 0, 0, 0, 1.1898961276025473, 1.2006917870351457, 0, 1.3866427464770572, 0, 0, 0, 0, 0, 0, 0, 2.012683523657308, 2.105117467874665, 0, 2.254119380077875, 0, 0, 0, 2.626423806639604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
