,0
0,"[-4.485877511377009, -4.356435041369606, -4.226992571362204, -4.097550101354801, -3.9681076313473986, -3.8386651613399962, -3.7092226913325934, -3.579780221325191, -3.4503377513177886, -3.320895281310386, -3.1914528113029834, -3.062010341295581, -2.932567871288178, -2.803125401280776, -2.6736829312733734, -2.5442404612659706, -2.414797991258568, -2.285355521251166, -2.155913051243763, -2.0264705812363606, -1.8970281112289582, -1.7675856412215554, -1.638143171214153, -1.5087007012067506, -1.3792582311993478, -1.2498157611919454, -1.120373291184543, -0.9909308211771406, -0.8614883511697378, -0.7320458811623354, -0.602603411154933, -0.4731609411475306, -0.34371847114012777, -0.21427600113272494, -0.08483353112532299, 0.04460893888207984, 0.17405140888948267, 0.3034938788968846, 0.43293634890428745, 0.5623788189116903, 0.6918212889190922, 0.8212637589264951, 0.9507062289338979, 1.0801486989412998, 1.2095911689487027, 1.3390336389561055, 1.4684761089635074, 1.5979185789709103, 1.727361048978313, 1.856803518985715, 1.9862459889931179, 2.11568845900052, 2.2451309290079227, 2.3745733990153255, 2.5040158690227274, 2.6334583390301303, 2.762900809037533, 2.892343279044935, 3.021785749052338, 3.1512282190597407, 3.2806706890671427, 3.4101131590745455, 3.5395556290819474, 3.6689980990893503, 3.798440569096753, 3.927883039104156, 4.057325509111559, 4.18676797911896, 4.316210449126363, 4.4456529191337655, 4.575095389141168, 4.704537859148571, 4.833980329155974, 4.963422799163375, 5.092865269170778, 5.222307739178181, 5.3517502091855835, 5.481192679192986, 5.610635149200389, 5.74007761920779, 5.869520089215193, 5.998962559222596, 6.128405029229999, 6.257847499237402, 6.387289969244804, 6.5167324392522055, 6.646174909259608, 6.775617379267011, 6.905059849274414, 7.034502319281817, 7.16394478928922, 7.293387259296621, 7.4228297293040235, 7.552272199311426, 7.681714669318829, 7.811157139326232, 7.940599609333635, 8.070042079341036, 8.199484549348439, 8.328927019355842]"
1,"[-5.986075402291692, -5.841630953375143, -5.697186504458593, -5.552742055542044, -5.408297606625495, -5.263853157708946, -5.119408708792395, -4.974964259875846, -4.830519810959297, -4.6860753620427475, -4.541630913126198, -4.397186464209649, -4.2527420152931, -4.10829756637655, -3.9638531174600007, -3.8194086685434514, -3.674964219626902, -3.530519770710353, -3.3860753217938035, -3.241630872877254, -3.0971864239607045, -2.9527419750441553, -2.808297526127606, -2.6638530772110567, -2.5194086282945074, -2.3749641793779577, -2.2305197304614084, -2.086075281544859, -1.9416308326283094, -1.79718638371176, -1.6527419347952108, -1.5082974858786615, -1.3638530369621122, -1.219408588045563, -1.0749641391290137, -0.9305196902124644, -0.7860752412959151, -0.6416307923793658, -0.49718634346281565, -0.35274189454626637, -0.20829744562971708, -0.0638529967131678, 0.08059145220338149, 0.22503590111993077, 0.36948035003648005, 0.5139247989530293, 0.6583692478695786, 0.8028136967861279, 0.9472581457026772, 1.0917025946192274, 1.2361470435357766, 1.380591492452326, 1.5250359413688752, 1.6694803902854245, 1.8139248392019738, 1.958369288118523, 2.1028137370350732, 2.2472581859516216, 2.391702634868172, 2.53614708378472, 2.6805915327012704, 2.8250359816178188, 2.969480430534369, 3.1139248794509173, 3.2583693283674675, 3.4028137772840177, 3.547258226200566, 3.6917026751171163, 3.8361471240336646, 3.980591572950215, 4.125036021866763, 4.269480470783313, 4.413924919699862, 4.558369368616412, 4.70281381753296, 4.8472582664495105, 4.991702715366061, 5.136147164282609, 5.280591613199159, 5.425036062115708, 5.569480511032258, 5.713924959948806, 5.858369408865356, 6.002813857781905, 6.147258306698455, 6.291702755615003, 6.4361472045315535, 6.580591653448104, 6.725036102364652, 6.869480551281202, 7.013925000197751, 7.158369449114301, 7.302813898030849, 7.447258346947399, 7.591702795863948, 7.736147244780498, 7.880591693697046, 8.025036142613597, 8.169480591530146, 8.313925040446694]"
2,"[-5.986075402291692, -5.860380174150751, -5.73468494600981, -5.608989717868869, -5.483294489727927, -5.357599261586985, -5.231904033446044, -5.106208805305103, -4.980513577164162, -4.854818349023221, -4.72912312088228, -4.603427892741339, -4.477732664600397, -4.352037436459456, -4.226342208318515, -4.100646980177574, -3.9749517520366324, -3.8492565238956913, -3.72356129575475, -3.5978660676138086, -3.4721708394728674, -3.3464756113319263, -3.220780383190985, -3.095085155050044, -2.969389926909103, -2.8436946987681613, -2.71799947062722, -2.592304242486279, -2.466609014345338, -2.3409137862043967, -2.215218558063455, -2.089523329922514, -1.9638281017815729, -1.8381328736406317, -1.7124376454996906, -1.5867424173587494, -1.4610471892178083, -1.3353519610768672, -1.2096567329359251, -1.083961504794984, -0.9582662766540428, -0.8325710485131017, -0.7068758203721606, -0.5811805922312194, -0.4554853640902783, -0.32979013594933715, -0.204094907808396, -0.07839967966745487, 0.04729554847348627, 0.1729907766144283, 0.29868600475536944, 0.4243812328963106, 0.5500764610372517, 0.6757716891781929, 0.801466917319134, 0.9271621454600751, 1.0528573736010163, 1.1785526017419574, 1.3042478298828986, 1.4299430580238406, 1.5556382861647817, 1.6813335143057229, 1.807028742446664, 1.9327239705876051, 2.0584191987285463, 2.1841144268694874, 2.3098096550104286, 2.4355048831513697, 2.561200111292311, 2.686895339433252, 2.812590567574193, 2.9382857957151343, 3.0639810238560754, 3.1896762519970165, 3.3153714801379577, 3.4410667082789006, 3.5667619364198417, 3.692457164560783, 3.818152392701724, 3.943847620842665, 4.069542848983606, 4.195238077124547, 4.320933305265489, 4.44662853340643, 4.572323761547371, 4.698018989688312, 4.823714217829253, 4.949409445970194, 5.075104674111135, 5.200799902252077, 5.326495130393018, 5.452190358533959, 5.5778855866749, 5.703580814815841, 5.829276042956782, 5.954971271097723, 6.0806664992386645, 6.2063617273796075, 6.332056955520549, 6.45775218366149]"
3,"[-6.343202996460553, -6.219889701860806, -6.09657640726106, -5.973263112661313, -5.8499498180615666, -5.72663652346182, -5.603323228862074, -5.480009934262327, -5.35669663966258, -5.233383345062833, -5.110070050463087, -4.9867567558633406, -4.863443461263595, -4.740130166663848, -4.616816872064101, -4.493503577464354, -4.370190282864607, -4.246876988264861, -4.1235636936651145, -4.000250399065369, -3.8769371044656213, -3.753623809865875, -3.630310515266128, -3.5069972206663818, -3.3836839260666354, -3.2603706314668885, -3.137057336867142, -3.0137440422673953, -2.890430747667649, -2.767117453067902, -2.6438041584681558, -2.520490863868409, -2.3971775692686625, -2.2738642746689157, -2.15055098006917, -2.027237685469423, -1.9039243908696761, -1.7806110962699293, -1.6572978016701834, -1.5339845070704365, -1.4106712124706897, -1.2873579178709438, -1.164044623271197, -1.0407313286714501, -0.9174180340717033, -0.7941047394719574, -0.6707914448722105, -0.5474781502724637, -0.4241648556727178, -0.30085156107297095, -0.17753826647322413, -0.0542249718734773, 0.06908832272626864, 0.19240161732601546, 0.3157149119257623, 0.4390282065255091, 0.562341501125255, 0.6856547957250019, 0.8089680903247487, 0.9322813849244946, 1.0555946795242415, 1.1789079741239883, 1.3022212687237351, 1.425534563323481, 1.5488478579232279, 1.6721611525229747, 1.7954744471227215, 1.9187877417224684, 2.0421010363222134, 2.1654143309219602, 2.288727625521707, 2.412040920121454, 2.5353542147212007, 2.6586675093209475, 2.7819808039206944, 2.9052940985204394, 3.0286073931201862, 3.151920687719933, 3.27523398231968, 3.3985472769194267, 3.5218605715191735, 3.6451738661189204, 3.7684871607186654, 3.8918004553184122, 4.015113749918159, 4.138427044517906, 4.261740339117653, 4.3850536337173995, 4.508366928317146, 4.631680222916891, 4.754993517516638, 4.878306812116385, 5.001620106716132, 5.124933401315879, 5.2482466959156255, 5.371559990515372, 5.494873285115117, 5.618186579714864, 5.741499874314611, 5.864813168914358]"
4,"[-5.811604167786664, -5.729654897828401, -5.647705627870137, -5.565756357911875, -5.483807087953611, -5.4018578179953485, -5.319908548037085, -5.237959278078822, -5.156010008120559, -5.074060738162296, -4.992111468204033, -4.91016219824577, -4.828212928287507, -4.7462636583292435, -4.664314388370981, -4.582365118412717, -4.5004158484544545, -4.418466578496192, -4.336517308537928, -4.254568038579666, -4.172618768621402, -4.090669498663139, -4.008720228704876, -3.926770958746613, -3.84482168878835, -3.762872418830087, -3.6809231488718237, -3.5989738789135606, -3.517024608955298, -3.4350753389970348, -3.3531260690387716, -3.2711767990805085, -3.1892275291222454, -3.1072782591639823, -3.025328989205719, -2.943379719247456, -2.861430449289193, -2.77948117933093, -2.697531909372667, -2.615582639414404, -2.533633369456141, -2.4516840994978777, -2.3697348295396146, -2.2877855595813514, -2.2058362896230888, -2.1238870196648256, -2.0419377497065625, -1.9599884797482994, -1.8780392097900362, -1.7960899398317736, -1.71414066987351, -1.6321913999152473, -1.5502421299569837, -1.468292859998721, -1.3863435900404575, -1.3043943200821948, -1.2224450501239321, -1.1404957801656685, -1.0585465102074059, -0.9765972402491423, -0.8946479702908796, -0.812698700332616, -0.7307494303743534, -0.6488001604160898, -0.5668508904578271, -0.4849016204995644, -0.40295235054130085, -0.32100308058303817, -0.2390538106247746, -0.15710454066651192, -0.07515527070824835, 0.006793999250014338, 0.08874326920827791, 0.1706925391665406, 0.2526418091248033, 0.33459107908306684, 0.4165403490413295, 0.4984896189995931, 0.5804388889578558, 0.6623881589161194, 0.744337428874382, 0.8262866988326447, 0.9082359687909083, 0.990185238749171, 1.0721345087074345, 1.1540837786656972, 1.2360330486239608, 1.3179823185822235, 1.3999315885404862, 1.4818808584987497, 1.5638301284570124, 1.645779398415276, 1.7277286683735387, 1.8096779383318022, 1.891627208290065, 1.9735764782483285, 2.055525748206591, 2.137475018164854, 2.2194242881231165, 2.30137355808138]"
5,"[-7.85722601895521, -7.734194862609634, -7.611163706264058, -7.4881325499184825, -7.365101393572907, -7.242070237227331, -7.119039080881755, -6.996007924536181, -6.872976768190605, -6.749945611845029, -6.6269144554994535, -6.503883299153878, -6.380852142808302, -6.257820986462726, -6.134789830117151, -6.011758673771576, -5.888727517426, -5.765696361080424, -5.642665204734849, -5.519634048389273, -5.396602892043697, -5.2735717356981215, -5.150540579352546, -5.02750942300697, -4.904478266661394, -4.781447110315819, -4.658415953970243, -4.535384797624667, -4.412353641279092, -4.289322484933516, -4.166291328587941, -4.043260172242365, -3.9202290158967896, -3.797197859551214, -3.674166703205638, -3.5511355468600625, -3.428104390514487, -3.305073234168911, -3.1820420778233363, -3.0590109214777605, -2.935979765132185, -2.812948608786609, -2.6899174524410334, -2.5668862960954577, -2.443855139749882, -2.3208239834043063, -2.1977928270587306, -2.074761670713155, -1.9517305143675792, -1.8286993580220043, -1.7056682016764286, -1.582637045330853, -1.4596058889852772, -1.3365747326397015, -1.2135435762941258, -1.09051241994855, -0.9674812636029744, -0.8444501072573987, -0.721418950911823, -0.5983877945662481, -0.4753566382206724, -0.3523254818750967, -0.229294325529521, -0.1062631691839453, 0.016767987161630415, 0.13979914350720613, 0.26283029985278183, 0.38586145619835754, 0.5088926125439333, 0.631923768889509, 0.7549549252350847, 0.8779860815806604, 1.001017237926236, 1.1240483942718118, 1.2470795506173875, 1.3701107069629614, 1.4931418633085372, 1.6161730196541129, 1.7392041759996886, 1.8622353323452643, 1.98526648869084, 2.1082976450364157, 2.2313288013819914, 2.354359957727567, 2.477391114073143, 2.6004222704187185, 2.7234534267642942, 2.84648458310987, 2.9695157394554457, 3.0925468958010214, 3.215578052146597, 3.338609208492173, 3.4616403648377485, 3.584671521183324, 3.7077026775289, 3.8307338338744756, 3.9537649902200513, 4.076796146565625, 4.199827302911201, 4.322858459256777]"
