,0
0,"[-5.198811845859043, -5.104073309147205, -5.009334772435368, -4.91459623572353, -4.819857699011693, -4.725119162299855, -4.6303806255880176, -4.5356420888761795, -4.440903552164341, -4.346165015452504, -4.251426478740666, -4.156687942028829, -4.061949405316991, -3.9672108686051533, -3.8724723318933156, -3.7777337951814776, -3.6829952584696404, -3.5882567217578023, -3.4935181850459647, -3.398779648334127, -3.3040411116222894, -3.209302574910452, -3.114564038198614, -3.019825501486776, -2.9250869647749385, -2.830348428063101, -2.735609891351263, -2.6408713546394256, -2.546132817927588, -2.45139428121575, -2.3566557445039122, -2.2619172077920746, -2.167178671080237, -2.0724401343683994, -1.9777015976565617, -1.882963060944724, -1.788224524232886, -1.6934859875210484, -1.5987474508092108, -1.5040089140973731, -1.4092703773855355, -1.3145318406736979, -1.2197933039618598, -1.1250547672500222, -1.030316230538185, -0.9355776938263469, -0.8408391571145089, -0.7461006204026717, -0.6513620836908336, -0.5566235469789964, -0.46188501026715834, -0.36714647355532115, -0.2724079368434831, -0.177669400131645, -0.08293086341980782, 0.011807673292030252, 0.10654621000386744, 0.2012847467157055, 0.2960232834275436, 0.39076182013938077, 0.48550035685121884, 0.580238893563056, 0.6749774302748941, 0.7697159669867313, 0.8644545036985694, 0.9591930404104074, 1.0539315771222446, 1.1486701138340827, 1.2434086505459199, 1.338147187257758, 1.4328857239695951, 1.5276242606814332, 1.6223627973932713, 1.7171013341051085, 1.8118398708169465, 1.9065784075287837, 2.001316944240622, 2.09605548095246, 2.190794017664297, 2.285532554376135, 2.3802710910879723, 2.4750096277998104, 2.5697481645116476, 2.6644867012234856, 2.7592252379353237, 2.8539637746471618, 2.948702311358999, 3.043440848070836, 3.1381793847826733, 3.2329179214945123, 3.3276564582063495, 3.4223949949181867, 3.5171335316300256, 3.611872068341863, 3.7066106050537, 3.801349141765537, 3.896087678477376, 3.9908262151892133, 4.0855647519010505, 4.1803032886128895]"
1,"[-6.140165374079138, -6.0564636787422215, -5.972761983405306, -5.889060288068389, -5.805358592731474, -5.721656897394557, -5.637955202057642, -5.554253506720725, -5.4705518113838085, -5.386850116046893, -5.303148420709976, -5.219446725373061, -5.135745030036144, -5.052043334699229, -4.968341639362312, -4.8846399440253965, -4.80093824868848, -4.717236553351563, -4.633534858014648, -4.549833162677731, -4.466131467340816, -4.382429772003899, -4.298728076666983, -4.215026381330067, -4.131324685993151, -4.047622990656235, -3.963921295319319, -3.8802195999824027, -3.796517904645486, -3.71281620930857, -3.629114513971654, -3.545412818634738, -3.461711123297822, -3.378009427960906, -3.29430773262399, -3.2106060372870737, -3.1269043419501577, -3.043202646613241, -2.959500951276325, -2.875799255939409, -2.792097560602493, -2.708395865265577, -2.624694169928661, -2.5409924745917447, -2.457290779254828, -2.373589083917912, -2.289887388580996, -2.20618569324408, -2.122483997907164, -2.0387823025702474, -1.9550806072333318, -1.8713789118964153, -1.7876772165594996, -1.7039755212225831, -1.6202738258856675, -1.536572130548751, -1.4528704352118345, -1.3691687398749188, -1.2854670445380023, -1.2017653492010867, -1.1180636538641702, -1.0343619585272545, -0.950660263190338, -0.8669585678534224, -0.7832568725165059, -0.6995551771795894, -0.6158534818426737, -0.5321517865057572, -0.4484500911688416, -0.3647483958319251, -0.28104670049500946, -0.19734500515809295, -0.11364330982117732, -0.029941614484260803, 0.05376008085265571, 0.13746177618957134, 0.22116347152648785, 0.3048651668634035, 0.38856686220032, 0.4722685575372356, 0.5559702528741521, 0.6396719482110687, 0.7233736435479843, 0.8070753388849008, 0.8907770342218164, 0.9744787295587329, 1.0581804248956486, 1.141882120232565, 1.2255838155694816, 1.3092855109063972, 1.3929872062433137, 1.4766889015802294, 1.5603905969171459, 1.6440922922540615, 1.727793987590978, 1.8114956829278936, 1.8951973782648102, 1.9788990736017267, 2.062600768938643, 2.146302464275558]"
2,"[-8.898705139230302, -8.808282608540216, -8.717860077850128, -8.627437547160042, -8.537015016469956, -8.44659248577987, -8.356169955089783, -8.265747424399697, -8.175324893709611, -8.084902363019525, -7.9944798323294375, -7.904057301639352, -7.813634770949266, -7.723212240259179, -7.632789709569092, -7.542367178879006, -7.4519446481889196, -7.361522117498834, -7.271099586808747, -7.180677056118661, -7.090254525428574, -6.9998319947384875, -6.909409464048402, -6.818986933358316, -6.728564402668229, -6.638141871978142, -6.547719341288056, -6.45729681059797, -6.366874279907883, -6.276451749217797, -6.186029218527711, -6.095606687837624, -6.0051841571475375, -5.914761626457452, -5.824339095767366, -5.733916565077279, -5.643494034387192, -5.553071503697106, -5.46264897300702, -5.372226442316933, -5.281803911626847, -5.191381380936761, -5.100958850246674, -5.0105363195565875, -4.920113788866502, -4.829691258176415, -4.739268727486329, -4.648846196796242, -4.558423666106156, -4.46800113541607, -4.377578604725984, -4.287156074035897, -4.196733543345811, -4.106311012655724, -4.0158884819656375, -3.9254659512755516, -3.835043420585465, -3.744620889895379, -3.6541983592052922, -3.5637758285152064, -3.4733532978251196, -3.3829307671350337, -3.292508236444947, -3.202085705754861, -3.1116631750647743, -3.0212406443746875, -2.9308181136846017, -2.840395582994515, -2.749973052304429, -2.6595505216143422, -2.5691279909242564, -2.4787054602341696, -2.3882829295440837, -2.297860398853997, -2.207437868163911, -2.1170153374738243, -2.0265928067837375, -1.9361702760936517, -1.845747745403565, -1.755325214713479, -1.6649026840233923, -1.5744801533333064, -1.4840576226432196, -1.3936350919531337, -1.303212561263047, -1.212790030572961, -1.1223674998828743, -1.0319449691927876, -0.9415224385027017, -0.8510999078126158, -0.7606773771225281, -0.6702548464324423, -0.5798323157423564, -0.4894097850522705, -0.39898725436218285, -0.308564723672097, -0.2181421929820111, -0.12771966229192344, -0.03729713160183756, 0.053125399088248315]"
3,"[-8.573804612374955, -8.486631086953423, -8.39945756153189, -8.312284036110356, -8.225110510688824, -8.137936985267292, -8.050763459845758, -7.963589934424225, -7.876416409002692, -7.789242883581159, -7.702069358159626, -7.614895832738093, -7.5277223073165604, -7.4405487818950276, -7.353375256473495, -7.266201731051962, -7.179028205630429, -7.091854680208896, -7.004681154787363, -6.91750762936583, -6.830334103944297, -6.743160578522764, -6.6559870531012315, -6.568813527679699, -6.481640002258166, -6.394466476836633, -6.3072929514151, -6.220119425993567, -6.132945900572034, -6.045772375150501, -5.958598849728968, -5.8714253243074355, -5.784251798885903, -5.69707827346437, -5.609904748042837, -5.522731222621304, -5.435557697199771, -5.348384171778238, -5.261210646356705, -5.174037120935172, -5.086863595513639, -4.9996900700921065, -4.912516544670574, -4.825343019249041, -4.738169493827508, -4.650995968405975, -4.563822442984442, -4.476648917562909, -4.389475392141376, -4.302301866719843, -4.2151283412983105, -4.127954815876778, -4.040781290455245, -3.953607765033712, -3.866434239612179, -3.779260714190646, -3.692087188769113, -3.6049136633475802, -3.5177401379260473, -3.4305666125045144, -3.3433930870829816, -3.2562195616614487, -3.1690460362399158, -3.081872510818383, -2.99469898539685, -2.907525459975317, -2.820351934553784, -2.7331784091322513, -2.6460048837107184, -2.5588313582891855, -2.4716578328676526, -2.3844843074461197, -2.297310782024587, -2.210137256603054, -2.122963731181521, -2.035790205759988, -1.9486166803384553, -1.8614431549169224, -1.7742696294953895, -1.6870961040738566, -1.5999225786523237, -1.5127490532307908, -1.425575527809258, -1.338402002387725, -1.251228476966192, -1.1640549515446592, -1.0768814261231263, -0.9897079007015934, -0.9025343752800605, -0.8153608498585276, -0.7281873244369947, -0.6410137990154618, -0.553840273593929, -0.4666667481723952, -0.37949322275086317, -0.29231969732933116, -0.20514617190779738, -0.1179726464862636, -0.030799121064731594, 0.05637440435680041]"
4,"[-8.73254343340541, -8.643782519773573, -8.555021606141736, -8.466260692509898, -8.377499778878061, -8.288738865246223, -8.199977951614386, -8.111217037982549, -8.022456124350711, -7.933695210718874, -7.844934297087036, -7.756173383455199, -7.667412469823361, -7.578651556191524, -7.489890642559686, -7.401129728927849, -7.312368815296011, -7.223607901664174, -7.134846988032336, -7.046086074400499, -6.9573251607686615, -6.868564247136824, -6.7798033335049865, -6.691042419873149, -6.602281506241312, -6.513520592609474, -6.424759678977637, -6.335998765345799, -6.247237851713962, -6.158476938082124, -6.069716024450287, -5.980955110818449, -5.892194197186612, -5.803433283554774, -5.714672369922937, -5.6259114562910995, -5.537150542659262, -5.4483896290274245, -5.359628715395587, -5.27086780176375, -5.182106888131912, -5.093345974500075, -5.004585060868237, -4.9158241472364, -4.827063233604562, -4.738302319972725, -4.649541406340888, -4.560780492709051, -4.472019579077213, -4.383258665445376, -4.294497751813538, -4.205736838181701, -4.116975924549863, -4.028215010918026, -3.9394540972861884, -3.850693183654351, -3.7619322700225135, -3.673171356390676, -3.5844104427588386, -3.495649529127001, -3.4068886154951636, -3.318127701863326, -3.2293667882314887, -3.1406058745996512, -3.0518449609678138, -2.9630840473359763, -2.874323133704139, -2.7855622200723014, -2.696801306440464, -2.6080403928086264, -2.519279479176789, -2.4305185655449515, -2.341757651913114, -2.2529967382812766, -2.164235824649439, -2.0754749110176016, -1.9867139973857642, -1.8979530837539267, -1.8091921701220892, -1.7204312564902517, -1.6316703428584143, -1.5429094292265768, -1.4541485155947393, -1.3653876019629019, -1.2766266883310644, -1.187865774699227, -1.0991048610673895, -1.010343947435552, -0.9215830338037145, -0.8328221201718771, -0.7440612065400396, -0.655300292908203, -0.5665393792763656, -0.4777784656445281, -0.3890175520126906, -0.30025663838085315, -0.21149572474901568, -0.12273481111717821, -0.03397389748534074, 0.054787016146496725]"
5,"[-9.373476072472029, -9.278305832449526, -9.183135592427021, -9.087965352404517, -8.992795112382014, -8.897624872359511, -8.802454632337007, -8.707284392314502, -8.612114152292, -8.516943912269497, -8.421773672246992, -8.326603432224488, -8.231433192201985, -8.136262952179482, -8.041092712156978, -7.945922472134474, -7.8507522321119705, -7.755581992089467, -7.660411752066963, -7.56524151204446, -7.470071272021956, -7.374901031999452, -7.279730791976949, -7.184560551954445, -7.0893903119319415, -6.994220071909438, -6.899049831886934, -6.803879591864431, -6.708709351841927, -6.613539111819423, -6.51836887179692, -6.423198631774416, -6.3280283917519125, -6.232858151729409, -6.137687911706905, -6.042517671684402, -5.947347431661898, -5.852177191639394, -5.757006951616891, -5.661836711594387, -5.566666471571883, -5.47149623154938, -5.376325991526876, -5.2811557515043726, -5.185985511481869, -5.090815271459365, -4.995645031436862, -4.900474791414358, -4.805304551391854, -4.710134311369351, -4.614964071346847, -4.5197938313243435, -4.42462359130184, -4.329453351279336, -4.234283111256833, -4.139112871234329, -4.043942631211825, -3.9487723911893218, -3.853602151166818, -3.7584319111443145, -3.663261671121811, -3.5680914310993073, -3.4729211910768036, -3.3777509510543, -3.2825807110317964, -3.1874104710092928, -3.092240230986789, -2.9970699909642855, -2.901899750941782, -2.8067295109192782, -2.7115592708967746, -2.616389030874271, -2.5212187908517674, -2.4260485508292637, -2.33087831080676, -2.2357080707842565, -2.140537830761753, -2.0453675907392492, -1.9501973507167456, -1.855027110694242, -1.7598568706717383, -1.6646866306492347, -1.569516390626731, -1.4743461506042275, -1.3791759105817238, -1.2840056705592193, -1.1888354305367166, -1.0936651905142138, -0.9984949504917093, -0.9033247104692048, -0.8081544704467021, -0.7129842304241993, -0.6178139904016948, -0.5226437503791903, -0.42747351035668757, -0.33230327033418483, -0.23713303031168032, -0.1419627902891758, -0.04679255026667306, 0.04837768975582968]"
