,0
0,"[-0.911906175, -0.9009181887200001, -0.8899302024400001, -0.87894221616, -0.86795422988, -0.8569662436000001, -0.8459782573200001, -0.83499027104, -0.82400228476, -0.8130142984800001, -0.8020263122000001, -0.79103832592, -0.78005033964, -0.7690623533600001, -0.7580743670800001, -0.7470863808000001, -0.73609839452, -0.7251104082400001, -0.7141224219600001, -0.70313443568, -0.6921464494, -0.6811584631200001, -0.6701704768400001, -0.6591824905600001, -0.6481945042800001, -0.637206518, -0.6262185317200001, -0.61523054544, -0.60424255916, -0.59325457288, -0.5822665866000001, -0.5712786003200001, -0.5602906140400001, -0.5493026277600002, -0.5383146414800001, -0.5273266552000001, -0.51633866892, -0.50535068264, -0.4943626963600001, -0.4833747100800001, -0.4723867238000001, -0.4613987375200001, -0.4504107512400001, -0.4394227649600001, -0.4284347786800001, -0.4174467924000001, -0.40645880612000007, -0.3954708198400001, -0.3844828335600001, -0.37349484728000015, -0.36250686100000007, -0.3515188747200001, -0.3405308884400001, -0.32954290216000015, -0.31855491588000007, -0.3075669296000001, -0.2965789433200001, -0.28559095704000015, -0.27460297076000006, -0.2636149844800001, -0.2526269982000001, -0.24163901192000015, -0.23065102564000006, -0.2196630393600001, -0.20867505308000012, -0.19768706680000014, -0.18669908052000017, -0.1757110942400001, -0.16472310796000011, -0.15373512168000014, -0.14274713540000017, -0.13175914912000009, -0.12077116284000011, -0.10978317656000014, -0.09879519028000017, -0.08780720400000008, -0.07681921772000011, -0.06583123144000014, -0.054843245160000165, -0.04385525888000008, -0.03286727260000011, -0.021879286320000135, -0.010891300040000162, 9.66862399998103e-05, 0.011084672519999894, 0.022072658799999867, 0.03306064507999984, 0.04404863135999981, 0.055036617639999896, 0.06602460391999987, 0.07701259019999984, 0.08800057647999981, 0.0989885627599999, 0.10997654903999987, 0.12096453531999984, 0.13195252159999982, 0.1429405078799998, 0.15392849415999976, 0.16491648043999974, 0.17590446671999993]"
1,"[-0.820358665, -0.80200371889, -0.78364877278, -0.76529382667, -0.74693888056, -0.72858393445, -0.7102289883399999, -0.6918740422299999, -0.6735190961199999, -0.65516415001, -0.6368092039, -0.61845425779, -0.60009931168, -0.58174436557, -0.56338941946, -0.5450344733499999, -0.52667952724, -0.5083245811299999, -0.48996963501999996, -0.4716146889099999, -0.4532597427999999, -0.43490479668999993, -0.41654985057999994, -0.39819490446999994, -0.37983995835999995, -0.3614850122499999, -0.3431300661399999, -0.3247751200299999, -0.30642017391999987, -0.2880652278099999, -0.2697102816999999, -0.2513553355899999, -0.2330003894799999, -0.2146454433699999, -0.19629049725999992, -0.17793555114999993, -0.15958060503999993, -0.14122565892999994, -0.12287071281999984, -0.10451576670999985, -0.08616082059999985, -0.06780587448999986, -0.04945092837999987, -0.031095982269999878, -0.012741036159999886, 0.005613909950000107, 0.0239688560600001, 0.04232380217000009, 0.06067874828000008, 0.07903369439000019, 0.09738864050000018, 0.11574358661000017, 0.13409853272000016, 0.15245347883000016, 0.17080842494000015, 0.18916337105000014, 0.20751831716000024, 0.22587326327000012, 0.24422820938000023, 0.2625831554900001, 0.2809381016000002, 0.2992930477100001, 0.3176479938200002, 0.3360029399300001, 0.3543578860400002, 0.3727128321500003, 0.39106777826000017, 0.40942272437000027, 0.42777767048000015, 0.44613261659000025, 0.46448756270000013, 0.48284250881000024, 0.5011974549200001, 0.5195524010300002, 0.5379073471400001, 0.5562622932500002, 0.5746172393600003, 0.5929721854700002, 0.6113271315800003, 0.6296820776900002, 0.6480370238000003, 0.6663919699100002, 0.6847469160200003, 0.7031018621300001, 0.7214568082400002, 0.7398117543500001, 0.7581667004600002, 0.7765216465700003, 0.7948765926800002, 0.8132315387900003, 0.8315864849000002, 0.8499414310100003, 0.8682963771200002, 0.8866513232300003, 0.9050062693400002, 0.9233612154500003, 0.9417161615600002, 0.9600711076700003, 0.9784260537800004, 0.9967809998900002]"
2,"[-1.655565861, -1.62885884293, -1.60215182486, -1.57544480679, -1.54873778872, -1.5220307706499998, -1.49532375258, -1.4686167345099999, -1.4419097164399999, -1.41520269837, -1.3884956803, -1.36178866223, -1.33508164416, -1.30837462609, -1.28166760802, -1.25496058995, -1.2282535718799998, -1.20154655381, -1.1748395357399999, -1.14813251767, -1.1214254996, -1.09471848153, -1.06801146346, -1.04130444539, -1.01459742732, -0.9878904092499999, -0.96118339118, -0.93447637311, -0.90776935504, -0.88106233697, -0.8543553188999999, -0.82764830083, -0.80094128276, -0.77423426469, -0.74752724662, -0.7208202285499999, -0.69411321048, -0.66740619241, -0.6406991743399999, -0.6139921562699999, -0.5872851382, -0.56057812013, -0.53387110206, -0.50716408399, -0.48045706592000004, -0.45375004785000006, -0.4270430297800001, -0.4003360117100001, -0.37362899364000013, -0.34692197556999993, -0.32021495749999995, -0.29350793943, -0.26680092136, -0.24009390329000002, -0.21338688522000004, -0.18667986715000007, -0.1599728490800001, -0.1332658310100001, -0.10655881294000014, -0.07985179486999994, -0.05314477679999996, -0.026437758729999983, 0.0002692593399999943, 0.02697627740999997, 0.05368329547999995, 0.08039031354999993, 0.1070973316199999, 0.13380434968999988, 0.16051136775999986, 0.18721838582999983, 0.21392540390000003, 0.24063242197, 0.26733944004, 0.29404645810999996, 0.32075347617999994, 0.3474604942499999, 0.3741675123200001, 0.4008745303899999, 0.42758154846000007, 0.4542885665299998, 0.4809955846, 0.5077026026699998, 0.53440962074, 0.5611166388099997, 0.5878236568799999, 0.6145306749499997, 0.6412376930199999, 0.6679447110900001, 0.6946517291599998, 0.72135874723, 0.7480657652999998, 0.77477278337, 0.8014798014399998, 0.82818681951, 0.8548938375799997, 0.8816008556499999, 0.9083078737199997, 0.9350148917899999, 0.9617219098600001, 0.9884289279299998]"
3,"[-1.012601867, -1.00400543811, -0.9954090092200001, -0.9868125803300001, -0.9782161514400001, -0.9696197225500001, -0.96102329366, -0.95242686477, -0.94383043588, -0.93523400699, -0.9266375781000001, -0.9180411492100001, -0.9094447203200001, -0.9008482914300001, -0.8922518625400001, -0.8836554336500001, -0.8750590047600001, -0.8664625758700001, -0.8578661469800001, -0.8492697180900001, -0.8406732892000001, -0.83207686031, -0.8234804314200002, -0.8148840025300002, -0.8062875736400001, -0.7976911447500001, -0.7890947158600001, -0.7804982869700001, -0.7719018580800001, -0.7633054291900001, -0.7547090003000001, -0.7461125714100001, -0.7375161425200001, -0.7289197136300001, -0.7203232847400001, -0.7117268558500001, -0.70313042696, -0.69453399807, -0.68593756918, -0.67734114029, -0.6687447114, -0.66014828251, -0.65155185362, -0.64295542473, -0.6343589958400001, -0.6257625669500001, -0.6171661380600001, -0.6085697091700001, -0.5999732802800001, -0.5913768513900001, -0.5827804225000001, -0.57418399361, -0.56558756472, -0.5569911358300002, -0.5483947069400001, -0.5397982780500001, -0.5312018491600001, -0.5226054202700001, -0.5140089913800001, -0.5054125624900001, -0.4968161336000001, -0.4882197047100001, -0.4796232758200001, -0.4710268469300001, -0.46243041804000007, -0.45383398915000006, -0.44523756026000005, -0.43664113137000005, -0.42804470248000004, -0.41944827359000003, -0.4108518447, -0.40225541581, -0.39365898692, -0.3850625580300001, -0.3764661291400001, -0.3678697002500001, -0.3592732713600001, -0.3506768424700001, -0.3420804135800001, -0.33348398469000007, -0.32488755580000006, -0.31629112691000005, -0.30769469802000005, -0.29909826913000004, -0.29050184024000003, -0.28190541135, -0.27330898246, -0.26471255357, -0.2561161246800001, -0.2475196957900001, -0.2389232669000001, -0.2303268380100001, -0.22173040912000008, -0.21313398023000008, -0.20453755134000007, -0.19594112245000006, -0.18734469356000005, -0.17874826467000005, -0.17015183578000004, -0.16155540689000003]"
4,"[-0.879625901, -0.86202890438, -0.84443190776, -0.8268349111400001, -0.80923791452, -0.7916409179, -0.7740439212800001, -0.7564469246600001, -0.73884992804, -0.72125293142, -0.7036559348, -0.6860589381800001, -0.66846194156, -0.65086494494, -0.6332679483200001, -0.6156709517000001, -0.59807395508, -0.58047695846, -0.56287996184, -0.5452829652200001, -0.5276859686, -0.51008897198, -0.49249197536000006, -0.4748949787400001, -0.45729798212000006, -0.43970098550000003, -0.42210398888000006, -0.4045069922600001, -0.38690999564000006, -0.36931299902000003, -0.3517160024000001, -0.3341190057800001, -0.31652200916000006, -0.29892501254000003, -0.28132801592, -0.2637310193000001, -0.24613402268000006, -0.22853702606000004, -0.21094002944000012, -0.1933430328200001, -0.17574603620000007, -0.15814903958000004, -0.14055204296, -0.1229550463400001, -0.10535804972000007, -0.08776105310000004, -0.07016405648000013, -0.0525670598600001, -0.03497006324000007, -0.017373066620000044, 0.0002239299999999833, 0.0178209266199999, 0.03541792323999993, 0.053014919859999954, 0.07061191647999987, 0.0882089130999999, 0.10580590971999992, 0.12340290633999995, 0.14099990295999998, 0.15859689958, 0.1761938961999998, 0.19379089281999984, 0.21138788943999987, 0.2289848860599999, 0.24658188267999992, 0.26417887929999995, 0.28177587592, 0.29937287254, 0.31696986916000003, 0.33456686577999983, 0.35216386239999986, 0.3697608590199999, 0.3873578556399999, 0.40495485225999994, 0.42255184887999997, 0.4401488455, 0.4577458421199998, 0.47534283873999983, 0.49293983535999986, 0.5105368319799999, 0.5281338285999999, 0.5457308252199999, 0.56332782184, 0.58092481846, 0.59852181508, 0.6161188116999998, 0.6337158083199999, 0.6513128049399999, 0.6689098015599999, 0.6865067981799999, 0.7041037948, 0.72170079142, 0.7392977880399998, 0.7568947846599998, 0.7744917812799998, 0.7920887778999999, 0.8096857745199999, 0.8272827711399999, 0.84487976776, 0.86247676438]"
5,"[-0.94078418, -0.91601111681, -0.89123805362, -0.86646499043, -0.84169192724, -0.81691886405, -0.79214580086, -0.76737273767, -0.74259967448, -0.71782661129, -0.6930535481, -0.66828048491, -0.6435074217200001, -0.61873435853, -0.59396129534, -0.56918823215, -0.5444151689600001, -0.51964210577, -0.49486904258000003, -0.47009597939000003, -0.44532291620000003, -0.42054985301000003, -0.3957767898200001, -0.37100372663000003, -0.3462306634400001, -0.32145760025000003, -0.2966845370600001, -0.27191147387000003, -0.2471384106800001, -0.22236534749000003, -0.1975922843000001, -0.17281922111000003, -0.1480461579200001, -0.12327309473000014, -0.09850003154000009, -0.07372696835000014, -0.04895390516000009, -0.024180841970000144, 0.0005922212199999111, 0.025365284409999855, 0.05013834759999991, 0.07491141078999985, 0.09968447397999991, 0.12445753716999997, 0.1492306003599998, 0.17400366354999985, 0.1987767267399999, 0.22354978992999996, 0.2483228531199998, 0.27309591630999985, 0.2978689794999999, 0.32264204268999974, 0.3474151058799998, 0.37218816906999985, 0.3969612322599999, 0.42173429544999974, 0.4465073586399998, 0.47128042182999985, 0.4960534850199999, 0.5208265482099997, 0.5455996113999998, 0.5703726745899999, 0.5951457377799999, 0.6199188009699997, 0.6446918641599998, 0.6694649273499998, 0.6942379905399997, 0.7190110537299997, 0.7437841169199998, 0.7685571801099998, 0.7933302432999997, 0.8181033064899997, 0.8428763696799998, 0.8676494328699998, 0.8924224960599997, 0.9171955592499997, 0.9419686224399998, 0.9667416856299998, 0.9915147488199997, 1.0162878120099998, 1.0410608752, 1.0658339383899995, 1.0906070015799996, 1.1153800647699996, 1.1401531279599997, 1.1649261911499997, 1.1896992543399998, 1.2144723175299994, 1.2392453807199995, 1.2640184439099995, 1.2887915070999996, 1.3135645702899996, 1.3383376334799997, 1.3631106966699997, 1.3878837598599998, 1.4126568230499994, 1.4374298862399995, 1.4622029494299995, 1.4869760126199996, 1.5117490758099996]"
