,0
0,"[-4.029614828172003, -3.9175890054211906, -3.8055631826703786, -3.6935373599195667, -3.5815115371687547, -3.4694857144179423, -3.3574598916671303, -3.2454340689163184, -3.1334082461655064, -3.0213824234146944, -2.9093566006638825, -2.7973307779130705, -2.685304955162258, -2.5732791324114466, -2.461253309660634, -2.349227486909822, -2.2372016641590102, -2.1251758414081983, -2.0131500186573863, -1.9011241959065743, -1.7890983731557624, -1.67707255040495, -1.565046727654138, -1.453020904903326, -1.340995082152514, -1.228969259401702, -1.1169434366508901, -1.0049176139000782, -0.8928917911492658, -0.7808659683984538, -0.6688401456476418, -0.5568143228968299, -0.4447885001460179, -0.33276267739520593, -0.22073685464439396, -0.108711031893582, 0.0033147908572299656, 0.11534061360804237, 0.2273664363588539, 0.3393922591096663, 0.4514180818604778, 0.5634439046112902, 0.6754697273621026, 0.7874955501129142, 0.8995213728637266, 1.011547195614538, 1.1235730183653505, 1.235598841116162, 1.3476246638669744, 1.4596504866177868, 1.5716763093685984, 1.6837021321194108, 1.7957279548702223, 1.9077537776210347, 2.0197796003718462, 2.1318054231226586, 2.243831245873471, 2.3558570686242826, 2.467882891375095, 2.5799087141259065, 2.691934536876719, 2.8039603596275304, 2.915986182378343, 3.0280120051291544, 3.1400378278799668, 3.252063650630779, 3.3640894733815907, 3.476115296132403, 3.5881411188832146, 3.700166941634027, 3.8121927643848386, 3.924218587135651, 4.0362444098864625, 4.148270232637275, 4.260296055388087, 4.3723218781389, 4.48434770088971, 4.596373523640523, 4.708399346391335, 4.820425169142148, 4.932450991892958, 5.044476814643771, 5.156502637394583, 5.268528460145395, 5.380554282896208, 5.4925801056470185, 5.604605928397831, 5.716631751148643, 5.828657573899456, 5.940683396650268, 6.052709219401079, 6.164735042151891, 6.276760864902704, 6.388786687653516, 6.500812510404327, 6.612838333155139, 6.724864155905951, 6.836889978656764, 6.948915801407576, 7.060941624158387]"
1,"[-4.960776408339424, -4.8704466614553334, -4.780116914571244, -4.689787167687154, -4.5994574208030645, -4.509127673918974, -4.418797927034885, -4.328468180150795, -4.238138433266705, -4.147808686382615, -4.057478939498526, -3.967149192614436, -3.876819445730346, -3.786489698846256, -3.6961599519621666, -3.6058302050780764, -3.515500458193987, -3.425170711309897, -3.3348409644258075, -3.2445112175417172, -3.154181470657628, -3.0638517237735376, -2.9735219768894483, -2.883192230005358, -2.7928624831212683, -2.7025327362371785, -2.6122029893530887, -2.521873242468999, -2.431543495584909, -2.3412137487008193, -2.2508840018167295, -2.1605542549326398, -2.07022450804855, -1.9798947611644602, -1.8895650142803704, -1.7992352673962806, -1.7089055205121908, -1.618575773628101, -1.5282460267440112, -1.4379162798599214, -1.3475865329758316, -1.2572567860917419, -1.166927039207652, -1.0765972923235623, -0.9862675454394725, -0.8959377985553827, -0.8056080516712925, -0.7152783047872031, -0.6249485579031129, -0.5346188110190235, -0.4442890641349333, -0.35395931725084395, -0.2636295703667537, -0.17329982348266437, -0.08297007659857414, 0.007359670285515207, 0.09768941716960544, 0.1880191640536948, 0.278348910937785, 0.36867865782187437, 0.4590084047059646, 0.549338151590054, 0.6396678984741442, 0.7299976453582335, 0.8203273922423238, 0.910657139126414, 1.0009868860105033, 1.0913166328945936, 1.181646379778683, 1.2719761266627732, 1.3623058735468625, 1.4526356204309527, 1.542965367315042, 1.6332951141991323, 1.7236248610832217, 1.813954607967312, 1.9042843548514012, 1.9946141017354915, 2.084943848619581, 2.175273595503671, 2.2656033423877604, 2.3559330892718506, 2.44626283615594, 2.53659258304003, 2.6269223299241196, 2.71725207680821, 2.807581823692299, 2.8979115705763894, 2.9882413174604787, 3.078571064344569, 3.1689008112286583, 3.2592305581127476, 3.3495603049968388, 3.439890051880928, 3.5302197987650175, 3.620549545649107, 3.710879292533198, 3.8012090394172873, 3.8915387863013766, 3.9818685331854677]"
2,"[-5.503464531775403, -5.409445589086628, -5.315426646397853, -5.221407703709078, -5.127388761020303, -5.033369818331527, -4.939350875642752, -4.845331932953977, -4.751312990265202, -4.657294047576427, -4.563275104887651, -4.469256162198876, -4.375237219510101, -4.281218276821326, -4.187199334132551, -4.093180391443775, -3.9991614487550002, -3.905142506066225, -3.81112356337745, -3.7171046206886746, -3.6230856779998994, -3.5290667353111242, -3.435047792622349, -3.341028849933574, -3.2470099072447987, -3.1529909645560235, -3.0589720218672483, -2.964953079178473, -2.870934136489698, -2.7769151938009227, -2.6828962511121475, -2.5888773084233723, -2.494858365734597, -2.400839423045822, -2.3068204803570467, -2.2128015376682715, -2.1187825949794963, -2.024763652290721, -1.9307447096019459, -1.8367257669131707, -1.7427068242243955, -1.6486878815356203, -1.554668938846845, -1.46064999615807, -1.3666310534692947, -1.2726121107805195, -1.1785931680917443, -1.084574225402969, -0.9905552827141939, -0.8965363400254187, -0.8025173973366435, -0.7084984546478683, -0.6144795119590931, -0.5204605692703179, -0.4264416265815427, -0.3324226838927675, -0.23840374120399233, -0.14438479851521713, -0.05036585582644193, 0.04365308686233327, 0.13767202955110847, 0.23169097223988366, 0.32570991492865886, 0.41972885761743406, 0.5137478003062093, 0.6077667429949845, 0.7017856856837597, 0.7958046283725349, 0.88982357106131, 0.9838425137500852, 1.0778614564388604, 1.1718803991276356, 1.2658993418164108, 1.359918284505186, 1.4539372271939612, 1.5479561698827364, 1.6419751125715116, 1.7359940552602868, 1.830012997949062, 1.9240319406378372, 2.0180508833266124, 2.1120698260153876, 2.206088768704163, 2.300107711392938, 2.394126654081713, 2.4881455967704884, 2.5821645394592636, 2.676183482148039, 2.770202424836814, 2.864221367525589, 2.9582403102143644, 3.0522592529031396, 3.146278195591915, 3.24029713828069, 3.334316080969465, 3.4283350236582404, 3.5223539663470156, 3.616372909035791, 3.710391851724566, 3.804410794413341]"
3,"[-6.308927957085649, -6.200588744976143, -6.092249532866636, -5.98391032075713, -5.875571108647624, -5.767231896538117, -5.658892684428611, -5.5505534723191055, -5.442214260209599, -5.333875048100093, -5.225535835990586, -5.11719662388108, -5.008857411771574, -4.900518199662068, -4.792178987552561, -4.683839775443055, -4.575500563333549, -4.467161351224043, -4.358822139114537, -4.250482927005031, -4.142143714895524, -4.033804502786018, -3.9254652906765117, -3.8171260785670054, -3.7087868664574994, -3.600447654347993, -3.4921084422384867, -3.3837692301289803, -3.2754300180194744, -3.167090805909968, -3.0587515938004617, -2.9504123816909558, -2.8420731695814494, -2.733733957471943, -2.625394745362437, -2.5170555332529307, -2.4087163211434244, -2.300377109033918, -2.192037896924412, -2.083698684814906, -1.9753594727053994, -1.8670202605958934, -1.7586810484863875, -1.6503418363768807, -1.5420026242673748, -1.4336634121578689, -1.325324200048362, -1.2169849879388561, -1.1086457758293502, -1.0003065637198434, -0.8919673516103375, -0.7836281395008307, -0.6752889273913247, -0.5669497152818188, -0.458610503172312, -0.3502712910628061, -0.24193207895330016, -0.13359286684379335, -0.025253654734287423, 0.0830855573752185, 0.1914247694847253, 0.29976398159423123, 0.40810319370373715, 0.516442405813244, 0.6247816179227499, 0.7331208300322558, 0.8414600421417626, 0.9497992542512685, 1.0581384663607745, 1.1664776784702813, 1.2748168905797872, 1.3831561026892931, 1.4914953147988, 1.5998345269083059, 1.7081737390178127, 1.8165129511273186, 1.9248521632368245, 2.0331913753463304, 2.1415305874558364, 2.249869799565344, 2.35820901167485, 2.466548223784356, 2.574887435893862, 2.6832266480033677, 2.7915658601128737, 2.8999050722223814, 3.0082442843318873, 3.116583496441393, 3.224922708550899, 3.333261920660405, 3.441601132769911, 3.5499403448794187, 3.6582795569889246, 3.7666187690984305, 3.8749579812079364, 3.9832971933174424, 4.091636405426948, 4.199975617536456, 4.308314829645962, 4.416654041755468]"
4,"[-7.6906667546925425, -7.581531199163652, -7.472395643634762, -7.363260088105871, -7.254124532576981, -7.14498897704809, -7.0358534215192, -6.92671786599031, -6.81758231046142, -6.708446754932529, -6.599311199403639, -6.490175643874748, -6.381040088345858, -6.271904532816968, -6.162768977288078, -6.053633421759187, -5.9444978662302965, -5.835362310701406, -5.726226755172515, -5.6170911996436255, -5.507955644114735, -5.398820088585845, -5.289684533056954, -5.180548977528064, -5.071413421999173, -4.962277866470283, -4.853142310941393, -4.744006755412503, -4.634871199883612, -4.525735644354722, -4.416600088825831, -4.30746453329694, -4.198328977768051, -4.089193422239161, -3.9800578667102697, -3.8709223111813795, -3.761786755652489, -3.652651200123599, -3.5435156445947085, -3.434380089065818, -3.325244533536927, -3.2161089780080374, -3.1069734224791468, -2.997837866950256, -2.8887023114213664, -2.7795667558924757, -2.670431200363585, -2.5612956448346953, -2.4521600893058046, -2.343024533776914, -2.2338889782480242, -2.1247534227191336, -2.015617867190243, -1.9064823116613532, -1.7973467561324625, -1.6882112006035719, -1.5790756450746821, -1.4699400895457915, -1.3608045340169008, -1.2516689784880102, -1.1425334229591204, -1.0333978674302298, -0.9242623119013391, -0.8151267563724494, -0.7059912008435587, -0.5968556453146681, -0.4877200897857783, -0.37858453425688765, -0.269448978727997, -0.16031342319910724, -0.05117786767021659, 0.057957687858674056, 0.1670932433875647, 0.27622879891645447, 0.3853643544453442, 0.4944999099742349, 0.6036354655031255, 0.7127710210320162, 0.8219065765609068, 0.9310421320897975, 1.0401776876186881, 1.149313243147577, 1.2584487986764676, 1.3675843542053583, 1.476719909734249, 1.5858554652631396, 1.6949910207920302, 1.804126576320919, 1.9132621318498098, 2.0223976873787004, 2.131533242907591, 2.2406687984364817, 2.3498043539653723, 2.4589399094942612, 2.568075465023152, 2.6772110205520425, 2.786346576080933, 2.895482131609824, 3.0046176871387145, 3.113753242667605]"
5,"[-8.112683267417813, -7.997048129562883, -7.881412991707953, -7.765777853853023, -7.650142715998093, -7.534507578143163, -7.418872440288233, -7.303237302433303, -7.187602164578373, -7.071967026723443, -6.9563318888685135, -6.840696751013583, -6.725061613158653, -6.6094264753037235, -6.493791337448793, -6.378156199593864, -6.2625210617389335, -6.146885923884003, -6.031250786029073, -5.9156156481741435, -5.799980510319213, -5.684345372464284, -5.5687102346093535, -5.453075096754423, -5.337439958899493, -5.221804821044564, -5.106169683189634, -4.990534545334704, -4.874899407479774, -4.759264269624843, -4.643629131769914, -4.527993993914984, -4.412358856060054, -4.296723718205124, -4.181088580350194, -4.065453442495264, -3.949818304640334, -3.8341831667854036, -3.718548028930474, -3.602912891075544, -3.4872777532206136, -3.371642615365684, -3.256007477510754, -3.1403723396558236, -3.0247372018008942, -2.909102063945964, -2.7934669260910345, -2.6778317882361042, -2.562196650381174, -2.4465615125262445, -2.3309263746713142, -2.215291236816384, -2.0996560989614546, -1.9840209611065243, -1.868385823251594, -1.7527506853966646, -1.6371155475417343, -1.521480409686804, -1.4058452718318746, -1.2902101339769443, -1.1745749961220149, -1.0589398582670846, -0.9433047204121543, -0.8276695825572249, -0.7120344447022946, -0.5963993068473643, -0.4807641689924349, -0.3651290311375046, -0.24949389328257432, -0.13385875542764492, -0.01822361757271551, 0.09741152028221478, 0.21304665813714507, 0.32868179599207537, 0.44431693384700566, 0.559952071701936, 0.6755872095568645, 0.7912223474117948, 0.906857485266725, 1.0224926231216553, 1.1381277609765856, 1.2537628988315141, 1.3693980366864444, 1.4850331745413747, 1.600668312396305, 1.7163034502512353, 1.8319385881061656, 1.9475737259610941, 2.0632088638160244, 2.1788440016709547, 2.294479139525885, 2.4101142773808153, 2.525749415235744, 2.641384553090674, 2.7570196909456044, 2.8726548288005347, 2.988289966655465, 3.1039251045103953, 3.219560242365324, 3.335195380220254]"
