,0
0,"[-0.081279112, -0.07021595544, -0.059152798879999996, -0.04808964232, -0.03702648576, -0.025963329199999996, -0.01490017264, -0.0038370160799999914, 0.007226140480000004, 0.01828929704, 0.02935245360000001, 0.040415610160000004, 0.05147876672, 0.06254192328000001, 0.07360507984000002, 0.0846682364, 0.09573139296000001, 0.10679454952000002, 0.11785770608, 0.12892086264000002, 0.13998401920000003, 0.15104717575999999, 0.16211033232, 0.17317348888, 0.18423664544, 0.19529980200000002, 0.20636295856000003, 0.21742611512000004, 0.22848927168000005, 0.23955242824, 0.2506155848, 0.26167874136, 0.27274189792000003, 0.28380505448000004, 0.29486821104000005, 0.30593136760000006, 0.31699452416, 0.32805768072, 0.33912083728000003, 0.35018399384000004, 0.36124715040000005, 0.37231030696000006, 0.38337346352, 0.39443662008, 0.40549977664000003, 0.41656293320000004, 0.42762608976, 0.43868924632, 0.44975240288, 0.46081555944, 0.47187871600000003, 0.48294187256000004, 0.49400502912000005, 0.50506818568, 0.51613134224, 0.5271944988, 0.53825765536, 0.54932081192, 0.5603839684799999, 0.57144712504, 0.5825102816, 0.59357343816, 0.60463659472, 0.61569975128, 0.62676290784, 0.6378260644, 0.64888922096, 0.65995237752, 0.67101553408, 0.68207869064, 0.6931418472, 0.70420500376, 0.71526816032, 0.72633131688, 0.73739447344, 0.74845763, 0.75952078656, 0.77058394312, 0.78164709968, 0.79271025624, 0.8037734128, 0.81483656936, 0.82589972592, 0.8369628824800001, 0.84802603904, 0.8590891956, 0.87015235216, 0.88121550872, 0.89227866528, 0.90334182184, 0.9144049784, 0.92546813496, 0.9365312915199999, 0.94759444808, 0.9586576046399999, 0.9697207612000001, 0.98078391776, 0.9918470743200001, 1.00291023088, 1.01397338744]"
1,"[-0.347284664, -0.33356145192000003, -0.31983823984000004, -0.30611502776, -0.29239181568, -0.2786686036, -0.26494539152, -0.25122217944, -0.23749896736000004, -0.22377575528000002, -0.21005254320000002, -0.19632933112000003, -0.18260611904000001, -0.16888290696000002, -0.15515969488000003, -0.1414364828, -0.12771327072000002, -0.11399005864000003, -0.10026684656000001, -0.08654363448000002, -0.07282042240000003, -0.05909721032000004, -0.045373998240000046, -0.03165078616, -0.01792757408000001, -0.004204362000000017, 0.009518850079999974, 0.023242062159999965, 0.03696527423999996, 0.050688486320000004, 0.0644116984, 0.07813491047999999, 0.09185812255999998, 0.10558133463999997, 0.11930454671999996, 0.13302775879999995, 0.14675097088, 0.16047418295999993, 0.17419739503999998, 0.18792060712000003, 0.20164381919999996, 0.21536703128, 0.22909024335999995, 0.24281345544, 0.25653666751999993, 0.2702598796, 0.28398309168, 0.29770630375999996, 0.31142951584, 0.32515272791999994, 0.33887594, 0.3525991520799999, 0.36632236415999997, 0.38004557624, 0.39376878831999995, 0.4074920004, 0.42121521247999993, 0.43493842456, 0.44866163664, 0.46238484871999996, 0.4761080608, 0.48983127287999995, 0.50355448496, 0.5172776970399999, 0.53100090912, 0.5447241212, 0.55844733328, 0.57217054536, 0.5858937574399999, 0.59961696952, 0.6133401815999999, 0.62706339368, 0.64078660576, 0.65450981784, 0.6682330299199999, 0.681956242, 0.69567945408, 0.7094026661599999, 0.7231258782400001, 0.73684909032, 0.7505723024, 0.7642955144799999, 0.77801872656, 0.79174193864, 0.8054651507199999, 0.8191883628000001, 0.83291157488, 0.8466347869599999, 0.8603579990399999, 0.87408121112, 0.8878044232, 0.9015276352799999, 0.9152508473600001, 0.92897405944, 0.9426972715199999, 0.9564204835999999, 0.97014369568, 0.98386690776, 0.9975901198399999, 1.01131333192]"
2,"[-3.092812088, -3.0613756478200003, -3.02993920764, -2.99850276746, -2.96706632728, -2.9356298871, -2.90419344692, -2.87275700674, -2.84132056656, -2.80988412638, -2.7784476862, -2.74701124602, -2.71557480584, -2.68413836566, -2.65270192548, -2.6212654853, -2.58982904512, -2.55839260494, -2.52695616476, -2.4955197245800003, -2.4640832844, -2.4326468442199998, -2.40121040404, -2.36977396386, -2.33833752368, -2.3069010835, -2.27546464332, -2.24402820314, -2.21259176296, -2.18115532278, -2.1497188826, -2.11828244242, -2.0868460022399997, -2.05540956206, -2.02397312188, -1.9925366816999999, -1.9611002415199998, -1.9296638013399998, -1.89822736116, -1.86679092098, -1.8353544808, -1.80391804062, -1.77248160044, -1.74104516026, -1.7096087200799999, -1.6781722798999998, -1.6467358397199998, -1.6152993995399998, -1.5838629593599998, -1.55242651918, -1.520990079, -1.48955363882, -1.45811719864, -1.4266807584599999, -1.3952443182799998, -1.3638078780999998, -1.3323714379199998, -1.3009349977399998, -1.2694985575599997, -1.23806211738, -1.2066256772, -1.1751892370199999, -1.1437527968399999, -1.1123163566599998, -1.0808799164799998, -1.0494434763, -1.0180070361199998, -0.98657059594, -0.9551341557599997, -0.9236977155799999, -0.8922612753999997, -0.8608248352199999, -0.8293883950399996, -0.7979519548599998, -0.7665155146799996, -0.7350790744999998, -0.70364263432, -0.6722061941399997, -0.6407697539599999, -0.6093333137799997, -0.5778968735999999, -0.5464604334199996, -0.5150239932399998, -0.48358755305999956, -0.45215111287999976, -0.4207146726999995, -0.3892782325199997, -0.3578417923399999, -0.32640535215999966, -0.29496891197999986, -0.2635324717999996, -0.2320960316199998, -0.20065959143999956, -0.16922315125999976, -0.1377867110799995, -0.10635027089999971, -0.07491383071999946, -0.04347739053999966, -0.012040950359999858, 0.01939548982000039]"
3,"[-1.026134534, -1.0050198339, -0.9839051338000001, -0.9627904337000001, -0.9416757336000001, -0.9205610335000001, -0.8994463334, -0.8783316333000001, -0.8572169332000001, -0.8361022331000001, -0.814987533, -0.7938728329000001, -0.7727581328, -0.7516434327000001, -0.7305287326000001, -0.7094140325, -0.6882993324000001, -0.6671846323000001, -0.6460699322000001, -0.6249552321, -0.6038405320000001, -0.5827258319, -0.5616111318000001, -0.5404964317000001, -0.5193817316, -0.49826703150000007, -0.4771523314, -0.4560376313000001, -0.43492293120000003, -0.4138082311000001, -0.39269353100000004, -0.3715788309000001, -0.35046413080000005, -0.3293494307, -0.30823473060000006, -0.2871200305, -0.2660053304000001, -0.24489063030000002, -0.22377593020000008, -0.20266123010000003, -0.1815465300000001, -0.16043182990000004, -0.1393171298, -0.11820242970000006, -0.0970877296, -0.07597302950000007, -0.05485832940000002, -0.03374362930000008, -0.012628929199999916, 0.008485770899999912, 0.02960047099999996, 0.05071517110000001, 0.07182987120000006, 0.09294457129999989, 0.11405927139999994, 0.1351739715, 0.15628867160000004, 0.1774033717000001, 0.19851807179999992, 0.21963277189999997, 0.24074747200000002, 0.26186217210000007, 0.2829768721999999, 0.30409157229999995, 0.3252062724, 0.34632097250000005, 0.3674356726000001, 0.3885503726999999, 0.4096650728, 0.4307797729, 0.4518944730000001, 0.4730091730999999, 0.49412387319999995, 0.5152385733, 0.5363532734, 0.5574679735000001, 0.5785826735999999, 0.5996973737, 0.6208120738, 0.6419267739000001, 0.6630414739999999, 0.6841561741, 0.7052708742, 0.7263855743000001, 0.7475002744000001, 0.7686149744999999, 0.7897296746, 0.8108443747, 0.8319590748000001, 0.8530737749000001, 0.874188475, 0.8953031751, 0.9164178752000001, 0.9375325753000001, 0.9586472753999999, 0.9797619755000002, 1.0008766756000003, 1.0219913756999999, 1.0431060758, 1.0642207759]"
4,"[-1.285385507, -1.26194055825, -1.2384956095, -1.21505066075, -1.1916057119999999, -1.16816076325, -1.1447158145, -1.12127086575, -1.097825917, -1.07438096825, -1.0509360195, -1.02749107075, -1.004046122, -0.98060117325, -0.9571562245, -0.93371127575, -0.910266327, -0.88682137825, -0.8633764294999999, -0.83993148075, -0.816486532, -0.79304158325, -0.7695966345, -0.74615168575, -0.722706737, -0.69926178825, -0.6758168394999999, -0.65237189075, -0.628926942, -0.60548199325, -0.5820370445, -0.55859209575, -0.535147147, -0.51170219825, -0.48825724949999993, -0.46481230075, -0.441367352, -0.41792240324999996, -0.39447745450000005, -0.37103250575, -0.347587557, -0.32414260824999996, -0.30069765949999994, -0.27725271075, -0.2538077620000001, -0.23036281324999996, -0.20691786450000005, -0.1834729157499999, -0.160027967, -0.13658301825000008, -0.11313806949999994, -0.08969312075000002, -0.06624817199999988, -0.042803223249999967, -0.01935827450000005, 0.0040866742500000885, 0.027531623000000005, 0.05097657174999992, 0.07442152050000006, 0.09786646924999998, 0.1213114179999999, 0.14475636675000003, 0.16820131549999995, 0.1916462642500001, 0.215091213, 0.23853616174999992, 0.26198111050000006, 0.28542605925, 0.3088710080000001, 0.33231595675000003, 0.35576090549999995, 0.3792058542500001, 0.402650803, 0.4260957517499999, 0.44954070050000006, 0.47298564925, 0.4964305979999999, 0.51987554675, 0.5433204955, 0.5667654442500001, 0.590210393, 0.6136553417499999, 0.6371002905, 0.66054523925, 0.6839901880000001, 0.70743513675, 0.7308800854999999, 0.7543250342499999, 0.7777699829999998, 0.8012149317500001, 0.8246598805, 0.84810482925, 0.8715497779999999, 0.8949947267499998, 0.9184396755000002, 0.9418846242500001, 0.965329573, 0.9887745217499999, 1.0122194704999998, 1.0356644192500002]"
5,"[-0.533135085, -0.5240086980499999, -0.5148823110999999, -0.5057559241499999, -0.49662953719999997, -0.48750315024999996, -0.47837676329999995, -0.46925037634999994, -0.4601239894, -0.45099760245, -0.44187121549999997, -0.43274482854999996, -0.42361844159999995, -0.41449205464999994, -0.40536566769999993, -0.39623928075, -0.38711289379999997, -0.37798650684999996, -0.3688601199, -0.35973373295, -0.350607346, -0.34148095905, -0.33235457209999997, -0.32322818514999996, -0.31410179819999995, -0.30497541124999994, -0.2958490243, -0.28672263735, -0.27759625039999997, -0.26846986344999996, -0.2593434765, -0.25021708955, -0.24109070259999998, -0.23196431564999997, -0.22283792869999997, -0.21371154175, -0.2045851548, -0.19545876785, -0.18633238089999998, -0.17720599394999997, -0.16807960700000002, -0.15895322005, -0.1498268331, -0.14070044615, -0.13157405919999998, -0.12244767224999997, -0.11332128530000002, -0.10419489835000001, -0.0950685114, -0.08594212444999999, -0.07681573749999998, -0.06768935055000003, -0.05856296360000002, -0.04943657665000001, -0.0403101897, -0.03118380274999999, -0.02205741579999998, -0.01293102884999997, -0.003804641899999961, 0.0053217450499999375, 0.014448131999999947, 0.023574518949999956, 0.032700905899999966, 0.041827292849999975, 0.050953679799999985, 0.060080066749999994, 0.0692064537, 0.07833284065000001, 0.08745922760000002, 0.09658561455000003, 0.10571200149999993, 0.11483838844999994, 0.12396477539999995, 0.13309116234999996, 0.14221754929999997, 0.15134393624999998, 0.1604703232, 0.16959671015, 0.1787230971, 0.18784948405000002, 0.1969758709999999, 0.20610225794999992, 0.21522864489999993, 0.22435503184999994, 0.23348141879999995, 0.24260780574999996, 0.25173419269999997, 0.26086057965, 0.2699869666, 0.27911335355, 0.2882397405, 0.2973661274499999, 0.3064925143999999, 0.3156189013499999, 0.32474528829999993, 0.33387167524999994, 0.34299806219999995, 0.35212444914999996, 0.3612508361, 0.37037722305]"
