,0
0,"[-0.770781364, -0.74922603286, -0.7276707017199999, -0.70611537058, -0.68456003944, -0.6630047083, -0.64144937716, -0.61989404602, -0.59833871488, -0.57678338374, -0.5552280526, -0.53367272146, -0.51211739032, -0.49056205918, -0.46900672804, -0.4474513969, -0.42589606576, -0.40434073462, -0.38278540348, -0.36123007234, -0.3396747412, -0.31811941006, -0.29656407892000003, -0.27500874778, -0.25345341664, -0.23189808550000002, -0.21034275436000005, -0.18878742321999997, -0.16723209208, -0.14567676094000004, -0.12412142980000007, -0.10256609866, -0.08101076752000003, -0.05945543638000006, -0.03790010523999998, -0.016344774100000015, 0.005210557039999952, 0.02676588817999992, 0.04832121932, 0.06987655045999996, 0.09143188159999993, 0.11298721274000001, 0.13454254387999998, 0.15609787501999994, 0.1776532061599999, 0.1992085373, 0.22076386843999996, 0.24231919957999992, 0.26387453072, 0.28542986185999986, 0.30698519299999993, 0.32854052414, 0.35009585527999987, 0.37165118641999995, 0.39320651756, 0.4147618486999999, 0.43631717983999996, 0.45787251098000004, 0.4794278421199999, 0.50098317326, 0.5225385043999998, 0.5440938355399999, 0.56564916668, 0.5872044978199998, 0.6087598289599999, 0.6303151601, 0.6518704912399998, 0.6734258223799999, 0.69498115352, 0.7165364846599999, 0.7380918157999999, 0.7596471469399998, 0.7812024780799999, 0.80275780922, 0.8243131403599998, 0.8458684714999999, 0.86742380264, 0.8889791337799998, 0.9105344649199999, 0.93208979606, 0.9536451271999998, 0.9752004583399999, 0.99675578948, 1.01831112062, 1.03986645176, 1.0614217828999997, 1.0829771140399997, 1.1045324451799998, 1.12608777632, 1.14764310746, 1.1691984386, 1.1907537697399997, 1.2123091008799998, 1.2338644320199998, 1.25541976316, 1.2769750943, 1.29853042544, 1.3200857565800002, 1.3416410877199998, 1.3631964188599999]"
1,"[-0.770781364, -0.74535560466, -0.7199298453199999, -0.69450408598, -0.66907832664, -0.6436525673, -0.61822680796, -0.5928010486199999, -0.5673752892799999, -0.54194952994, -0.5165237706, -0.49109801125999997, -0.46567225191999995, -0.44024649258, -0.41482073323999996, -0.3893949739, -0.36396921456, -0.33854345521999996, -0.31311769588, -0.28769193653999997, -0.2622661772, -0.23684041785999999, -0.21141465851999997, -0.18598889917999994, -0.16056313983999992, -0.13513738050000002, -0.10971162116, -0.08428586181999997, -0.058860102479999954, -0.033434343139999934, -0.008008583800000024, 0.017417175539999996, 0.042842934880000016, 0.06826869422000004, 0.09369445356000006, 0.11912021289999997, 0.14454597224, 0.16997173158, 0.19539749092000003, 0.22082325026000005, 0.24624900959999996, 0.27167476894, 0.29710052828, 0.32252628762, 0.34795204696000004, 0.37337780630000006, 0.3988035656400001, 0.4242293249800001, 0.4496550843200001, 0.4750808436599999, 0.5005066029999999, 0.52593236234, 0.55135812168, 0.57678388102, 0.60220964036, 0.6276353997, 0.6530611590400001, 0.6784869183800001, 0.7039126777200001, 0.7293384370599999, 0.7547641963999999, 0.7801899557399999, 0.80561571508, 0.83104147442, 0.85646723376, 0.8818929931, 0.90731875244, 0.9327445117800001, 0.9581702711200001, 0.9835960304600001, 1.0090217897999998, 1.0344475491399998, 1.0598733084799998, 1.0852990678199999, 1.1107248271599999, 1.1361505865, 1.16157634584, 1.18700210518, 1.21242786452, 1.23785362386, 1.2632793832, 1.28870514254, 1.31413090188, 1.33955666122, 1.36498242056, 1.3904081799, 1.4158339392400001, 1.4412596985800001, 1.4666854579200002, 1.4921112172600002, 1.5175369766000002, 1.5429627359400002, 1.5683884952800002, 1.5938142546200003, 1.6192400139600003, 1.6446657733000003, 1.6700915326400003, 1.69551729198, 1.72094305132, 1.74636881066]"
2,"[-2.459923284, -2.41760610546, -2.3752889269199997, -2.33297174838, -2.29065456984, -2.2483373912999998, -2.20602021276, -2.16370303422, -2.12138585568, -2.07906867714, -2.0367514985999997, -1.9944343200599999, -1.95211714152, -1.9097999629799998, -1.86748278444, -1.8251656058999999, -1.7828484273599998, -1.74053124882, -1.69821407028, -1.6558968917399999, -1.6135797132, -1.57126253466, -1.52894535612, -1.48662817758, -1.44431099904, -1.4019938205, -1.35967664196, -1.31735946342, -1.27504228488, -1.23272510634, -1.1904079278, -1.14809074926, -1.10577357072, -1.06345639218, -1.0211392136400002, -0.9788220351000001, -0.93650485656, -0.89418767802, -0.8518704994800002, -0.8095533209400001, -0.7672361424, -0.7249189638600002, -0.6826017853200002, -0.6402846067800001, -0.59796742824, -0.5556502497000002, -0.5133330711600002, -0.4710158926200001, -0.42869871408000026, -0.38638153554, -0.34406435700000015, -0.3017471784600003, -0.25942999992000004, -0.2171128213800002, -0.17479564284000038, -0.1324784643000001, -0.09016128576000026, -0.04784410722000043, -0.005526928680000154, 0.03679024985999968, 0.07910742839999996, 0.12142460693999979, 0.16374178547999962, 0.2060589640199999, 0.24837614255999974, 0.29069332109999957, 0.33301049963999985, 0.3753276781799997, 0.4176448567199995, 0.4599620352599998, 0.5022792137999996, 0.5445963923399999, 0.5869135708799997, 0.6292307494199996, 0.6715479279599998, 0.7138651064999997, 0.7561822850399995, 0.7984994635799998, 0.8408166421199996, 0.8831338206599995, 0.9254509991999997, 0.9677681777399996, 1.0100853562799994, 1.0524025348199997, 1.0947197133599995, 1.1370368918999998, 1.1793540704399996, 1.2216712489799995, 1.2639884275199997, 1.3063056060599996, 1.3486227845999994, 1.3909399631399997, 1.4332571416799995, 1.4755743202199993, 1.5178914987599996, 1.5602086773, 1.6025258558399993, 1.6448430343799996, 1.6871602129199998, 1.7294773914599992]"
3,"[-0.017621861, -0.011409025, -0.005196189, 0.001016646999999999, 0.007229482999999998, 0.013442318999999998, 0.019655154999999997, 0.025867990999999996, 0.03208082699999999, 0.03829366299999999, 0.04450649899999999, 0.05071933499999999, 0.05693217099999999, 0.06314500699999999, 0.06935784299999999, 0.07557067899999999, 0.08178351499999999, 0.08799635099999999, 0.09420918699999999, 0.10042202299999999, 0.10663485899999998, 0.11284769499999998, 0.11906053099999998, 0.125273367, 0.131486203, 0.137699039, 0.143911875, 0.150124711, 0.156337547, 0.162550383, 0.168763219, 0.174976055, 0.181188891, 0.187401727, 0.193614563, 0.199827399, 0.206040235, 0.212253071, 0.218465907, 0.224678743, 0.23089157899999999, 0.23710441499999999, 0.24331725099999998, 0.24953008699999998, 0.25574292299999996, 0.26195575899999995, 0.26816859499999995, 0.27438143099999995, 0.28059426699999995, 0.28680710299999995, 0.29301993899999995, 0.29923277499999995, 0.30544561099999995, 0.31165844699999995, 0.31787128299999995, 0.32408411899999995, 0.33029695499999995, 0.33650979099999995, 0.34272262699999995, 0.34893546299999995, 0.35514829899999995, 0.36136113499999994, 0.36757397099999994, 0.37378680699999994, 0.37999964299999994, 0.38621247899999994, 0.39242531499999994, 0.39863815099999994, 0.40485098699999994, 0.41106382299999994, 0.41727665899999994, 0.42348949499999994, 0.42970233099999994, 0.43591516699999994, 0.44212800299999994, 0.44834083899999994, 0.45455367499999993, 0.46076651099999993, 0.46697934699999993, 0.47319218299999993, 0.47940501899999993, 0.48561785499999993, 0.49183069099999993, 0.49804352699999993, 0.504256363, 0.510469199, 0.516682035, 0.522894871, 0.529107707, 0.535320543, 0.541533379, 0.547746215, 0.553959051, 0.560171887, 0.566384723, 0.572597559, 0.578810395, 0.585023231, 0.591236067, 0.597448903]"
4,"[0.355548677, 0.35936903543, 0.36318939386, 0.36700975229, 0.37083011072, 0.37465046915, 0.37847082758, 0.38229118601, 0.38611154443999995, 0.38993190286999996, 0.39375226129999996, 0.39757261972999997, 0.40139297815999997, 0.40521333659, 0.40903369502, 0.41285405345, 0.41667441188, 0.42049477031, 0.42431512874, 0.42813548717, 0.4319558456, 0.43577620402999995, 0.43959656246, 0.44341692088999995, 0.44723727931999996, 0.45105763774999996, 0.45487799617999997, 0.45869835460999997, 0.46251871304, 0.46633907147, 0.4701594299, 0.47397978833, 0.47780014676, 0.48162050519, 0.48544086361999994, 0.48926122205, 0.49308158047999995, 0.49690193891, 0.50072229734, 0.50454265577, 0.5083630142, 0.51218337263, 0.51600373106, 0.5198240894899999, 0.52364444792, 0.52746480635, 0.53128516478, 0.5351055232099999, 0.53892588164, 0.5427462400699999, 0.5465665985, 0.55038695693, 0.55420731536, 0.55802767379, 0.5618480322199999, 0.56566839065, 0.56948874908, 0.57330910751, 0.5771294659399999, 0.58094982437, 0.5847701828, 0.58859054123, 0.5924108996599999, 0.59623125809, 0.6000516165199999, 0.60387197495, 0.60769233338, 0.61151269181, 0.61533305024, 0.6191534086699999, 0.6229737671, 0.62679412553, 0.63061448396, 0.6344348423899999, 0.63825520082, 0.64207555925, 0.64589591768, 0.6497162761099999, 0.65353663454, 0.6573569929699999, 0.6611773513999999, 0.66499770983, 0.66881806826, 0.67263842669, 0.6764587851199999, 0.68027914355, 0.68409950198, 0.68791986041, 0.6917402188399999, 0.69556057727, 0.6993809357, 0.70320129413, 0.7070216525599999, 0.71084201099, 0.7146623694199999, 0.7184827278499999, 0.72230308628, 0.72612344471, 0.72994380314, 0.7337641615699999]"
5,"[-0.454448045, -0.44022647404000004, -0.42600490308, -0.41178333212, -0.39756176116, -0.3833401902, -0.36911861924, -0.35489704828, -0.34067547732000003, -0.32645390636000005, -0.3122323354, -0.29801076444, -0.28378919348, -0.26956762252, -0.25534605156, -0.24112448060000002, -0.22690290964, -0.21268133868, -0.19845976772, -0.18423819676000003, -0.1700166258, -0.15579505484, -0.14157348388000002, -0.12735191292000003, -0.11313034195999999, -0.098908771, -0.08468720004000002, -0.07046562907999998, -0.056244058119999996, -0.04202248716000001, -0.027800916200000025, -0.013579345239999985, 0.0006422257200000003, 0.014863796679999985, 0.029085367640000026, 0.04330693860000001, 0.057528509559999996, 0.07175008051999998, 0.08597165147999997, 0.10019322243999995, 0.11441479340000005, 0.12863636436000003, 0.14285793532000002, 0.15707950628, 0.17130107724, 0.18552264819999997, 0.19974421915999996, 0.21396579012000005, 0.22818736108000004, 0.24240893204000002, 0.256630503, 0.27085207396, 0.28507364492, 0.29929521587999997, 0.31351678684000006, 0.32773835780000005, 0.34195992876000003, 0.35618149972, 0.37040307068, 0.38462464164, 0.39884621259999997, 0.41306778356000007, 0.42728935452000005, 0.44151092548000004, 0.45573249644, 0.4699540674, 0.48417563836, 0.49839720932, 0.5126187802800001, 0.5268403512400001, 0.5410619222, 0.55528349316, 0.56950506412, 0.58372663508, 0.59794820604, 0.612169777, 0.62639134796, 0.6406129189199999, 0.6548344898799999, 0.6690560608400001, 0.6832776318000001, 0.6974992027600001, 0.7117207737200001, 0.7259423446800001, 0.7401639156400001, 0.7543854866, 0.76860705756, 0.78282862852, 0.79705019948, 0.81127177044, 0.8254933414, 0.83971491236, 0.8539364833199999, 0.8681580542800001, 0.8823796252400001, 0.8966011962000001, 0.9108227671600001, 0.9250443381200001, 0.9392659090800001, 0.9534874800400001]"
