,0
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3335635090640674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.189232364115058, 0, 0, 0, 0, 2.6328368001207303, 2.66294593907351, 2.740404799946897, 0, 2.9186552432437955, 0, 0, 0, 0, 0, 0, 0, 3.573999629448316, 0, 0, 0, 0, 0]"
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.1373849327549816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.116897227846622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.4459240070935499, 0, 0, 0, 0, -0.0415548889150112, 0, 0, 0, 0.2947657386242791, 0, 0, 0, 0, 0, 0.7257454853751593, 0, 0.9533547183335424, 0, 1.0832587539001846, 0, 1.2433749575345234, 1.2811060112277888, 0, 0, 0, 0, 1.7243439828904128, 1.809945499042786, 0, 0, 2.0505953809160498, 0, 0, 0, 2.3269209602987644, 2.462081720489536, 0, 2.6059154927693537, 0, 2.797828968606681, 0, 2.940634041171613, 3.0228781520357155, 3.094559538857468, 0, 0, 0, 0, 0, 3.5315933659914, 0, 0, 0, 3.8552570907394856, 0]"
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.1373849327549816, -3.088159413458379, 0, 0, 0, 0, -2.664402903568521, 0, 0, 0, -2.374893330415388, 0, 0, -2.1403229129100114, 0, 0, -1.9180548820818653, 0, 0, 0, 0, -1.4915508160416342, 0, -1.2847034532960162, 0, 0, 0, 0, -0.9487213018419238, -0.8399032020426129, 0, 0, 0, 0, -0.4434837849043768, 0, -0.2738105109798106, 0, 0, -0.0602905094863138, 0.046627954518702996, 0, 0.2378287140524833, 0.2947657386242791, 0, 0.4086084310807225, 0.5096643144706312, 0, 0, 0.7241709317276256, 0.8664608587179731, 0.9242428174664472, 1.0158463560573803, 1.0620011597767858, 1.1741304332568936, 1.2666050365971286, 1.305862115731626, 1.4110526022984171, 0, 1.543002288407612, 1.6799160367275494, 1.70337009212693, 1.7919855831845173, 1.913142596212272, 0, 2.079129219633507, 0, 0, 0, 2.36319168827625, 2.413494533752745, 2.5431566748756684, 2.5857357115704764, 2.7051968352429125, 0, 0, 2.9459266020096266, 3.0228781520357155, 3.0685245294706394, 3.158367037559864, 3.2660951760223256, 0, 3.404326651790294, 3.4570271639519747, 3.5315933659914, 0, 3.684133456891923, 0, 3.8552570907394856, 0]"
3,"[0, 0, 0, -3.6880520344704726, 0, 0, 0, -3.3867803439915543, 0, 0, 0, 0, 0, 0, 0, 0, -2.664402903568521, 0, 0, 0, -2.382792975813474, -2.263592769381352, 0, -2.1138542601599895, 0, 0, -1.9180548820818653, -1.8134921627599143, 0, 0, 0, -1.4507714444048505, 0, 0, -1.2474058239449366, 0, 0, -0.9895620003503287, -0.9487213018419238, -0.8315485456473147, 0, -0.6715801663952473, -0.573571368351707, 0, 0, 0, 0, -0.23534113616783645, -0.106181021128324, 0, 0.0363508003057422, 0.13521828682798115, 0.21827957393982889, 0, 0.3399596838589161, 0, 0, 0, 0, 0.797430206644454, 0, 0.9558453351984896, 1.0291483106984995, 1.0693299651835604, 1.1222687124764383, 1.2042216541027326, 1.340118330080435, 1.4294813752883366, 0, 1.5409185618878074, 1.6615768542723404, 1.6966904992536849, 1.801576634438103, 1.8509824434668625, 1.9522909745189836, 2.072886999127563, 2.1213229945841734, 0, 2.24011221169117, 2.368369511327556, 2.4252588908418984, 0, 2.611200685988181, 2.656794783001221, 2.776658725254624, 2.825366859213275, 2.926783344505392, 2.9827707094092584, 0, 3.184762746647442, 3.235794537301601, 3.299469889965299, 3.3814217117099084, 0, 3.532824115961983, 3.6118351284047256, 3.682246020698878, 0, 0, 0]"
4,"[0, 0, -3.799093122470981, -3.6979970334001098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.568726931787969, 0, 0, -2.3444484027217487, 0, 0, -2.1157574989557233, 0, 0, 0, -1.8134921627599143, 0, 0, -1.573260016786408, -1.4507714444048505, 0, -1.3447597542870475, -1.2474058239449366, 0, -1.060642573638508, -1.0143557901325686, -0.9163217621007476, -0.8306341636634874, 0, -0.6851941442315291, -0.6122251896152047, -0.4929524832800985, 0, 0, -0.2719895048900616, 0, -0.11903457293514604, 0, 0.0633511363253749, 0.1401040367639476, 0.21900670138317602, 0, 0, 0, 0.5403674113326735, 0, 0.6546175425823537, 0.7758758690723369, 0.8386888754732309, 0.8967149456251153, 1.0303311385582712, 1.06612558041461, 1.189425777295318, 1.2688198664383696, 0, 1.408803169589915, 1.4825700652041218, 1.5480812077486445, 1.6543061910170556, 1.686434311440371, 1.8052148892857185, 1.8621975766520762, 1.963947018384875, 2.049253058353039, 2.1186352700864495, 0, 2.3019488180670957, 2.375745536752849, 2.4254945769523952, 2.5111821753896555, 2.581681883692671, 2.6710628415182693, 0, 0, 2.8917648132981384, 3.0062382285393228, 3.0865434257642583, 3.1421180997157605, 3.2252454957001566, 0, 3.396620692574677, 3.4795076688741697, 3.551475869263562, 3.6118351284047256, 3.732856262454836, 3.7985934790530473, 0, 0]"
5,"[0, 0, 0, 0, 0, 0, -3.4505205217690817, 0, 0, 0, -3.1880711850805663, 0, 0, 0, -2.8363535887808373, 0, 0, 0, 0, 0, -2.3441663928875744, -2.2873233370969084, 0, -2.1441293905014787, 0, -1.944572943347869, -1.8921582312027807, -1.8017602792857683, 0, -1.630385082411248, 0, 0, -1.3891903905761334, -1.34331994230785, 0, -1.1802729827172544, 0, -1.0305718933504278, -0.9163217621007476, -0.8413533583616503, -0.7342093777423548, -0.6592589667889671, -0.6131021035012376, -0.4929524832800985, 0, -0.3450711058523465, 0, 0, -0.11272453585101345, 0, 0, 0.14123629721490044, 0, 0, 0, 0.4261172800829932, 0.5154487136762704, 0.5990538898453652, 0.6831800753947738, 0.7758758690723369, 0.8284882175416216, 0, 0, 1.0775486000272192, 1.1973056660183348, 1.2636918510434645, 0, 1.4319227173591942, 1.475140381946347, 1.5686185925797953, 1.6342493057405456, 1.6909188810152675, 1.8060557836521527, 1.882806453516416, 1.9936755278634053, 0, 2.093429097608775, 2.2255568472654548, 2.282907129525482, 0, 0, 2.482619642577236, 2.579868636236603, 0, 0, 2.853932569138696, 0, 0, 3.044043915861036, 0, 0, 0, 0, 3.5013499795535505, 3.551475869263562, 3.657403424481041, 3.710808553511298, 0, 3.853621217573396, 3.997441748851549]"
