,0
0,"[0.121824613, 0.13179878772, 0.14177296243999998, 0.15174713716, 0.16172131188, 0.1716954866, 0.18166966132, 0.19164383604, 0.20161801076, 0.21159218548, 0.22156636019999998, 0.23154053491999999, 0.24151470964, 0.25148888436, 0.26146305908, 0.27143723379999996, 0.28141140852, 0.29138558323999997, 0.30135975796000003, 0.31133393268, 0.3213081074, 0.33128228212, 0.34125645683999994, 0.35123063156, 0.36120480627999996, 0.371178981, 0.38115315571999997, 0.39112733044000003, 0.40110150516, 0.41107567987999993, 0.4210498546, 0.43102402931999995, 0.44099820404, 0.45097237875999996, 0.46094655348, 0.47092072819999997, 0.48089490292000003, 0.49086907764, 0.5008432523599999, 0.51081742708, 0.5207916018, 0.53076577652, 0.54073995124, 0.55071412596, 0.56068830068, 0.5706624753999999, 0.58063665012, 0.5906108248399999, 0.60058499956, 0.61055917428, 0.620533349, 0.63050752372, 0.64048169844, 0.65045587316, 0.66043004788, 0.6704042226, 0.6803783973199999, 0.69035257204, 0.70032674676, 0.71030092148, 0.7202750962, 0.73024927092, 0.74022344564, 0.75019762036, 0.76017179508, 0.7701459697999999, 0.78012014452, 0.79009431924, 0.80006849396, 0.81004266868, 0.8200168434, 0.82999101812, 0.83996519284, 0.84993936756, 0.8599135422799999, 0.869887717, 0.87986189172, 0.88983606644, 0.89981024116, 0.90978441588, 0.9197585906, 0.9297327653199999, 0.93970694004, 0.94968111476, 0.95965528948, 0.9696294642, 0.97960363892, 0.98957781364, 0.9995519883599999, 1.0095261630799999, 1.0195003377999998, 1.02947451252, 1.03944868724, 1.04942286196, 1.0593970366799998, 1.0693712114, 1.07934538612, 1.08931956084, 1.0992937355599999, 1.1092679102799998]"
1,"[-0.563079789, -0.54625657026, -0.52943335152, -0.51261013278, -0.49578691403999997, -0.4789636953, -0.46214047656, -0.44531725782, -0.42849403908, -0.41167082034, -0.3948476016, -0.37802438286, -0.36120116412000003, -0.34437794538, -0.32755472664, -0.3107315079, -0.29390828916, -0.27708507042, -0.26026185168, -0.24343863294, -0.22661541419999998, -0.20979219546, -0.19296897672000002, -0.17614575797999998, -0.15932253924, -0.14249932050000003, -0.12567610176, -0.10885288302000001, -0.09202966428000003, -0.07520644554, -0.058383226799999965, -0.04156000806000004, -0.024736789320000008, -0.007913570579999973, 0.00890964815999995, 0.025732866899999984, 0.04255608564000002, 0.05937930437999994, 0.07620252311999998, 0.09302574186000001, 0.10984896060000005, 0.12667217933999997, 0.14349539808, 0.16031861682000004, 0.17714183555999996, 0.1939650543, 0.21078827304000003, 0.22761149177999995, 0.24443471052, 0.26125792926, 0.27808114799999994, 0.29490436674, 0.31172758548, 0.32855080421999994, 0.34537402295999997, 0.3621972417, 0.37902046043999993, 0.39584367917999996, 0.41266689792, 0.42949011666000003, 0.44631333540000007, 0.46313655414, 0.4799597728799999, 0.49678299162000006, 0.51360621036, 0.5304294290999999, 0.54725264784, 0.56407586658, 0.5808990853199999, 0.59772230406, 0.6145455228, 0.6313687415399999, 0.64819196028, 0.66501517902, 0.6818383977599999, 0.6986616165, 0.71548483524, 0.7323080539799999, 0.74913127272, 0.7659544914599999, 0.7827777102000001, 0.79960092894, 0.8164241476799999, 0.8332473664200001, 0.85007058516, 0.8668938038999999, 0.8837170226400001, 0.90054024138, 0.9173634601199999, 0.9341866788600001, 0.9510098976, 0.9678331163399999, 0.9846563350800001, 1.0014795538199999, 1.0183027725599998, 1.0351259913000002, 1.05194921004, 1.06877242878, 1.08559564752, 1.1024188662599999]"
2,"[-2.63578047, -2.60618056098, -2.5765806519599996, -2.5469807429399998, -2.51738083392, -2.4877809249, -2.4581810158799997, -2.42858110686, -2.39898119784, -2.3693812888199997, -2.3397813798, -2.31018147078, -2.28058156176, -2.2509816527399997, -2.22138174372, -2.1917818347, -2.1621819256799997, -2.13258201666, -2.10298210764, -2.07338219862, -2.0437822895999997, -2.01418238058, -1.98458247156, -1.9549825625399997, -1.9253826535199998, -1.8957827445, -1.8661828354799999, -1.8365829264599998, -1.80698301744, -1.7773831084199998, -1.7477831993999997, -1.7181832903799998, -1.68858338136, -1.6589834723399999, -1.6293835633199998, -1.5997836543, -1.5701837452799998, -1.54058383626, -1.5109839272399999, -1.4813840182199998, -1.4517841092, -1.4221842001799998, -1.39258429116, -1.3629843821399998, -1.33338447312, -1.3037845640999999, -1.2741846550799998, -1.24458474606, -1.2149848370399998, -1.18538492802, -1.1557850189999999, -1.12618510998, -1.09658520096, -1.0669852919399998, -1.03738538292, -1.0077854738999998, -0.97818556488, -0.9485856558599999, -0.9189857468399998, -0.8893858378199999, -0.8597859287999998, -0.83018601978, -0.8005861107599999, -0.77098620174, -0.7413862927199999, -0.7117863836999998, -0.6821864746799999, -0.6525865656599998, -0.6229866566399997, -0.5933867476199999, -0.5637868386, -0.5341869295799997, -0.5045870205599998, -0.47498711153999995, -0.4453872025200001, -0.41578729349999977, -0.3861873844799999, -0.35658747546, -0.3269875664399997, -0.29738765741999984, -0.26778774839999997, -0.2381878393800001, -0.20858793035999978, -0.17898802133999991, -0.14938811232000004, -0.11978820329999973, -0.09018829427999986, -0.06058838525999999, -0.030988476240000118, -0.0013885672199998034, 0.028211341800000067, 0.05781125081999994, 0.08741115984000025, 0.11701106886000012, 0.14661097788, 0.17621088689999986, 0.20581079592000018, 0.23541070494000005, 0.2650106139599999, 0.29461052298000023]"
3,"[-0.510730559, -0.49625539352, -0.48178022804, -0.46730506256, -0.45282989708, -0.4383547316, -0.42387956612, -0.40940440064, -0.39492923516, -0.38045406967999995, -0.3659789042, -0.35150373871999996, -0.33702857324, -0.32255340775999997, -0.30807824228, -0.2936030768, -0.27912791132000003, -0.26465274584, -0.25017758036, -0.23570241488, -0.2212272494, -0.20675208392, -0.19227691844, -0.17780175296, -0.16332658748, -0.148851422, -0.13437625652000001, -0.11990109104000002, -0.10542592556000002, -0.09095076008000003, -0.07647559460000003, -0.062000429120000033, -0.04752526364000004, -0.03305009816000004, -0.018574932680000045, -0.0040997672000000485, 0.010375398280000003, 0.024850563759999944, 0.039325729239999996, 0.05380089471999994, 0.06827606019999999, 0.08275122567999993, 0.09722639115999998, 0.11170155663999992, 0.12617672211999997, 0.14065188759999991, 0.15512705307999997, 0.1696022185599999, 0.18407738403999996, 0.1985525495199999, 0.21302771499999995, 0.2275028804799999, 0.24197804595999994, 0.2564532114399999, 0.27092837691999994, 0.2854035423999999, 0.29987870787999993, 0.31435387335999987, 0.3288290388399999, 0.34330420431999986, 0.3577793697999999, 0.37225453527999985, 0.3867297007599999, 0.40120486623999985, 0.4156800317199999, 0.43015519719999995, 0.4446303626799999, 0.45910552815999994, 0.4735806936399999, 0.48805585911999994, 0.5025310245999999, 0.5170061900799998, 0.53148135556, 0.5459565210399999, 0.5604316865199999, 0.5749068519999998, 0.58938201748, 0.6038571829599999, 0.6183323484399998, 0.6328075139199998, 0.6472826794, 0.6617578448799999, 0.6762330103599998, 0.6907081758399998, 0.7051833413199999, 0.7196585067999999, 0.7341336722799998, 0.7486088377599998, 0.7630840032399999, 0.7775591687199999, 0.7920343341999998, 0.8065094996799997, 0.8209846651599999, 0.8354598306399998, 0.8499349961199998, 0.8644101615999997, 0.8788853270799999, 0.8933604925599998, 0.9078356580399998, 0.9223108235199999]"
4,"[-0.376022881, -0.36395118522, -0.35187948943999997, -0.33980779365999997, -0.32773609787999997, -0.31566440209999996, -0.30359270631999996, -0.29152101053999996, -0.27944931475999996, -0.26737761897999995, -0.25530592319999995, -0.24323422741999998, -0.23116253163999997, -0.21909083585999997, -0.20701914007999997, -0.19494744429999997, -0.18287574851999996, -0.17080405273999996, -0.15873235695999996, -0.14666066117999996, -0.13458896539999995, -0.12251726961999998, -0.11044557383999998, -0.09837387805999998, -0.08630218227999997, -0.07423048649999997, -0.06215879071999997, -0.050087094939999965, -0.03801539915999996, -0.02594370337999996, -0.013872007599999958, -0.0018003118199999557, 0.010271383960000047, 0.02234307974000005, 0.03441477552000005, 0.046486471300000054, 0.058558167080000056, 0.07062986286000006, 0.08270155864000006, 0.09477325442000006, 0.10684495020000007, 0.11891664598000007, 0.13098834176000002, 0.14306003754000002, 0.15513173332000002, 0.16720342910000002, 0.17927512488000003, 0.19134682066000003, 0.20341851644000003, 0.21549021222000003, 0.22756190800000003, 0.23963360378000004, 0.25170529956000004, 0.26377699534000004, 0.27584869112000004, 0.28792038690000005, 0.29999208268000005, 0.31206377846000005, 0.32413547424000005, 0.33620717002000006, 0.34827886580000006, 0.36035056158000006, 0.37242225736000006, 0.38449395314000007, 0.39656564892000007, 0.40863734470000007, 0.4207090404800001, 0.4327807362600001, 0.4448524320400001, 0.4569241278200001, 0.4689958236000001, 0.4810675193800001, 0.4931392151600001, 0.50521091094, 0.51728260672, 0.5293543025, 0.54142599828, 0.55349769406, 0.56556938984, 0.57764108562, 0.5897127814, 0.60178447718, 0.6138561729600001, 0.6259278687400001, 0.6379995645200001, 0.6500712603000001, 0.6621429560800001, 0.6742146518600001, 0.6862863476400001, 0.6983580434200001, 0.7104297392000001, 0.7225014349800001, 0.7345731307600001, 0.7466448265400001, 0.7587165223200001, 0.7707882181000001, 0.7828599138800001, 0.7949316096600001, 0.8070033054400001, 0.8190750012200001]"
5,"[-0.332179154, -0.32021879002, -0.30825842604, -0.29629806206, -0.28433769808, -0.2723773341, -0.26041697012, -0.24845660613999998, -0.23649624215999998, -0.22453587817999998, -0.21257551419999998, -0.20061515021999998, -0.18865478623999998, -0.17669442225999998, -0.16473405827999998, -0.15277369429999998, -0.14081333031999999, -0.12885296633999999, -0.11689260235999999, -0.10493223837999999, -0.09297187439999999, -0.08101151041999999, -0.06905114643999999, -0.05709078245999999, -0.04513041847999999, -0.03317005449999999, -0.02120969051999999, -0.009249326539999991, 0.002711037440000008, 0.014671401420000008, 0.026631765400000007, 0.038592129380000006, 0.050552493360000006, 0.06251285734, 0.07447322132, 0.0864335853, 0.09839394928, 0.11035431326, 0.12231467724, 0.13427504122, 0.1462354052, 0.15819576918, 0.17015613316, 0.18211649714, 0.19407686112, 0.2060372251, 0.21799758908, 0.22995795306, 0.24191831704, 0.25387868102, 0.265839045, 0.27779940898, 0.28975977296, 0.30172013694, 0.31368050092, 0.3256408649, 0.33760122888, 0.34956159286, 0.36152195684, 0.37348232082, 0.3854426848, 0.39740304878, 0.40936341276, 0.42132377674, 0.43328414072, 0.4452445047, 0.45720486868, 0.46916523266, 0.48112559664, 0.49308596062, 0.5050463246, 0.51700668858, 0.52896705256, 0.54092741654, 0.55288778052, 0.5648481445, 0.57680850848, 0.58876887246, 0.60072923644, 0.61268960042, 0.6246499644, 0.63661032838, 0.64857069236, 0.66053105634, 0.67249142032, 0.6844517843000001, 0.69641214828, 0.7083725122599999, 0.72033287624, 0.7322932402200001, 0.7442536042, 0.7562139681799999, 0.76817433216, 0.7801346961400001, 0.79209506012, 0.8040554240999999, 0.81601578808, 0.8279761520600001, 0.83993651604, 0.8518968800199999]"
