,0
0,"[-4.613549135188814, -4.493715524612584, -4.373881914036356, -4.254048303460127, -4.134214692883898, -4.014381082307668, -3.89454747173144, -3.774713861155211, -3.654880250578982, -3.535046640002753, -3.415213029426524, -3.295379418850295, -3.175545808274066, -3.055712197697837, -2.935878587121608, -2.816044976545379, -2.69621136596915, -2.576377755392921, -2.456544144816692, -2.336710534240463, -2.216876923664234, -2.097043313088005, -1.977209702511776, -1.857376091935547, -1.737542481359318, -1.6177088707830891, -1.4978752602068601, -1.3780416496306311, -1.2582080390544021, -1.1383744284781732, -1.0185408179019442, -0.8987072073257152, -0.7788735967494862, -0.6590399861732572, -0.5392063755970282, -0.4193727650207997, -0.29953915444457024, -0.1797055438683408, -0.05987193329211227, 0.05996167728411628, 0.1797952878603457, 0.29962889843657514, 0.4194625090128037, 0.5392961195890322, 0.6591297301652617, 0.7789633407414911, 0.8987969513177196, 1.0186305618939482, 1.1384641724701776, 1.258297783046407, 1.3781313936226356, 1.4979650041988641, 1.6177986147750936, 1.737632225351323, 1.8574658359275515, 1.97729944650378, 2.0971330570800095, 2.216966667656239, 2.3368002782324675, 2.456633888808696, 2.5764674993849255, 2.696301109961155, 2.8161347205373835, 2.935968331113612, 3.0558019416898414, 3.175635552266071, 3.2954691628422994, 3.415302773418528, 3.5351363839947574, 3.654969994570987, 3.7748036051472145, 3.894637215723444, 4.014470826299673, 4.134304436875903, 4.254138047452132, 4.37397165802836, 4.493805268604589, 4.613638879180819, 4.733472489757046, 4.853306100333276, 4.973139710909505, 5.092973321485735, 5.212806932061964, 5.332640542638192, 5.452474153214421, 5.572307763790651, 5.692141374366878, 5.811974984943108, 5.931808595519337, 6.051642206095567, 6.171475816671796, 6.291309427248024, 6.411143037824253, 6.5309766484004825, 6.65081025897671, 6.77064386955294, 6.890477480129169, 7.0103110907053985, 7.130144701281628, 7.249978311857856]"
1,"[-4.613549135188814, -4.537573393828797, -4.46159765246878, -4.385621911108763, -4.309646169748746, -4.233670428388729, -4.157694687028712, -4.081718945668695, -4.005743204308678, -3.929767462948661, -3.853791721588644, -3.777815980228627, -3.70184023886861, -3.6258644975085934, -3.549888756148576, -3.4739130147885593, -3.3979372734285422, -3.321961532068525, -3.2459857907085086, -3.170010049348491, -3.0940343079884745, -3.0180585666284574, -2.9420828252684403, -2.8661070839084237, -2.7901313425484062, -2.7141556011883896, -2.6381798598283726, -2.5622041184683555, -2.4862283771083384, -2.4102526357483214, -2.3342768943883048, -2.2583011530282877, -2.1823254116682707, -2.1063496703082536, -2.0303739289482365, -1.95439818758822, -1.8784224462282029, -1.8024467048681858, -1.7264709635081688, -1.6504952221481517, -1.574519480788135, -1.498543739428118, -1.422567998068101, -1.346592256708084, -1.2706165153480669, -1.1946407739880498, -1.1186650326280332, -1.0426892912680161, -0.9667135499079991, -0.890737808547982, -0.814762067187965, -0.7387863258279483, -0.6628105844679313, -0.5868348431079138, -0.5108591017478972, -0.43488336038788056, -0.35890761902786306, -0.28293187766784644, -0.20695613630782894, -0.13098039494781233, -0.055004653587795715, 0.020971087772221786, 0.0969468291322384, 0.1729225704922559, 0.2488983118522725, 0.3248740532122891, 0.40084979457230663, 0.47682553593232324, 0.5528012772923407, 0.6287770186523574, 0.704752760012374, 0.7807285013723915, 0.8567042427324081, 0.9326799840924256, 1.0086557254524422, 1.0846314668124588, 1.1606072081724763, 1.236582949532493, 1.3125586908925104, 1.388534432252527, 1.4645101736125437, 1.5404859149725612, 1.6164616563325778, 1.6924373976925953, 1.7684131390526119, 1.8443888804126294, 1.920364621772646, 1.9963403631326626, 2.07231610449268, 2.1482918458526967, 2.2242675872127142, 2.300243328572731, 2.3762190699327475, 2.452194811292765, 2.5281705526527816, 2.604146294012799, 2.6801220353728157, 2.7560977767328323, 2.83207351809285, 2.9080492594528664]"
2,"[-5.281409708286667, -5.202626913465531, -5.123844118644395, -5.045061323823259, -4.966278529002123, -4.8874957341809875, -4.808712939359852, -4.729930144538716, -4.65114734971758, -4.572364554896444, -4.493581760075308, -4.414798965254173, -4.336016170433036, -4.257233375611901, -4.178450580790765, -4.099667785969629, -4.020884991148494, -3.9421021963273573, -3.8633194015062218, -3.784536606685086, -3.70575381186395, -3.6269710170428144, -3.5481882222216785, -3.4694054274005426, -3.3906226325794067, -3.3118398377582707, -3.2330570429371353, -3.1542742481159993, -3.0754914532948634, -2.9967086584737275, -2.917925863652592, -2.839143068831456, -2.76036027401032, -2.681577479189184, -2.6027946843680483, -2.524011889546913, -2.445229094725777, -2.366446299904641, -2.287663505083505, -2.2088807102623695, -2.1300979154412336, -2.0513151206200977, -1.9725323257989618, -1.8937495309778258, -1.8149667361566904, -1.7361839413355544, -1.6574011465144185, -1.5786183516932826, -1.4998355568721466, -1.4210527620510112, -1.3422699672298752, -1.2634871724087393, -1.1847043775876038, -1.1059215827664675, -1.027138787945332, -0.9483559931241965, -0.8695731983030601, -0.7907904034819246, -0.7120076086607883, -0.6332248138396528, -0.5544420190185173, -0.47565922419738094, -0.39687642937624545, -0.3180936345551091, -0.2393108397339736, -0.16052804491283812, -0.08174525009170175, -0.0029624552705662666, 0.0758203395505701, 0.1546031343717056, 0.23338592919284107, 0.31216872401397744, 0.3909515188351129, 0.4697343136562493, 0.5485171084773848, 0.6272999032985203, 0.7060826981196566, 0.7848654929407921, 0.8636482877619276, 0.942431082583064, 1.0212138774041994, 1.0999966722253358, 1.1787794670464713, 1.2575622618676068, 1.3363450566887431, 1.4151278515098786, 1.493910646331015, 1.5726934411521505, 1.651476235973286, 1.7302590307944223, 1.8090418256155578, 1.8878246204366942, 1.9666074152578297, 2.045390210078965, 2.1241730049001015, 2.202955799721237, 2.2817385945423734, 2.360521389363509, 2.4393041841846443, 2.5180869790057807]"
3,"[-6.376226670134008, -6.275202854260534, -6.174179038387059, -6.073155222513585, -5.972131406640111, -5.871107590766638, -5.7700837748931635, -5.669059959019689, -5.568036143146215, -5.467012327272741, -5.365988511399267, -5.2649646955257925, -5.163940879652319, -5.062917063778844, -4.961893247905371, -4.860869432031897, -4.759845616158422, -4.658821800284948, -4.557797984411474, -4.456774168538001, -4.355750352664526, -4.254726536791052, -4.153702720917578, -4.052678905044104, -3.9516550891706297, -3.8506312732971555, -3.7496074574236813, -3.6485836415502075, -3.5475598256767333, -3.446536009803259, -3.3455121939297854, -3.244488378056311, -3.143464562182837, -3.042440746309363, -2.9414169304358886, -2.840393114562415, -2.7393692986889406, -2.6383454828154664, -2.5373216669419927, -2.4362978510685185, -2.3352740351950443, -2.23425021932157, -2.133226403448096, -2.0322025875746217, -1.9311787717011484, -1.8301549558276742, -1.7291311399542, -1.6281073240807258, -1.5270835082072516, -1.4260596923337774, -1.3250358764603032, -1.224012060586829, -1.1229882447133548, -1.0219644288398815, -0.9209406129664073, -0.8199167970929331, -0.7188929812194589, -0.6178691653459847, -0.5168453494725105, -0.4158215335990363, -0.314797717725563, -0.21377390185208878, -0.11275008597861458, -0.01172627010514038, 0.08929754576833382, 0.19032136164180802, 0.2913451775152822, 0.3923689933887564, 0.4933928092622306, 0.5944166251357039, 0.6954404410091781, 0.7964642568826523, 0.8974880727561265, 0.9985118886296007, 1.099535704503075, 1.2005595203765491, 1.3015833362500224, 1.4026071521234966, 1.5036309679969708, 1.604654783870445, 1.7056785997439192, 1.8067024156173925, 1.9077262314908676, 2.008750047364341, 2.109773863237816, 2.2107976791112893, 2.3118214949847644, 2.4128453108582377, 2.513869126731711, 2.614892942605186, 2.7159167584786594, 2.8169405743521345, 2.917964390225608, 3.018988206099083, 3.1200120219725562, 3.2210358378460313, 3.3220596537195046, 3.423083469592978, 3.524107285466453, 3.6251311013399263]"
4,"[-6.740871030319347, -6.661451578580046, -6.582032126840743, -6.5026126751014415, -6.423193223362139, -6.343773771622837, -6.264354319883535, -6.184934868144233, -6.105515416404931, -6.026095964665629, -5.946676512926327, -5.867257061187025, -5.787837609447722, -5.7084181577084205, -5.628998705969119, -5.549579254229816, -5.470159802490515, -5.390740350751212, -5.3113208990119105, -5.231901447272609, -5.152481995533306, -5.073062543794004, -4.993643092054702, -4.9142236403154005, -4.834804188576098, -4.755384736836796, -4.675965285097494, -4.596545833358192, -4.5171263816188905, -4.437706929879588, -4.358287478140285, -4.278868026400984, -4.199448574661682, -4.1200291229223795, -4.040609671183077, -3.9611902194437754, -3.8817707677044733, -3.802351315965171, -3.7229318642258695, -3.6435124124865674, -3.5640929607472653, -3.4846735090079632, -3.405254057268661, -3.325834605529359, -3.246415153790057, -3.166995702050755, -3.0875762503114528, -3.0081567985721507, -2.9287373468328486, -2.849317895093547, -2.769898443354245, -2.6904789916149427, -2.61105953987564, -2.5316400881363386, -2.452220636397037, -2.3728011846577344, -2.2933817329184327, -2.21396228117913, -2.1345428294398285, -2.055123377700526, -1.9757039259612243, -1.8962844742219218, -1.8168650224826202, -1.7374455707433176, -1.658026119004016, -1.5786066672647143, -1.4991872155254118, -1.4197677637861101, -1.3403483120468076, -1.260928860307506, -1.1815094085682034, -1.1020899568289018, -1.0226705050895992, -0.9432510533502976, -0.863831601610995, -0.7844121498716934, -0.7049926981323917, -0.6255732463930892, -0.5461537946537875, -0.466734342914485, -0.38731489117518336, -0.3078954394358808, -0.22847598769657917, -0.14905653595727664, -0.06963708421797499, 0.00978236752132755, 0.0892018192606292, 0.16862127099993085, 0.2480407227392334, 0.32746017447853504, 0.4068796262178376, 0.4862990779571392, 0.5657185296964418, 0.6451379814357434, 0.724557433175046, 0.8039768849143476, 0.8833963366536501, 0.9628157883929518, 1.0422352401322534, 1.121654691871556]"
5,"[-7.615004931434505, -7.537419402822377, -7.459833874210249, -7.3822483455981205, -7.304662816985992, -7.227077288373863, -7.149491759761735, -7.071906231149606, -6.994320702537478, -6.91673517392535, -6.8391496453132214, -6.761564116701093, -6.683978588088965, -6.6063930594768365, -6.528807530864708, -6.45122200225258, -6.373636473640451, -6.296050945028323, -6.218465416416194, -6.140879887804066, -6.0632943591919375, -5.985708830579809, -5.908123301967681, -5.830537773355553, -5.752952244743424, -5.675366716131296, -5.597781187519168, -5.5201956589070384, -5.442610130294911, -5.365024601682782, -5.2874390730706535, -5.209853544458525, -5.132268015846397, -5.054682487234269, -4.97709695862214, -4.899511430010012, -4.821925901397883, -4.744340372785755, -4.666754844173626, -4.589169315561499, -4.51158378694937, -4.433998258337241, -4.356412729725113, -4.278827201112985, -4.201241672500856, -4.123656143888728, -4.0460706152766, -3.968485086664471, -3.8908995580523427, -3.8133140294402144, -3.735728500828086, -3.6581429722159573, -3.580557443603829, -3.5029719149917007, -3.4253863863795724, -3.347800857767444, -3.2702153291553158, -3.1926298005431875, -3.115044271931059, -3.03745874331893, -2.9598732147068016, -2.8822876860946733, -2.804702157482545, -2.7271166288704167, -2.6495311002582884, -2.57194557164616, -2.494360043034032, -2.4167745144219035, -2.339188985809775, -2.261603457197647, -2.1840179285855177, -2.1064323999733894, -2.028846871361261, -1.9512613427491328, -1.8736758141370045, -1.7960902855248762, -1.7185047569127478, -1.6409192283006195, -1.5633336996884912, -1.485748171076363, -1.4081626424642337, -1.3305771138521054, -1.2529915852399771, -1.1754060566278488, -1.0978205280157205, -1.0202349994035922, -0.9426494707914639, -0.8650639421793356, -0.7874784135672073, -0.709892884955079, -0.6323073563429507, -0.5547218277308215, -0.47713629911869315, -0.39955077050656485, -0.32196524189443654, -0.24437971328230823, -0.16679418467017992, -0.08920865605805162, -0.01162312744592331, 0.065962401166205]"
