,0
0,"[-5.469147476749803, -5.336183592088624, -5.203219707427444, -5.070255822766265, -4.937291938105086, -4.804328053443907, -4.671364168782728, -4.538400284121549, -4.4054363994603705, -4.27247251479919, -4.139508630138012, -4.006544745476833, -3.873580860815654, -3.7406169761544747, -3.6076530914932956, -3.4746892068321165, -3.3417253221709373, -3.208761437509758, -3.075797552848579, -2.9428336681874, -2.8098697835262207, -2.676905898865042, -2.543942014203863, -2.4109781295426838, -2.2780142448815046, -2.1450503602203255, -2.0120864755591463, -1.8791225908979672, -1.7461587062367885, -1.6131948215756093, -1.4802309369144302, -1.347267052253251, -1.214303167592072, -1.0813392829308928, -0.9483753982697136, -0.8154115136085345, -0.6824476289473553, -0.5494837442861762, -0.41651985962499705, -0.2835559749638179, -0.15059209030263876, -0.017628205641460504, 0.11533567901971864, 0.24829956368089778, 0.3812634483420769, 0.5142273330032561, 0.6471912176644352, 0.7801551023256144, 0.9131189869867935, 1.0460828716479726, 1.1790467563091518, 1.312010640970331, 1.44497452563151, 1.5779384102926892, 1.7109022949538684, 1.8438661796150475, 1.9768300642762258, 2.109793948937405, 2.242757833598584, 2.375721718259763, 2.5086856029209423, 2.6416494875821224, 2.7746133722433006, 2.9075772569044807, 3.040541141565659, 3.173505026226837, 3.306468910888017, 3.4394327955491955, 3.5723966802103755, 3.7053605648715537, 3.8383244495327338, 3.971288334193912, 4.104252218855092, 4.23721610351627, 4.37017998817745, 4.503143872838629, 4.636107757499809, 4.769071642160987, 4.902035526822167, 5.034999411483345, 5.167963296144525, 5.3009271808057035, 5.433891065466882, 5.566854950128062, 5.69981883478924, 5.83278271945042, 5.965746604111598, 6.098710488772778, 6.231674373433957, 6.364638258095137, 6.497602142756315, 6.630566027417495, 6.763529912078673, 6.896493796739853, 7.029457681401031, 7.1624215660622115, 7.29538545072339, 7.428349335384568, 7.561313220045748, 7.694277104706926]"
1,"[-5.977602576461576, -5.859012722002681, -5.740422867543786, -5.62183301308489, -5.5032431586259944, -5.384653304167099, -5.266063449708204, -5.147473595249308, -5.028883740790413, -4.910293886331518, -4.791704031872622, -4.673114177413726, -4.554524322954832, -4.435934468495936, -4.31734461403704, -4.198754759578145, -4.08016490511925, -3.9615750506603544, -3.8429851962014587, -3.7243953417425635, -3.605805487283668, -3.4872156328247725, -3.3686257783658773, -3.2500359239069816, -3.1314460694480863, -3.012856214989191, -2.8942663605302954, -2.7756765060714, -2.657086651612505, -2.538496797153609, -2.419906942694714, -2.3013170882358183, -2.182727233776923, -2.0641373793180278, -1.9455475248591325, -1.8269576704002368, -1.7083678159413411, -1.5897779614824463, -1.4711881070235506, -1.352598252564655, -1.2340083981057592, -1.1154185436468644, -0.9968286891879687, -0.878238834729073, -0.7596489802701782, -0.6410591258112825, -0.5224692713523869, -0.40387941689349205, -0.28528956243459636, -0.16669970797570066, -0.048109853516805856, 0.07048000094208984, 0.18906985540098553, 0.30765970985988034, 0.42624956431877603, 0.5448394187776717, 0.6634292732365665, 0.7820191276954622, 0.9006089821543579, 1.0191988366132536, 1.1377886910721484, 1.256378545531044, 1.3749683999899398, 1.4935582544488346, 1.6121481089077303, 1.730737963366626, 1.8493278178255208, 1.9679176722844165, 2.0865075267433113, 2.205097381202208, 2.3236872356611027, 2.4422770901199975, 2.560866944578894, 2.679456799037789, 2.7980466534966837, 2.9166365079555803, 3.035226362414475, 3.15381621687337, 3.2724060713322665, 3.3909959257911613, 3.509585780250058, 3.6281756347089527, 3.7467654891678475, 3.865355343626744, 3.983945198085639, 4.102535052544534, 4.22112490700343, 4.339714761462325, 4.45830461592122, 4.576894470380116, 4.695484324839011, 4.814074179297906, 4.932664033756803, 5.051253888215697, 5.169843742674592, 5.288433597133489, 5.407023451592384, 5.525613306051278, 5.644203160510175, 5.76279301496907]"
2,"[-7.044472167250925, -6.9568586794601925, -6.86924519166946, -6.781631703878728, -6.694018216087995, -6.606404728297264, -6.518791240506531, -6.431177752715799, -6.3435642649250665, -6.255950777134334, -6.168337289343602, -6.080723801552869, -5.993110313762138, -5.9054968259714045, -5.817883338180673, -5.7302698503899405, -5.642656362599208, -5.555042874808476, -5.467429387017743, -5.379815899227012, -5.2922024114362785, -5.204588923645547, -5.1169754358548145, -5.029361948064082, -4.94174846027335, -4.854134972482617, -4.766521484691885, -4.678907996901152, -4.591294509110421, -4.503681021319688, -4.416067533528956, -4.328454045738224, -4.240840557947491, -4.153227070156759, -4.065613582366026, -3.9780000945752945, -3.890386606784562, -3.8027731189938296, -3.7151596312030977, -3.6275461434123653, -3.539932655621633, -3.4523191678309004, -3.364705680040168, -3.277092192249436, -3.1894787044587036, -3.101865216667971, -3.0142517288772392, -2.926638241086507, -2.8390247532957744, -2.751411265505042, -2.6637977777143096, -2.576184289923577, -2.4885708021328448, -2.4009573143421132, -2.313343826551381, -2.2257303387606484, -2.138116850969916, -2.0505033631791836, -1.9628898753884512, -1.8752763875977188, -1.7876628998069872, -1.7000494120162548, -1.6124359242255224, -1.52482243643479, -1.4372089486440576, -1.3495954608533252, -1.2619819730625927, -1.1743684852718603, -1.086754997481128, -0.9991415096903964, -0.911528021899664, -0.8239145341089316, -0.7363010463181991, -0.6486875585274667, -0.5610740707367343, -0.4734605829460019, -0.3858470951552704, -0.29823360736453797, -0.21062011957380555, -0.12300663178307314, -0.035393143992340725, 0.05222034379839169, 0.1398338315891241, 0.22744731937985652, 0.31506080717058893, 0.40267429496132046, 0.49028778275205287, 0.5779012705427853, 0.6655147583335177, 0.7531282461242501, 0.8407417339149825, 0.9283552217057149, 1.0159687094964465, 1.1035821972871798, 1.1911956850779113, 1.2788091728686446, 1.3664226606593761, 1.4540361484501076, 1.541649636240841, 1.6292631240315725]"
3,"[-6.8595797539452725, -6.762811037901127, -6.666042321856981, -6.5692736058128345, -6.472504889768689, -6.375736173724543, -6.278967457680397, -6.182198741636251, -6.085430025592105, -5.988661309547959, -5.891892593503814, -5.795123877459668, -5.698355161415521, -5.6015864453713755, -5.50481772932723, -5.408049013283083, -5.3112802972389375, -5.214511581194792, -5.117742865150646, -5.0209741491065, -4.924205433062354, -4.827436717018208, -4.730668000974062, -4.633899284929916, -4.53713056888577, -4.440361852841624, -4.3435931367974785, -4.246824420753333, -4.150055704709187, -4.0532869886650404, -3.9565182726208947, -3.8597495565767486, -3.762980840532603, -3.666212124488457, -3.569443408444311, -3.4726746924001652, -3.375905976356019, -3.2791372603118734, -3.182368544267727, -3.0855998282235815, -2.9888311121794353, -2.8920623961352896, -2.7952936800911434, -2.6985249640469977, -2.601756248002852, -2.5049875319587054, -2.4082188159145597, -2.311450099870414, -2.2146813838262682, -2.1179126677821225, -2.021143951737976, -1.9243752356938302, -1.8276065196496845, -1.7308378036055387, -1.6340690875613921, -1.5373003715172464, -1.4405316554731007, -1.343762939428955, -1.2469942233848084, -1.1502255073406626, -1.053456791296517, -0.9566880752523712, -0.8599193592082246, -0.7631506431640789, -0.6663819271199332, -0.5696132110757874, -0.4728444950316417, -0.3760757789874951, -0.2793070629433494, -0.18253834689920367, -0.08576963085505795, 0.010999085189088653, 0.10776780123323437, 0.2045365172773801, 0.3013052333215258, 0.3980739493656724, 0.49484266540981814, 0.5916113814539639, 0.6883800974981096, 0.7851488135422562, 0.8819175295864019, 0.9786862456305476, 1.0754549616746933, 1.17222367771884, 1.2689923937629857, 1.3657611098071314, 1.462529825851277, 1.5592985418954228, 1.6560672579395685, 1.7528359739837143, 1.8496046900278618, 1.9463734060720075, 2.043142122116153, 2.139910838160299, 2.2366795542044446, 2.3334482702485904, 2.430216986292736, 2.526985702336882, 2.6237544183810275, 2.720523134425175]"
4,"[-8.778979352402965, -8.677884259948524, -8.57678916749408, -8.47569407503964, -8.374598982585198, -8.273503890130755, -8.172408797676313, -8.07131370522187, -7.970218612767429, -7.869123520312987, -7.768028427858545, -7.666933335404103, -7.565838242949661, -7.464743150495218, -7.363648058040777, -7.262552965586335, -7.1614578731318925, -7.060362780677451, -6.959267688223009, -6.858172595768567, -6.757077503314125, -6.655982410859682, -6.554887318405241, -6.4537922259507985, -6.352697133496356, -6.251602041041915, -6.150506948587473, -6.04941185613303, -5.948316763678589, -5.847221671224146, -5.7461265787697045, -5.645031486315262, -5.54393639386082, -5.442841301406379, -5.341746208951936, -5.240651116497494, -5.139556024043053, -5.03846093158861, -4.937365839134168, -4.836270746679727, -4.7351756542252845, -4.634080561770842, -4.5329854693164, -4.431890376861958, -4.330795284407516, -4.229700191953074, -4.128605099498632, -4.02751000704419, -3.9264149145897482, -3.825319822135306, -3.7242247296808637, -3.6231296372264223, -3.52203454477198, -3.420939452317538, -3.3198443598630956, -3.218749267408654, -3.117654174954212, -3.0165590824997697, -2.9154639900453274, -2.814368897590886, -2.713273805136444, -2.6121787126820015, -2.5110836202275593, -2.409988527773118, -2.3088934353186756, -2.2077983428642334, -2.106703250409792, -2.0056081579553497, -1.9045130655009075, -1.8034179730464652, -1.7023228805920239, -1.6012277881375816, -1.5001326956831393, -1.399037603228697, -1.2979425107742557, -1.1968474183198134, -1.0957523258653712, -0.9946572334109289, -0.8935621409564876, -0.7924670485020453, -0.6913719560476039, -0.5902768635931608, -0.4891817711387194, -0.38808667868427804, -0.2869915862298349, -0.18589649377539352, -0.08480140132095038, 0.016293691133490995, 0.11738878358793237, 0.2184838760423755, 0.3195789684968169, 0.42067406095125826, 0.5217691534057014, 0.6228642458601428, 0.7239593383145859, 0.8250544307690273, 0.9261495232234687, 1.0272446156779118, 1.1283397081323532, 1.2294348005867946]"
5,"[-9.143191823665438, -9.050324426131, -8.957457028596563, -8.864589631062124, -8.771722233527687, -8.67885483599325, -8.585987438458812, -8.493120040924374, -8.400252643389937, -8.307385245855498, -8.21451784832106, -8.121650450786623, -8.028783053252186, -7.935915655717747, -7.84304825818331, -7.750180860648872, -7.657313463114434, -7.564446065579997, -7.471578668045559, -7.378711270511121, -7.285843872976684, -7.192976475442245, -7.100109077907808, -7.007241680373371, -6.914374282838933, -6.821506885304495, -6.728639487770057, -6.635772090235619, -6.542904692701182, -6.450037295166744, -6.357169897632306, -6.264302500097869, -6.17143510256343, -6.078567705028993, -5.985700307494556, -5.892832909960118, -5.79996551242568, -5.707098114891242, -5.614230717356804, -5.521363319822367, -5.428495922287929, -5.335628524753492, -5.242761127219054, -5.1498937296846155, -5.057026332150178, -4.964158934615741, -4.871291537081302, -4.778424139546865, -4.6855567420124276, -4.592689344477989, -4.499821946943552, -4.4069545494091145, -4.314087151874676, -4.221219754340239, -4.128352356805801, -4.035484959271363, -3.9426175617369257, -3.8497501642024883, -3.75688276666805, -3.6640153691336126, -3.5711479715991743, -3.478280574064737, -3.3854131765302995, -3.292545778995861, -3.199678381461424, -3.1068109839269864, -3.013943586392548, -2.9210761888581107, -2.8282087913236733, -2.735341393789235, -2.6424739962547976, -2.5496065987203593, -2.456739201185922, -2.3638718036514845, -2.2710044061170462, -2.178137008582609, -2.0852696110481714, -1.9924022135137331, -1.8995348159792957, -1.8066674184448583, -1.71380002091042, -1.6209326233759827, -1.5280652258415452, -1.435197828307107, -1.3423304307726696, -1.2494630332382313, -1.1565956357037939, -1.0637282381693556, -0.9708608406349182, -0.8779934431004808, -0.7851260455660434, -0.692258648031606, -0.5993912504971668, -0.5065238529627294, -0.413656455428292, -0.3207890578938546, -0.2279216603594172, -0.1350542628249798, -0.04218686529054061, 0.05068053224389679]"
