,0
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.9369417896841448, 0, 0, -2.660387007850129, -2.584326883644409, 0, -2.4143579609552983, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.5658325051549095, 0, 0, 0, 0, 0, 0, -0.050345146125495, 0.0067037122289012, 0.1229356882531216, 0, 0.2507908618797611, 0, 0.4423861513906507, 0, 0, 0, 0, 0, 0, 0, 1.0467924267165876, 1.169818734549742, 0, 1.3426215527911325, 1.4311078313127947, 1.4999972297317385, 0, 0, 0, 0, 0, 1.9702742233219128, 2.0602602692761467, 2.107502943402119, 0, 2.2987232910548654, 0, 2.4140179124337284, 2.5503092778685774, 2.6249227076389627, 2.717908288458339, 0, 0, 2.9188771244227936, 0, 3.045232530616863, 3.1691508147330065, 0, 0, 3.404301850098133, 0, 0, 3.6612620035452217, 3.7208777589899023, 0, 0, 3.996834966582886]"
1,"[-3.949778462928241, 0, 0, -3.702292449962682, -3.6015915690665636, -3.5399443221323708, -3.4726073296562814, 0, 0, -3.274270310738927, 0, -3.10018582286156, -3.034837366962146, 0, 0, -2.7361626821081444, 0, 0, 0, 0, -2.3818645938975376, 0, -2.201050736981739, 0, -2.00780059396646, 0, 0, -1.7768697919336904, -1.695031078239152, 0, 0, -1.4972980488433036, -1.3684482582106934, 0, -1.2402482459287774, 0, 0, 0, 0, 0, 0, 0, 0, -0.5272392148312303, 0, 0, -0.2870370498364379, 0, 0, -0.070153049084356, 0, 0, 0.1750637748873625, 0, 0, 0.4676691261910376, 0, 0, 0, 0, 0, 0, 0, 0, 1.157936934365006, 1.212345984264661, 1.324172879450128, 0, 0, 1.5548386444998672, 0, 0, 1.795551317427442, 1.891911374970101, 0, 0, 0, 0, 2.273977128417452, 0, 0, 0, 0, 0, 0, 0, 0, 3.008488228518885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"[-3.9516139490081192, 0, -3.816100426086925, -3.704519894631919, -3.6358117936808663, -3.536110967128452, -3.4749512530709192, -3.3885967920828066, -3.330804177904527, -3.253078789634878, -3.1656709043264075, -3.0765144357567276, -3.000887033833658, -2.9283709234613857, -2.8577341547050317, -2.7570081597718756, -2.651448757457404, -2.578198891070221, 0, -2.422667483049683, -2.373802005714448, -2.2881013800330514, -2.183860926428085, -2.1590697322981525, -2.067993185491975, 0, -1.871084691410674, -1.7754352234966406, -1.7201367903678775, 0, 0, -1.4921687818266898, -1.3896120970190466, -1.298621159080171, -1.259880891360229, -1.1317563544997504, 0, -1.0196787263654374, -0.8962055288696429, -0.8474138406200334, -0.7579135277698607, -0.690090265106926, 0, -0.5542093075524885, -0.4414885463257819, 0, -0.2870370498364379, 0, -0.1393553429659448, 0, 0.0048161026206987, 0, 0.1670403205242787, 0, 0, 0.4676691261910376, 0, 0.5758654528894311, 0.6647266732692364, 0.7667935341647192, 0, 0, 0, 0, 0, 1.2046110319302434, 0, 0, 1.5028568869381393, 1.574404362398773, 0, 0, 0, 0, 1.9537767815636364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[-3.92880307898918, -3.8835276159252565, -3.791068830688853, -3.7135875766262902, -3.6328037914779663, -3.5391514459001843, -3.4703347164257954, -3.4090458316304444, -3.3496977017932563, -3.232141481673069, -3.1613526405533685, -3.0878178495447965, -3.031651303571509, -2.912308872165534, -2.8236683736744905, -2.7775837459497916, -2.663891789567998, -2.6023972944954865, 0, -2.4480496014148097, -2.370173365254679, -2.3158858699093288, -2.2234797273464753, -2.159743901071847, -2.0529492085611944, -1.9980386927638472, -1.8594980222153632, -1.775997856797181, -1.7059348073578635, 0, 0, 0, -1.400542075663024, -1.2974908336871798, -1.2396301605788285, -1.174028522447943, 0, -1.0254455841889034, -0.8924068635971516, -0.8362716146484359, -0.7687117537170245, -0.7074074212259176, 0, 0, 0, 0, -0.2879460402275064, -0.22240393800759103, -0.1393553429659448, -0.0023207121033059, 0.0548043535215341, 0.1365111188498597, 0.1741471876269803, 0.2896487325101379, 0.3689922144581531, 0.4521359923697463, 0, 0.6170788860616073, 0.6831800753947738, 0, 0.855216102476492, 0, 0, 1.0787053225295629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.984025000812883, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"[-3.92880307898918, -3.894539334678297, -3.7771250722204934, -3.709700467301544, -3.61820389396523, -3.5454664587155804, -3.4628228311994533, -3.415184140220218, -3.3129031001676026, -3.2277558303312426, -3.168664791434296, -3.116982928238067, -3.030039793828407, -2.9227209721214025, -2.8192777074947855, -2.772598309004226, -2.6689934981830237, -2.6071265548465092, -2.516096806584627, -2.436914617831997, -2.370173365254679, 0, 0, -2.159743901071847, -2.017470514381841, -1.997568207870412, -1.8511179475748936, 0, -1.7412553146229577, 0, -1.544697483973988, 0, 0, -1.2883651234239584, -1.230509623037367, -1.1532291389046736, -1.054982802561589, -0.9886834184715548, 0, -0.8163528972572773, -0.7449465652262273, -0.6904525196569455, -0.6306964339765471, -0.5164463027268669, -0.4378993374927117, -0.3450711058523465, 0, -0.20460950077926965, 0, -0.021362400644919264, 0.0265600239206064, 0.1420403365895444, 0.1690544847712144, 0.2547420832084729, 0.35471094805194314, 0, 0.4832423457078333, 0.5974924769575136, 0.6546175425823537, 0.797430206644454, 0.825992739456874, 0.9402428707065542, 0, 0, 0, 0, 0, 1.397243395705275, 1.4829309941425353, 0, 1.6257436582046354, 0, 0, 0, 0, 0, 0, 0, 2.282681912890295, 0, 0, 0, 2.596869773826916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"[0, -3.9153877074048498, -3.8114577945364227, -3.718130388172487, -3.6207729025480493, -3.5806681797658673, -3.451948498939864, -3.3985655194742765, -3.3136467016056983, -3.237178709487159, -3.1757406549229157, -3.092699413804826, 0, -2.9284211239405837, -2.8363531668665396, 0, -2.676775356412021, 0, -2.5305146764850157, -2.43131715340743, -2.36977547112006, 0, -2.2301982714720685, 0, 0, -1.944572943347869, -1.8874478777230288, 0, -1.6866020540945308, -1.617314518035952, -1.544697483973988, -1.5161349511615678, -1.3876035535056777, -1.289095558185709, -1.2477064487391967, 0, -1.0876969589752676, -1.0162906269442178, -0.9163217621007476, -0.8306341636634874, -0.7449465652262273, -0.7163840324138072, 0, -0.5164463027268669, -0.43075870428960666, 0, -0.2593835074150863, -0.18321675324863285, -0.088008310540566, -0.059445777728146, 0, 0.14362734682172587, 0, 0.27378377175008634, 0.3975547472705732, 0, 0, 0.5974924769575136, 0.6546175425823537, 0, 0, 0, 0.9688054035189744, 1.0544930019562344, 0, 0, 0, 0, 0, 0, 1.6257436582046354, 0, 0, 0, 0, 0, 0, 0, 2.282681912890295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
