,0
0,"[-4.7338261427656105, -4.661547360309945, -4.58926857785428, -4.516989795398614, -4.444711012942949, -4.372432230487284, -4.300153448031619, -4.227874665575953, -4.155595883120288, -4.0833171006646225, -4.011038318208957, -3.9387595357532916, -3.866480753297626, -3.7942019708419608, -3.7219231883862953, -3.6496444059306303, -3.577365623474965, -3.5050868410192995, -3.4328080585636345, -3.360529276107969, -3.2882504936523036, -3.215971711196638, -3.1436929287409727, -3.0714141462853073, -2.999135363829642, -2.9268565813739764, -2.8545777989183114, -2.782299016462646, -2.7100202340069806, -2.637741451551315, -2.56546266909565, -2.4931838866399847, -2.4209051041843193, -2.348626321728654, -2.2763475392729884, -2.2040687568173234, -2.131789974361658, -2.0595111919059925, -1.987232409450327, -1.9149536269946617, -1.8426748445389967, -1.7703960620833312, -1.6981172796276658, -1.6258384971720004, -1.553559714716335, -1.4812809322606695, -1.4090021498050045, -1.336723367349339, -1.2644445848936736, -1.1921658024380082, -1.1198870199823427, -1.0476082375266778, -0.9753294550710123, -0.9030506726153469, -0.8307718901596814, -0.758493107704016, -0.6862143252483506, -0.6139355427926851, -0.5416567603370197, -0.46937797788135516, -0.3970991954256897, -0.3248204129700243, -0.25254163051435885, -0.18026284805869341, -0.10798406560302798, -0.03570528314736254, 0.03657349930830289, 0.10885228176396833, 0.18113106421963376, 0.2534098466752992, 0.32568862913096375, 0.3979674115866292, 0.4702461940422946, 0.54252497649796, 0.6148037589536255, 0.6870825414092909, 0.7593613238649564, 0.8316401063206218, 0.9039188887762872, 0.9761976712319527, 1.0484764536876172, 1.1207552361432827, 1.193034018598948, 1.2653128010546135, 1.337591583510279, 1.4098703659659444, 1.4821491484216098, 1.5544279308772753, 1.6267067133329407, 1.6989854957886061, 1.7712642782442716, 1.8435430606999361, 1.9158218431556016, 1.988100625611267, 2.0603794080669324, 2.132658190522598, 2.2049369729782633, 2.2772157554339287, 2.349494537889594, 2.4217733203452596]"
1,"[-6.446028114585265, -6.356627312411403, -6.267226510237541, -6.177825708063679, -6.088424905889817, -5.999024103715955, -5.909623301542093, -5.820222499368231, -5.7308216971943695, -5.641420895020508, -5.5520200928466465, -5.462619290672784, -5.373218488498923, -5.28381768632506, -5.194416884151199, -5.105016081977337, -5.015615279803475, -4.926214477629613, -4.836813675455751, -4.747412873281889, -4.658012071108027, -4.568611268934165, -4.479210466760303, -4.3898096645864415, -4.30040886241258, -4.211008060238718, -4.121607258064856, -4.032206455890995, -3.9428056537171323, -3.8534048515432704, -3.7640040493694085, -3.6746032471955465, -3.5852024450216846, -3.4958016428478227, -3.4064008406739608, -3.317000038500099, -3.227599236326237, -3.138198434152375, -3.0487976319785135, -2.9593968298046516, -2.8699960276307896, -2.7805952254569277, -2.691194423283066, -2.601793621109204, -2.512392818935342, -2.42299201676148, -2.333591214587618, -2.244190412413756, -2.1547896102398942, -2.0653888080660323, -1.9759880058921704, -1.8865872037183085, -1.7971864015444465, -1.7077855993705846, -1.6183847971967236, -1.5289839950228616, -1.4395831928489997, -1.3501823906751378, -1.2607815885012759, -1.171380786327414, -1.081979984153552, -0.9925791819796901, -0.9031783798058282, -0.8137775776319662, -0.7243767754581043, -0.6349759732842424, -0.5455751711103805, -0.4561743689365185, -0.3667735667626566, -0.2773727645887947, -0.18797196241493275, -0.09857116024107082, -0.009170358067208895, 0.08023044410665303, 0.16963124628051496, 0.259032048454376, 0.3484328506282379, 0.43783365280209985, 0.5272344549759618, 0.6166352571498237, 0.7060360593236856, 0.7954368614975476, 0.8848376636714095, 0.9742384658452714, 1.0636392680191333, 1.1530400701929953, 1.2424408723668572, 1.3318416745407191, 1.421242476714581, 1.510643278888443, 1.600044081062305, 1.689444883236166, 1.7788456854100287, 1.8682464875838898, 1.9576472897577526, 2.0470480919316136, 2.1364488941054764, 2.2258496962793375, 2.3152504984532003, 2.4046513006270613]"
2,"[-7.616091151538437, -7.521030024833384, -7.42596889812833, -7.330907771423277, -7.235846644718223, -7.14078551801317, -7.0457243913081165, -6.9506632646030635, -6.8556021378980105, -6.760541011192957, -6.665479884487904, -6.57041875778285, -6.475357631077797, -6.380296504372743, -6.28523537766769, -6.190174250962636, -6.095113124257583, -6.00005199755253, -5.9049908708474765, -5.809929744142424, -5.71486861743737, -5.619807490732317, -5.524746364027264, -5.42968523732221, -5.334624110617156, -5.239562983912103, -5.14450185720705, -5.049440730501996, -4.954379603796943, -4.85931847709189, -4.764257350386837, -4.669196223681784, -4.57413509697673, -4.479073970271676, -4.384012843566623, -4.28895171686157, -4.193890590156516, -4.098829463451463, -4.003768336746409, -3.9087072100413565, -3.813646083336303, -3.7185849566312497, -3.6235238299261963, -3.528462703221143, -3.43340157651609, -3.338340449811036, -3.243279323105983, -3.1482181964009293, -3.0531570696958763, -2.9580959429908233, -2.8630348162857695, -2.7679736895807165, -2.6729125628756627, -2.5778514361706097, -2.482790309465556, -2.387729182760503, -2.29266805605545, -2.197606929350396, -2.102545802645343, -2.0074846759402893, -1.9124235492352364, -1.8173624225301825, -1.7223012958251296, -1.6272401691200757, -1.5321790424150228, -1.4371179157099698, -1.342056789004916, -1.246995662299863, -1.1519345355948092, -1.0568734088897562, -0.9618122821847024, -0.8667511554796494, -0.7716900287745956, -0.6766289020695426, -0.5815677753644897, -0.4865066486594358, -0.39144552195438287, -0.296384395249329, -0.20132326854427607, -0.10626214183922222, -0.011201015134169268, 0.08386011157088369, 0.17892123827593753, 0.2739823649809905, 0.36904349168604433, 0.4641046183910982, 0.5591657450961511, 0.6542268718012041, 0.749287998506257, 0.84434912521131, 0.9394102519163647, 1.0344713786214177, 1.1295325053264706, 1.2245936320315236, 1.3196547587365783, 1.4147158854416313, 1.5097770121466842, 1.6048381388517372, 1.6998992655567902, 1.794960392261845]"
3,"[-10.382718187622055, -10.245496049476337, -10.108273911330617, -9.971051773184898, -9.83382963503918, -9.69660749689346, -9.559385358747742, -9.422163220602023, -9.284941082456303, -9.147718944310585, -9.010496806164866, -8.873274668019146, -8.736052529873428, -8.59883039172771, -8.461608253581991, -8.32438611543627, -8.187163977290552, -8.049941839144834, -7.912719700999115, -7.7754975628533956, -7.638275424707677, -7.501053286561958, -7.363831148416239, -7.22660901027052, -7.089386872124801, -6.952164733979082, -6.814942595833363, -6.677720457687644, -6.540498319541925, -6.4032761813962065, -6.266054043250487, -6.128831905104769, -5.99160976695905, -5.85438762881333, -5.717165490667612, -5.579943352521893, -5.442721214376174, -5.305499076230455, -5.168276938084736, -5.031054799939017, -4.893832661793298, -4.756610523647579, -4.6193883855018605, -4.482166247356141, -4.344944109210422, -4.207721971064704, -4.070499832918984, -3.933277694773266, -3.7960555566275467, -3.6588334184818274, -3.521611280336109, -3.3843891421903898, -3.2471670040446714, -3.109944865898952, -2.972722727753233, -2.8355005896075145, -2.6982784514617952, -2.561056313316076, -2.4238341751703576, -2.286612037024639, -2.149389898878919, -2.0121677607332007, -1.8749456225874823, -1.7377234844417622, -1.6005013462960438, -1.4632792081503254, -1.3260570700046053, -1.188834931858887, -1.0516127937131685, -0.9143906555674484, -0.77716851742173, -0.6399463792760116, -0.5027242411302932, -0.3655021029845731, -0.2282799648388547, -0.09105782669313633, 0.04616431145258382, 0.1833864495983022, 0.32060858774402057, 0.4578307258897407, 0.5950528640354591, 0.7322750021811775, 0.8694971403268976, 1.006719278472616, 1.1439414166183344, 1.2811635547640545, 1.418385692909773, 1.5556078310554913, 1.6928299692012114, 1.8300521073469298, 1.9672742454926482, 2.1044963836383666, 2.2417185217840867, 2.378940659929805, 2.5161627980755235, 2.6533849362212436, 2.790607074366962, 2.9278292125126804, 3.0650513506584005, 3.202273488804119]"
4,"[-7.801566298339416, -7.709852058681574, -7.618137819023732, -7.526423579365891, -7.434709339708048, -7.3429951000502065, -7.251280860392365, -7.159566620734523, -7.067852381076682, -6.97613814141884, -6.884423901760998, -6.792709662103157, -6.700995422445315, -6.609281182787473, -6.517566943129631, -6.425852703471789, -6.3341384638139475, -6.242424224156106, -6.150709984498264, -6.058995744840422, -5.96728150518258, -5.875567265524738, -5.783853025866897, -5.692138786209055, -5.6004245465512135, -5.508710306893372, -5.41699606723553, -5.3252818275776885, -5.233567587919847, -5.141853348262005, -5.050139108604163, -4.958424868946321, -4.866710629288479, -4.774996389630638, -4.683282149972796, -4.591567910314954, -4.499853670657112, -4.40813943099927, -4.316425191341429, -4.224710951683587, -4.132996712025745, -4.041282472367904, -3.949568232710062, -3.85785399305222, -3.766139753394378, -3.6744255137365363, -3.5827112740786946, -3.490997034420853, -3.3992827947630113, -3.3075685551051697, -3.215854315447328, -3.1241400757894864, -3.0324258361316447, -2.940711596473802, -2.8489973568159606, -2.757283117158119, -2.6655688775002773, -2.5738546378424356, -2.482140398184594, -2.3904261585267523, -2.29871191886891, -2.206997679211068, -2.1152834395532265, -2.023569199895385, -1.9318549602375432, -1.8401407205797016, -1.74842648092186, -1.6567122412640183, -1.5649980016061766, -1.473283761948334, -1.3815695222904925, -1.2898552826326508, -1.1981410429748092, -1.1064268033169675, -1.0147125636591259, -0.9229983240012842, -0.8312840843434417, -0.7395698446856, -0.6478556050277584, -0.5561413653699168, -0.4644271257120751, -0.37271288605423347, -0.2809986463963918, -0.18928440673855018, -0.09757016708070854, -0.005855927422866003, 0.08585831223497564, 0.1775725518928173, 0.2692867915506598, 0.36100103120850147, 0.4527152708663431, 0.5444295105241848, 0.6361437501820264, 0.727857989839868, 0.8195722294977097, 0.9112864691555513, 1.003000708813393, 1.0947149484712346, 1.1864291881290763, 1.278143427786918]"
5,"[-8.959769344187682, -8.868736171448022, -8.777702998708362, -8.686669825968702, -8.595636653229041, -8.504603480489381, -8.41357030774972, -8.32253713501006, -8.231503962270402, -8.140470789530742, -8.049437616791081, -7.958404444051421, -7.867371271311761, -7.776338098572101, -7.68530492583244, -7.59427175309278, -7.50323858035312, -7.41220540761346, -7.321172234873799, -7.230139062134139, -7.139105889394479, -7.0480727166548185, -6.957039543915159, -6.866006371175499, -6.774973198435839, -6.683940025696178, -6.592906852956518, -6.501873680216859, -6.410840507477198, -6.319807334737538, -6.228774161997878, -6.1377409892582175, -6.046707816518557, -5.955674643778897, -5.864641471039237, -5.7736082982995764, -5.682575125559916, -5.591541952820256, -5.5005087800805965, -5.409475607340936, -5.318442434601276, -5.227409261861616, -5.136376089121955, -5.045342916382296, -4.954309743642636, -4.8632765709029755, -4.772243398163315, -4.681210225423655, -4.590177052683995, -4.499143879944334, -4.408110707204674, -4.317077534465014, -4.226044361725354, -4.135011188985694, -4.043978016246034, -3.9529448435063737, -3.8619116707667134, -3.770878498027053, -3.679845325287393, -3.5888121525477326, -3.497778979808073, -3.406745807068413, -3.3157126343287526, -3.2246794615890924, -3.133646288849432, -3.042613116109772, -2.9515799433701115, -2.8605467706304513, -2.769513597890791, -2.6784804251511316, -2.5874472524114713, -2.496414079671811, -2.405380906932151, -2.3143477341924905, -2.2233145614528302, -2.13228138871317, -2.0412482159735106, -1.9502150432338503, -1.85918187049419, -1.7681486977545298, -1.6771155250148695, -1.5860823522752092, -1.495049179535549, -1.4040160067958887, -1.3129828340562284, -1.221949661316569, -1.1309164885769087, -1.0398833158372485, -0.9488501430975891, -0.8578169703579288, -0.7667837976182685, -0.6757506248786083, -0.584717452138948, -0.4936842793992877, -0.40265110665962744, -0.31161793391996717, -0.2205847611803069, -0.12955158844064663, -0.03851841570098635, 0.05251475703867392]"
