,0
0,"[-3.953755693765281, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.186301151713828, 0, 0, -2.920535018060857, 0, -2.7434948172473685, 0, 0, -2.4889092955685146, 0, 0, -2.278191971292352, 0, -2.110218018844449, -2.0266222489323296, -1.947493252410543, 0, -1.8170134857769025, 0, -1.635916568294007, -1.5474302897723446, -1.4840651157462375, -1.3954538566051935, 0, -1.2336039545069535, -1.1782375401212233, 0, -1.01013860705394, -0.9276513982625596, 0, 0, -0.6552561383219304, -0.5930782801799422, -0.5459605866733505, -0.4413518082515531, -0.3389926809786118, -0.2546307628965185, -0.21057509456475784, -0.12152640325588104, 0, 0, 0.1559305717696738, 0.2294191759656299, 0.2672883036380371, 0.3664604251167669, 0, 0.53599663530693, 0, 0.6875981266159374, 0, 0.8321382129299254, 0.9234365553876592, 0, 0, 0, 1.2556350417020383, 1.2822559136301674, 0, 0, 1.5402159120323042, 1.6069555627816945, 0, 0, 0, 1.9301554445006488, 2.005143816129177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[0, -3.8519581165336687, -3.8213400185881157, -3.7247992560814067, -3.6541924117583786, -3.5272090276232944, 0, 0, 0, 0, -3.1701786518136936, -3.088414746482304, -3.003384289297926, 0, 0, -2.755731494652253, 0, -2.595969173630019, 0, 0, 0, 0, -2.1746540058110178, 0, 0, -1.93761205209188, 0, 0, 0, 0, 0, -1.4724419181438164, 0, 0, 0, -1.1946903246601808, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.34477385171895225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7680471989089515, 0, 0, 0, 0, 1.173897716626944, 0, 0, 0, 0, 1.5915829465978453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"[-3.9530014824144457, -3.8531259543193466, -3.7814581501508893, -3.713601575872467, -3.623334445252977, -3.5272090276232944, -3.5147335456648783, -3.403829358382353, -3.2897717130071857, -3.2500786266037647, -3.142189225178824, -3.088414746482304, -2.9877866578956374, -2.9316772258882278, -2.8549765403524776, -2.747652668184747, -2.68750830247032, 0, -2.523778888375782, -2.4446770760151013, 0, -2.280113260215977, 0, -2.0827864294739094, 0, -1.93761205209188, -1.876761119219396, 0, -1.7198504860188353, -1.628792672989298, 0, -1.5076050448204108, -1.388058661271169, -1.3326767592836408, 0, -1.198451318892876, 0, 0, -0.9183826150315172, -0.8025439926645088, -0.7960249359945045, 0, 0, -0.5249826182916124, -0.4106483936176822, 0, 0, 0, 0, -0.0664099501089119, 0.0190767935476103, 0, 0, 0, 0, 0.4607583024396397, 0, 0, 0, 0.7239674868557746, 0, 0, 0, 1.1027756856188116, 0, 0, 1.3358725993445646, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.116488997804556, 0, 0, 0, 0, 0, 2.6076753821644028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[-3.9555335349016962, -3.8845609889682526, -3.79202766138133, -3.726340909161653, -3.6157569524859543, -3.5897992149353133, 0, -3.4034841230993607, 0, -3.263465692252859, -3.124293515870432, 0, -2.9689166515222696, -2.9019309733548946, -2.8763562125725683, 0, -2.6783599782103877, -2.6148011040261347, 0, -2.4493508953338776, -2.323991526264086, -2.2895223088183587, 0, 0, -2.048930120847745, 0, 0, 0, -1.683861378324139, 0, 0, 0, -1.4298778306780455, -1.2849407541228075, 0, 0, -1.0510203449712296, 0, 0, 0, 0, -0.6834458419624977, -0.5643476912604878, -0.5249826182916124, -0.467564773005802, 0, 0, 0, 0, 0, 0.01404916722592745, 0.14354792977833372, 0, 0, 0.3406764081365984, 0.4049858889794531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3515027708743783, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.558933568038161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"[-3.9555335349016962, -3.902606806639873, -3.7796497500460577, -3.68688744490549, -3.6297623792806495, 0, -3.463628864902726, -3.410418806574881, 0, -3.25639634400898, -3.136428553796949, -3.079040590200444, -3.019849483849854, 0, -2.8149799550195764, -2.7733696311733533, -2.6542881321997225, -2.5867424684365368, -2.515823599596269, 0, -2.324131333448503, 0, 0, -2.1235049762084226, -2.06302419956192, 0, 0, 0, 0, 0, 0, 0, -1.4315394891347533, 0, 0, -1.120672879501193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.14354792977833372, 0, 0.2547420832084729, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.558933568038161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"[-3.97251277302969, -3.88682517459243, -3.787413536872672, 0, -3.6536989827996473, 0, -3.463628864902726, -3.4042559021081202, -3.3224519542807056, -3.266431138951772, -3.172761854281929, -3.0875076423183616, -3.00974977747988, -2.9206494341894143, 0, 0, 0, -2.572948665221109, 0, -2.445179344659026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3733222870994677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.14354792977833372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
