,0
0,"[-2.097617344776954, -2.004292842794157, -1.9109683408113605, -1.8176438388285634, -1.7243193368457668, -1.6309948348629697, -1.5376703328801729, -1.444345830897376, -1.3510213289145792, -1.2576968269317823, -1.1643723249489855, -1.0710478229661886, -0.9777233209833915, -0.8843988190005947, -0.7910743170177978, -0.697749815035001, -0.6044253130522041, -0.5111008110694073, -0.41777630908661045, -0.3244518071038136, -0.23112730512101676, -0.1378028031382197, -0.04447830115542306, 0.04884620082737401, 0.14217070281017108, 0.2354952047929677, 0.3288197067757648, 0.4221442087585614, 0.5154687107413585, 0.6087932127241551, 0.7021177147069522, 0.7954422166897488, 0.8887667186725459, 0.9820912206553429, 1.0754157226381396, 1.1687402246209366, 1.2620647266037333, 1.3553892285865303, 1.448713730569327, 1.542038232552124, 1.6353627345349206, 1.7286872365177177, 1.8220117385005148, 1.9153362404833114, 2.008660742466108, 2.1019852444489056, 2.195309746431702, 2.288634248414499, 2.3819587503972963, 2.475283252380093, 2.5686077543628896, 2.661932256345686, 2.7552567583284837, 2.8485812603112803, 2.941905762294077, 3.0352302642768736, 3.128554766259671, 3.2218792682424677, 3.3152037702252644, 3.408528272208062, 3.5018527741908585, 3.595177276173655, 3.6885017781564517, 3.7818262801392493, 3.875150782122046, 3.9684752841048425, 4.06179978608764, 4.155124288070437, 4.248448790053233, 4.34177329203603, 4.435097794018827, 4.528422296001624, 4.621746797984421, 4.715071299967218, 4.808395801950015, 4.901720303932811, 4.995044805915608, 5.088369307898406, 5.181693809881202, 5.275018311863999, 5.3683428138467955, 5.461667315829593, 5.55499181781239, 5.648316319795186, 5.741640821777984, 5.83496532376078, 5.928289825743577, 6.0216143277263745, 6.11493882970917, 6.208263331691968, 6.301587833674765, 6.394912335657561, 6.4882368376403585, 6.581561339623156, 6.674885841605952, 6.768210343588749, 6.861534845571547, 6.9548593475543425, 7.04818384953714, 7.141508351519936]"
1,"[-2.4303022965749337, -2.337119388399355, -2.243936480223776, -2.150753572048197, -2.0575706638726183, -1.9643877556970393, -1.8712048475214604, -1.7780219393458814, -1.6848390311703025, -1.5916561229947237, -1.4984732148191449, -1.405290306643566, -1.3121073984679872, -1.2189244902924083, -1.1257415821168293, -1.0325586739412504, -0.9393757657656716, -0.8461928575900928, -0.7530099494145139, -0.6598270412389349, -0.566644133063356, -0.4734612248877772, -0.38027831671219836, -0.2870954085366195, -0.19391250036104068, -0.10072959218546185, -0.007546684009883009, 0.08563622416569627, 0.1788191323412751, 0.27200204051685395, 0.3651849486924328, 0.4583678568680116, 0.5515507650435905, 0.6447336732191693, 0.7379165813947481, 0.831099489570327, 0.9242823977459058, 1.0174653059214847, 1.110648214097064, 1.2038311222726428, 1.2970140304482216, 1.3901969386238004, 1.4833798467993793, 1.5765627549749581, 1.669745663150537, 1.7629285713261158, 1.8561114795016946, 1.9492943876772735, 2.0424772958528523, 2.135660204028431, 2.22884311220401, 2.322026020379589, 2.4152089285551677, 2.5083918367307465, 2.6015747449063262, 2.694757653081905, 2.787940561257484, 2.8811234694330627, 2.9743063776086416, 3.0674892857842204, 3.1606721939597993, 3.253855102135378, 3.347038010310957, 3.4402209184865358, 3.5334038266621146, 3.6265867348376934, 3.7197696430132723, 3.812952551188851, 3.90613545936443, 3.999318367540009, 4.092501275715588, 4.1856841838911665, 4.278867092066745, 4.372050000242324, 4.465232908417903, 4.558415816593483, 4.6515987247690616, 4.74478163294464, 4.837964541120219, 4.931147449295798, 5.024330357471377, 5.117513265646956, 5.210696173822535, 5.303879081998113, 5.397061990173692, 5.490244898349271, 5.58342780652485, 5.67661071470043, 5.769793622876008, 5.862976531051587, 5.956159439227165, 6.049342347402745, 6.142525255578323, 6.235708163753903, 6.328891071929481, 6.42207398010506, 6.515256888280638, 6.608439796456218, 6.701622704631796, 6.794805612807376]"
2,"[-3.172761854281929, -3.0747590793105246, -2.9767563043391205, -2.878753529367716, -2.780750754396312, -2.6827479794249074, -2.584745204453503, -2.486742429482099, -2.3887396545106943, -2.29073687953929, -2.1927341045678856, -2.094731329596481, -1.996728554625077, -1.8987257796536727, -1.8007230046822682, -1.702720229710864, -1.6047174547394596, -1.5067146797680553, -1.408711904796651, -1.3107091298252465, -1.2127063548538422, -1.114703579882438, -1.0167008049110335, -0.918698029939629, -0.8206952549682249, -0.7226924799968204, -0.6246897050254163, -0.5266869300540118, -0.42868415508260727, -0.3306813801112032, -0.23267860513979866, -0.13467583016839457, -0.036673055196990045, 0.06132971977441448, 0.15933249474581856, 0.2573352697172231, 0.3553380446886272, 0.4533408196600317, 0.5513435946314362, 0.6493463696028403, 0.7473491445742448, 0.8453519195456494, 0.943354694517053, 1.0413574694884575, 1.139360244459862, 1.2373630194312666, 1.3353657944026711, 1.4333685693740748, 1.5313713443454793, 1.6293741193168838, 1.7273768942882883, 1.8253796692596929, 1.9233824442310965, 2.021385219202501, 2.1193879941739056, 2.21739076914531, 2.3153935441167146, 2.4133963190881182, 2.5113990940595228, 2.6094018690309273, 2.707404644002332, 2.8054074189737364, 2.90341019394514, 3.0014129689165445, 3.099415743887949, 3.1974185188593536, 3.295421293830758, 3.3934240688021617, 3.4914268437735663, 3.589429618744971, 3.6874323937163753, 3.78543516868778, 3.8834379436591835, 3.981440718630588, 4.0794434936019925, 4.177446268573397, 4.275449043544802, 4.373451818516205, 4.47145459348761, 4.569457368459014, 4.667460143430419, 4.765462918401823, 4.863465693373228, 4.9614684683446315, 5.059471243316035, 5.157474018287441, 5.255476793258844, 5.35347956823025, 5.451482343201653, 5.549485118173057, 5.647487893144462, 5.745490668115866, 5.843493443087271, 5.941496218058675, 6.039498993030079, 6.137501768001484, 6.235504542972888, 6.333507317944293, 6.431510092915697, 6.5295128678871]"
3,"[-3.1156367886570893, -3.0421704767133773, -2.9687041647696653, -2.8952378528259533, -2.8217715408822412, -2.748305228938529, -2.6748389169948172, -2.601372605051105, -2.527906293107393, -2.454439981163681, -2.380973669219969, -2.3075073572762568, -2.2340410453325448, -2.1605747333888328, -2.0871084214451203, -2.0136421095014088, -1.9401757975576965, -1.8667094856139845, -1.7932431736702725, -1.7197768617265603, -1.6463105497828483, -1.5728442378391363, -1.4993779258954243, -1.4259116139517123, -1.3524453020080003, -1.278978990064288, -1.205512678120576, -1.132046366176864, -1.0585800542331518, -0.9851137422894398, -0.9116474303457278, -0.8381811184020158, -0.7647148064583038, -0.6912484945145918, -0.6177821825708798, -0.5443158706271678, -0.4708495586834558, -0.3973832467397438, -0.32391693479603134, -0.25045062285231934, -0.17698431090860733, -0.10351799896489533, -0.030051687021183326, 0.04341462492252868, 0.11688093686624068, 0.19034724880995268, 0.2638135607536647, 0.3372798726973767, 0.4107461846410887, 0.48421249658480114, 0.5576788085285131, 0.6311451204722252, 0.7046114324159372, 0.7780777443596492, 0.8515440563033612, 0.9250103682470732, 0.9984766801907856, 1.0719429921344972, 1.1454093040782096, 1.2188756160219212, 1.2923419279656336, 1.3658082399093452, 1.4392745518530576, 1.5127408637967692, 1.5862071757404816, 1.659673487684194, 1.7331397996279057, 1.806606111571618, 1.8800724235153297, 1.953538735459042, 2.0270050474027537, 2.100471359346466, 2.1739376712901777, 2.24740398323389, 2.3208702951776017, 2.394336607121314, 2.4678029190650266, 2.541269231008738, 2.6147355429524506, 2.688201854896162, 2.7616681668398746, 2.835134478783586, 2.9086007907272986, 2.98206710267101, 3.0555334146147226, 3.128999726558434, 3.2024660385021466, 3.275932350445859, 3.3493986623895706, 3.422864974333283, 3.4963312862769946, 3.569797598220707, 3.6432639101644186, 3.716730222108131, 3.7901965340518426, 3.863662845995555, 3.9371291579392667, 4.010595469882979, 4.0840617818266916, 4.157528093770403]"
4,"[-2.036668557333416, -1.9678952698410064, -1.8991219823485967, -1.8303486948561871, -1.7615754073637775, -1.6928021198713679, -1.6240288323789582, -1.5552555448865486, -1.486482257394139, -1.4177089699017293, -1.3489356824093197, -1.28016239491691, -1.2113891074245002, -1.1426158199320906, -1.073842532439681, -1.0050692449472713, -0.9362959574548617, -0.8675226699624521, -0.7987493824700425, -0.7299760949776328, -0.6612028074852232, -0.5924295199928136, -0.5236562325004039, -0.4548829450079943, -0.38610965751558446, -0.31733637002317483, -0.2485630825307652, -0.17978979503835557, -0.11101650754594594, -0.04224322005353631, 0.026530067438873317, 0.09530335493128295, 0.16407664242369258, 0.2328499299161022, 0.30162321740851183, 0.37039650490092146, 0.4391697923933311, 0.5079430798857407, 0.5767163673781504, 0.64548965487056, 0.7142629423629696, 0.7830362298553792, 0.8518095173477889, 0.9205828048401985, 0.9893560923326081, 1.0581293798250178, 1.1269026673174274, 1.195675954809837, 1.264449242302247, 1.3332225297946567, 1.4019958172870663, 1.470769104779476, 1.5395423922718856, 1.6083156797642952, 1.6770889672567049, 1.7458622547491145, 1.8146355422415241, 1.8834088297339338, 1.9521821172263434, 2.020955404718753, 2.0897286922111626, 2.1585019797035723, 2.227275267195982, 2.2960485546883915, 2.364821842180801, 2.433595129673211, 2.5023684171656204, 2.57114170465803, 2.6399149921504397, 2.7086882796428493, 2.777461567135259, 2.8462348546276686, 2.915008142120078, 2.983781429612488, 3.0525547171048975, 3.121328004597307, 3.1901012920897167, 3.2588745795821263, 3.327647867074536, 3.3964211545669456, 3.4651944420593552, 3.533967729551765, 3.6027410170441745, 3.671514304536584, 3.7402875920289937, 3.8090608795214034, 3.877834167013813, 3.9466074545062226, 4.015380741998632, 4.084154029491042, 4.152927316983451, 4.221700604475862, 4.29047389196827, 4.359247179460681, 4.42802046695309, 4.4967937544455, 4.565567041937911, 4.634340329430319, 4.70311361692273, 4.771886904415139]"
5,"[-4.429675840672703, -4.342569733511726, -4.255463626350751, -4.168357519189774, -4.081251412028798, -3.9941453048678217, -3.9070391977068457, -3.8199330905458693, -3.7328269833848933, -3.6457208762239173, -3.558614769062941, -3.471508661901965, -3.384402554740989, -3.2972964475800124, -3.2101903404190364, -3.1230842332580604, -3.035978126097084, -2.9488720189361075, -2.8617659117751315, -2.7746598046141555, -2.687553697453179, -2.600447590292203, -2.513341483131227, -2.4262353759702506, -2.3391292688092746, -2.2520231616482986, -2.164917054487322, -2.077810947326346, -1.9907048401653702, -1.9035987330043938, -1.8164926258434178, -1.7293865186824413, -1.6422804115214653, -1.5551743043604893, -1.4680681971995129, -1.3809620900385369, -1.2938559828775604, -1.2067498757165844, -1.1196437685556084, -1.032537661394632, -0.945431554233656, -0.85832544707268, -0.7712193399117035, -0.6841132327507276, -0.5970071255897516, -0.5099010184287751, -0.42279491126779867, -0.3356888041068231, -0.24858269694584667, -0.16147658978487023, -0.07437048262389467, 0.012735624537081769, 0.09984173169805821, 0.18694783885903377, 0.2740539460200102, 0.36116005318098665, 0.4482661603419622, 0.5353722675029386, 0.6224783746639151, 0.7095844818248915, 0.7966905889858671, 0.8837966961468435, 0.97090280330782, 1.0580089104687955, 1.145115017629772, 1.2322211247907484, 1.319327231951724, 1.4064333391127004, 1.4935394462736769, 1.5806455534346524, 1.6677516605956288, 1.7548577677566053, 1.8419638749175817, 1.9290699820785573, 2.0161760892395337, 2.10328219640051, 2.1903883035614857, 2.277494410722462, 2.3646005178834386, 2.451706625044414, 2.5388127322053906, 2.625918839366367, 2.7130249465273426, 2.800131053688319, 2.8872371608492955, 2.974343268010271, 3.0614493751712475, 3.148555482332224, 3.2356615894931995, 3.322767696654176, 3.4098738038151524, 3.496979910976129, 3.5840860181371053, 3.671192125298081, 3.7582982324590564, 3.8454043396200337, 3.9325104467810093, 4.019616553941985, 4.106722661102962, 4.193828768263938]"
