,0
0,"[0, -3.868695333533434, -3.8040803533135183, 0, 0, -3.5863641143520253, -3.5042518474187867, -3.3790212667991444, -3.298033825440334, -3.254353098966717, -3.1558058805848925, -3.0786928384268903, -2.964710513551528, -2.926972814593393, -2.814733770294471, -2.7629917938707864, -2.652009003860564, -2.625388131932437, -2.536151969694489, 0, -2.323559936127611, -2.294314471192485, -2.230199413450094, 0, -2.04510311614701, 0, -1.889752206256576, -1.8331359856770355, -1.7210159063447086, 0, 0, -1.4945634877742315, -1.394454011650146, -1.3311653006900201, 0, -1.1788624432181285, 0, 0, 0, 0, -0.7766748100504551, -0.6921879113489809, 0, 0, 0, -0.3202553640553408, -0.2643792512082265, 0, -0.12167096407610775, -0.030718762027282902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7720458737134686, 0, 0, 1.0295451012420265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[-3.9438117333165312, -3.9126924610848905, 0, 0, 0, 0, 0, 0, -3.312130077667503, 0, 0, 0, -2.997961692763042, 0, -2.8354867419106147, 0, -2.688306500937815, 0, -2.541126259965014, 0, 0, 0, 0, 0, -2.015732670592503, -1.9887615736565325, -1.8928562207228086, 0, -1.7180155731121474, 0, 0, -1.4494902997584922, 0, -1.357416008461454, 0, 0, 0, 0, 0, -0.8359384818481227, 0, 0, -0.6207666548709035, 0, -0.4402269826771261, -0.3571509860124304, 0, -0.1917690987004897, -0.12210883463007094, -0.0312183809728056, 0.04255718459780164, 0.1191862696716936, 0, 0.3084574120913881, 0.3400324761683679, 0, 0, 0, 0.6483303043319454, 0.7605200514229824, 0.8405378374995323, 0.8955441860483204, 0, 0, 1.199580864404736, 0, 0, 1.3926753438659565, 0, 0, 0, 0, 0, 1.8743543742094249, 0, 0, 0, 0, 0, 0, 2.4781788998136185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"[-3.997127060522661, -3.9126924610848905, 0, 0, 0, -3.530073684970658, 0, -3.36212054931253, 0, -3.232392198250296, 0, -3.0621194224811528, -3.0098297190084353, -2.8867226070578567, 0, -2.7577373290720764, -2.683403237571505, -2.591268422841456, -2.5287476703094987, 0, -2.357589741409495, 0, 0, 0, -2.0427284843787734, -1.9356061885011084, -1.8756810137268345, -1.8226129500597017, -1.7132060628744072, -1.631418714167666, -1.5544921062546757, -1.4494902997584922, 0, -1.2954849700964084, -1.2755525163817132, 0, -1.0827254320059305, 0, -0.8963181155330397, -0.8359384818481227, 0, -0.6825774045309434, 0, -0.5227232532106312, -0.4573255225171262, 0, -0.2897341086428914, -0.17365463916984633, -0.13649509842925472, -0.0264924802668342, 0.06162578332311066, 0.13678962888783314, 0.19886288871346092, 0.29419146329678586, 0.3586337109376048, 0.4583920070837236, 0, 0.60862153958495, 0.6748505957817875, 0.7791339781846366, 0.8270957437834401, 0.9168256709809753, 1.0368564563286418, 1.0751261731118524, 0, 1.2612796258963872, 1.3232426794654342, 1.4038887191666412, 0, 1.56288168147205, 0, 0, 0, 1.8743543742094249, 0, 0, 0, 0, 0, 0, 2.4781788998136185, 2.494052102800925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[-3.9822292744820142, 0, -3.771974305851687, -3.739263889007079, -3.632165527378744, -3.5470668507365217, -3.48694971521855, -3.36212054931253, -3.280709630421234, -3.2181052218501263, -3.1511730812350542, 0, -2.993573866158231, 0, 0, -2.7419300539466693, 0, -2.630073730845949, -2.510536840205761, -2.4714225001857324, -2.365300338471832, -2.3134607424125395, -2.1722980922120514, 0, -2.0614741288219705, -1.969216215350788, -1.8743873164365057, 0, -1.735772028270578, -1.6272427985382603, -1.5544921062546757, -1.501851191715167, 0, 0, -1.2405744542990604, -1.1616898620170852, -1.0748150194133437, -0.9744208111132802, -0.9085050820038911, -0.8669076899341237, -0.7535779032888963, -0.6911333005957817, 0, -0.5277560014979856, 0, -0.3838209683140185, -0.29137361542809137, -0.19519145712642588, 0, -0.055922970919184474, 0.0148154755247414, 0.14356577907000237, 0.2259557284399932, 0.28605529888706527, 0.37618110211077715, 0, 0, 0.6388695438665325, 0.6712722005078982, 0.7527898814530579, 0.8055549734585078, 0.9372060244520015, 0, 0, 0, 0, 0, 1.4151020944673258, 1.461700371333547, 0, 0, 0, 0, 1.9162894637439725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"[-3.975121385434431, 0, -3.8011375761551696, -3.7011687113117, -3.64404364568686, -3.5628817387815883, -3.485951031774148, -3.410903539867147, -3.328956136057709, -3.219411331844194, -3.1628740691506967, -3.0870742558446693, -3.029949190219829, 0, -2.8585739933453094, -2.7667484947996477, -2.682623099462051, -2.630073730845949, -2.544386132408689, 0, -2.3730109355341686, -2.2565122970424403, 0, 0, -2.050905910775388, 0, 0, -1.7963092318989362, 0, -1.6343576907894892, 0, 0, -1.4187907437175566, 0, -1.2254042145775936, 0, -1.0693254075003351, 0, 0, 0, -0.7409366788412659, 0, -0.6015875611527856, -0.5435936819712385, 0, -0.3865344416340586, -0.2765273439449018, -0.21544199203525363, -0.1256602431377215, -0.0507430525195357, 0, 0.1403348207724604, 0.1791742475002138, 0.28233430534542875, 0.3976402400057409, 0.4597388691216039, 0.5104392725958757, 0.5995728955792036, 0.6559656576526349, 0.7551278211151036, 0, 0.9385005167211903, 0.9937748434893496, 0, 1.1615116064429407, 0, 0, 0, 0, 0, 0, 0, 0, 1.8900215189668976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"[-3.952569792440362, -3.8804100793601624, -3.8011375761551696, -3.7440125105303306, -3.6154811128744395, 0, -3.456389815517326, -3.410903539867147, 0, -3.2579757966208494, 0, -3.049440470388431, 0, -2.936352305196198, 0, -2.7216894886130034, 0, -2.5847897081163778, -2.515823599596269, 0, -2.3496751182485376, -2.267532146141279, -2.200241062524294, -2.1334464743601007, 0, 0, -1.9160104105354483, 0, 0, 0, 0, 0, -1.4071341347108055, 0, -1.2375228179375366, 0, 0, 0, 0, 0, 0, 0, 0, -0.5252945015568176, -0.4672376035545772, -0.3517817354460764, -0.2433486092966066, -0.20232411514075035, -0.1256602431377215, -0.01725457625651285, 0.0434060549141826, 0.14181945440488353, 0, 0, 0.3511943369115939, 0.4393573957688937, 0.5013424736777229, 0, 0, 0, 0, 0, 0.9937748434893496, 1.1123017654899123, 0, 0, 0, 1.428592445803511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
