,0
0,"[-0.458524489, -0.43916542367, -0.41980635833999996, -0.40044729301, -0.38108822767999995, -0.36172916234999997, -0.34237009702, -0.32301103169, -0.30365196635999997, -0.28429290102999993, -0.26493383569999995, -0.24557477036999997, -0.22621570503999996, -0.20685663970999996, -0.18749757437999998, -0.16813850904999994, -0.14877944371999996, -0.12942037838999998, -0.11006131305999994, -0.09070224772999996, -0.07134318239999993, -0.05198411706999995, -0.032625051739999966, -0.01326598640999993, 0.00609307892000005, 0.02545214425000003, 0.044811209580000066, 0.06417027491000005, 0.08352934024000003, 0.10288840557000001, 0.1222474709000001, 0.14160653623000008, 0.16096560156000006, 0.18032466689000004, 0.19968373222000002, 0.2190427975500001, 0.2384018628800001, 0.2577609282100001, 0.27711999354000005, 0.29647905887000003, 0.3158381242000001, 0.3351971895300001, 0.3545562548600001, 0.37391532019000007, 0.39327438552000005, 0.41263345085, 0.4319925161800001, 0.4513515815100001, 0.4707106468400001, 0.49006971217000006, 0.5094287775, 0.5287878428300001, 0.5481469081600001, 0.5675059734900001, 0.5868650388200001, 0.60622410415, 0.62558316948, 0.64494223481, 0.66430130014, 0.6836603654700002, 0.7030194308000002, 0.7223784961300002, 0.7417375614600001, 0.7610966267900001, 0.7804556921200001, 0.7998147574500001, 0.8191738227800001, 0.83853288811, 0.85789195344, 0.87725101877, 0.8966100841000002, 0.9159691494300002, 0.9353282147600002, 0.9546872800900001, 0.9740463454200001, 0.9934054107500001, 1.01276447608, 1.03212354141, 1.05148260674, 1.07084167207, 1.0902007374000002, 1.1095598027300002, 1.1289188680600002, 1.1482779333900002, 1.1676369987200002, 1.1869960640500001, 1.2063551293800001, 1.22571419471, 1.24507326004, 1.26443232537, 1.2837913907, 1.3031504560300002, 1.3225095213600002, 1.3418685866900002, 1.3612276520200002, 1.3805867173500002, 1.3999457826800001, 1.4193048480100001, 1.43866391334, 1.45802297867]"
1,"[-0.04800372, -0.03274986236, -0.017496004719999996, -0.0022421470799999926, 0.013011710560000007, 0.028265568200000007, 0.043519425840000014, 0.05877328348000001, 0.07402714112000001, 0.08928099876000001, 0.10453485640000001, 0.11978871404000002, 0.13504257168000003, 0.15029642932000004, 0.16555028696000001, 0.18080414460000002, 0.19605800224000003, 0.21131185988000004, 0.22656571752000002, 0.24181957516000005, 0.25707343280000006, 0.27232729044000004, 0.28758114808, 0.30283500572, 0.3180888633600001, 0.33334272100000006, 0.34859657864000004, 0.36385043628, 0.37910429392, 0.3943581515600001, 0.40961200920000007, 0.42486586684000005, 0.44011972448000003, 0.4553735821200001, 0.4706274397600001, 0.4858812974000001, 0.5011351550400001, 0.5163890126800001, 0.5316428703200001, 0.5468967279600001, 0.5621505856000001, 0.5774044432400001, 0.5926583008800002, 0.6079121585200001, 0.6231660161600001, 0.6384198738000001, 0.6536737314400001, 0.6689275890800002, 0.6841814467200001, 0.6994353043600001, 0.7146891620000001, 0.7299430196400001, 0.7451968772800002, 0.7604507349200001, 0.7757045925600001, 0.7909584502000001, 0.8062123078400001, 0.8214661654800002, 0.8367200231200002, 0.8519738807600001, 0.8672277384000001, 0.8824815960400001, 0.8977354536800002, 0.9129893113200002, 0.9282431689600001, 0.9434970266000001, 0.9587508842400002, 0.9740047418800001, 0.9892585995200002, 1.0045124571600001, 1.0197663148, 1.03502017244, 1.05027403008, 1.06552788772, 1.0807817453600002, 1.096035603, 1.1112894606400001, 1.12654331828, 1.14179717592, 1.1570510335600002, 1.1723048912, 1.1875587488400001, 1.20281260648, 1.21806646412, 1.2333203217600002, 1.2485741794, 1.2638280370400001, 1.27908189468, 1.29433575232, 1.3095896099600002, 1.3248434676, 1.3400973252400001, 1.35535118288, 1.37060504052, 1.3858588981600002, 1.4011127558, 1.4163666134400001, 1.43162047108, 1.44687432872, 1.4621281863600002]"
2,"[-1.563050822, -1.5327556385799999, -1.5024604551599998, -1.47216527174, -1.44187008832, -1.4115749049, -1.38127972148, -1.3509845380599999, -1.3206893546399998, -1.29039417122, -1.2600989878, -1.22980380438, -1.1995086209599999, -1.1692134375399998, -1.13891825412, -1.1086230707, -1.07832788728, -1.04803270386, -1.0177375204399999, -0.98744233702, -0.9571471536, -0.92685197018, -0.89655678676, -0.86626160334, -0.83596641992, -0.8056712364999999, -0.77537605308, -0.74508086966, -0.7147856862399999, -0.68449050282, -0.6541953194, -0.62390013598, -0.59360495256, -0.56330976914, -0.5330145857199999, -0.5027194023000001, -0.4724242188800001, -0.44212903546000004, -0.41183385204, -0.38153866861999997, -0.35124348520000015, -0.3209483017800001, -0.2906531183600001, -0.26035793494000004, -0.23006275152, -0.19976756809999996, -0.16947238468000014, -0.1391772012600001, -0.10888201784000007, -0.07858683442000003, -0.04829165099999999, -0.017996467580000175, 0.012298715839999863, 0.0425938992599999, 0.07288908267999994, 0.10318426609999998, 0.13347944952000002, 0.16377463293999983, 0.19406981635999987, 0.2243649997799999, 0.25466018319999995, 0.28495536662, 0.3152505500399998, 0.34554573345999984, 0.3758409168799999, 0.4061361002999999, 0.43643128371999995, 0.46672646713999977, 0.49702165056000003, 0.5273168339799998, 0.5576120173999997, 0.5879072008199999, 0.6182023842399997, 0.64849756766, 0.6787927510799998, 0.7090879344999996, 0.7393831179199999, 0.7696783013399997, 0.79997348476, 0.8302686681799998, 0.8605638515999996, 0.8908590350199999, 0.9211542184399997, 0.9514494018599999, 0.9817445852799997, 1.0120397687, 1.0423349521199998, 1.0726301355399996, 1.10292531896, 1.1332205023799997, 1.1635156858, 1.1938108692199998, 1.2241060526399996, 1.2544012360599999, 1.2846964194799997, 1.3149916029, 1.3452867863199998, 1.3755819697399996, 1.4058771531599998, 1.4361723365799997]"
3,"[-0.947013459, -0.94248113793, -0.93794881686, -0.93341649579, -0.92888417472, -0.9243518536499999, -0.91981953258, -0.91528721151, -0.91075489044, -0.90622256937, -0.9016902483, -0.89715792723, -0.89262560616, -0.88809328509, -0.88356096402, -0.87902864295, -0.87449632188, -0.86996400081, -0.86543167974, -0.86089935867, -0.8563670376, -0.85183471653, -0.84730239546, -0.84277007439, -0.8382377533200001, -0.8337054322499999, -0.82917311118, -0.82464079011, -0.82010846904, -0.81557614797, -0.8110438269, -0.80651150583, -0.80197918476, -0.79744686369, -0.7929145426199999, -0.78838222155, -0.78384990048, -0.77931757941, -0.77478525834, -0.77025293727, -0.7657206162, -0.76118829513, -0.75665597406, -0.75212365299, -0.74759133192, -0.7430590108499999, -0.73852668978, -0.73399436871, -0.72946204764, -0.72492972657, -0.7203974055, -0.71586508443, -0.71133276336, -0.70680044229, -0.7022681212199999, -0.69773580015, -0.6932034790799999, -0.68867115801, -0.68413883694, -0.67960651587, -0.6750741948, -0.67054187373, -0.6660095526600001, -0.6614772315899999, -0.65694491052, -0.6524125894499999, -0.64788026838, -0.64334794731, -0.63881562624, -0.63428330517, -0.6297509841, -0.62521866303, -0.6206863419599999, -0.61615402089, -0.6116216998199999, -0.60708937875, -0.6025570576799999, -0.59802473661, -0.59349241554, -0.58896009447, -0.5844277734, -0.57989545233, -0.57536313126, -0.5708308101899999, -0.56629848912, -0.5617661680499999, -0.55723384698, -0.55270152591, -0.54816920484, -0.54363688377, -0.5391045627, -0.53457224163, -0.5300399205599999, -0.52550759949, -0.5209752784199999, -0.51644295735, -0.51191063628, -0.50737831521, -0.50284599414, -0.49831367306999996]"
4,"[-0.609422105, -0.6011273357000001, -0.5928325664, -0.5845377971000001, -0.5762430278, -0.5679482585000001, -0.5596534892, -0.5513587199000001, -0.5430639506, -0.5347691813000001, -0.526474412, -0.5181796427, -0.5098848734000001, -0.5015901041, -0.49329533480000004, -0.48500056550000004, -0.4767057962000001, -0.4684110269, -0.4601162576000001, -0.4518214883000001, -0.44352671900000007, -0.43523194970000006, -0.42693718040000006, -0.41864241110000006, -0.41034764180000005, -0.4020528725000001, -0.39375810320000004, -0.3854633339000001, -0.37716856460000003, -0.3688737953000001, -0.3605790260000001, -0.3522842567000001, -0.34398948740000007, -0.33569471810000007, -0.32739994880000006, -0.31910517950000006, -0.31081041020000005, -0.30251564090000005, -0.2942208716000001, -0.2859261023000001, -0.2776313330000001, -0.2693365637000001, -0.2610417944000001, -0.2527470251000001, -0.24445225580000007, -0.23615748650000007, -0.22786271720000006, -0.21956794790000006, -0.21127317860000006, -0.2029784093000001, -0.1946836400000001, -0.1863888707000001, -0.1780941014000001, -0.1697993321000001, -0.16150456280000008, -0.15320979350000008, -0.14491502420000008, -0.13662025490000007, -0.12832548560000007, -0.12003071630000012, -0.11173594700000011, -0.10344117770000005, -0.0951464084000001, -0.08685163910000004, -0.0785568698000001, -0.07026210050000015, -0.061967331200000086, -0.05367256190000014, -0.04537779260000008, -0.03708302330000013, -0.02878825400000007, -0.02049348470000012, -0.01219871540000006, -0.0039039461000001108, 0.004390823199999949, 0.012685592499999898, 0.020980361799999847, 0.029275131099999907, 0.037569900399999856, 0.045864669699999916, 0.054159438999999865, 0.062454208299999925, 0.07074897759999987, 0.07904374689999993, 0.08733851619999988, 0.09563328549999994, 0.10392805479999989, 0.11222282409999984, 0.1205175933999999, 0.12881236269999985, 0.1371071319999999, 0.14540190129999986, 0.15369667059999992, 0.16199143989999987, 0.17028620919999993, 0.17858097849999988, 0.18687574779999994, 0.19517051709999989, 0.20346528639999983, 0.2117600556999999]"
5,"[-0.932899978, -0.9151961966300001, -0.89749241526, -0.8797886338900001, -0.86208485252, -0.84438107115, -0.82667728978, -0.80897350841, -0.79126972704, -0.77356594567, -0.7558621643, -0.73815838293, -0.72045460156, -0.70275082019, -0.6850470388200001, -0.66734325745, -0.64963947608, -0.63193569471, -0.61423191334, -0.59652813197, -0.5788243505999999, -0.56112056923, -0.54341678786, -0.52571300649, -0.50800922512, -0.49030544375, -0.47260166238, -0.45489788101, -0.43719409964, -0.41949031826999994, -0.4017865369, -0.38408275552999993, -0.36637897416, -0.34867519279000003, -0.33097141142, -0.31326763005, -0.29556384867999996, -0.27786006731, -0.26015628593999995, -0.24245250457, -0.22474872319999994, -0.20704494183, -0.18934116045999994, -0.17163737909, -0.15393359771999993, -0.13622981634999998, -0.11852603497999992, -0.10082225360999997, -0.08311847224000002, -0.06541469086999996, -0.04771090950000001, -0.03000712812999995, -0.01230334676, 0.00540043461000006, 0.02310421598000001, 0.04080799735000007, 0.05851177872000002, 0.07621556009000008, 0.09391934146000014, 0.11162312282999998, 0.12932690420000004, 0.1470306855700001, 0.16473446694000016, 0.18243824831, 0.20014202968000006, 0.21784581105000012, 0.23554959241999995, 0.25325337379, 0.2709571551600001, 0.28866093653000013, 0.30636471789999997, 0.32406849927000003, 0.3417722806400001, 0.35947606201000015, 0.37717984338, 0.39488362475000005, 0.4125874061200001, 0.43029118749000017, 0.44799496886, 0.46569875023000007, 0.48340253160000013, 0.50110631297, 0.51881009434, 0.5365138757100001, 0.5542176570800001, 0.57192143845, 0.58962521982, 0.6073290011900001, 0.6250327825600002, 0.64273656393, 0.6604403453000001, 0.6781441266700001, 0.6958479080400002, 0.71355168941, 0.7312554707800001, 0.7489592521500001, 0.76666303352, 0.78436681489, 0.8020705962600001, 0.8197743776300002]"
